ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
ADP,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
AI.PA,WATCH,0,Caro vs peers en Basic Materials (FCF rank 16/17) | Piotroski fuerte (7.0/9),2026-04-14
AME,WATCH,-3,Caro vs peers en Industrials (FCF rank 39/50),2026-04-14
AON,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
ATLKY,BEST,5,Mejor FCF en Industrials (28.7% vs media sector 5.8%),2026-04-14
AUTO.L,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
AWK,CAUTION,-5,Value trap MEDIUM: FCF negativo (-8.7%) — quema caja pese a valuación barata | Piotroski fuerte (8.0/9),2026-04-14
AZO,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
BR,BEST,8,Piotroski fuerte (8.0/9) | Mejor FCF en Technology (6.8% vs media sector 4.5%),2026-04-14
CB,BEST,5,Mejor FCF en Financial Services (9.5% vs media sector 5.8%),2026-04-14
CBOE,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
CDNS,WATCH,0,Caro vs peers en Technology (FCF rank 23/26) | Piotroski fuerte (7.0/9),2026-04-14
CHD,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
CLPBY,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Healthcare (22.8% vs media sector 5.8%),2026-04-14
CME,WATCH,-3,Caro vs peers en Financial Services (FCF rank 23/23),2026-04-14
CNI,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
COST,WATCH,0,Caro vs peers en Consumer Defensive (FCF rank 22/24) | Piotroski fuerte (7.0/9),2026-04-14
CP,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
CSU.TO,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
CTAS,WATCH,0,Caro vs peers en Industrials (FCF rank 41/50) | Piotroski fuerte (8.0/9),2026-04-14
ETN,WATCH,0,Caro vs peers en Industrials (FCF rank 45/50) | Piotroski fuerte (7.0/9),2026-04-14
FDS,WATCH,6,Short squeeze MEDIUM: 11.2% short · Short moderado (11.2% del float); Piotroski 6/9 — calidad mejorando,2026-04-14
FICO,WATCH,0,Caro vs peers en Technology (FCF rank 21/26) | Piotroski fuerte (7.0/9),2026-04-14
G24.DE,WATCH,-3,Caro vs peers en Communication Services (FCF rank 5/5),2026-04-14
GVDNY,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
