ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime
LOGN.SW,LOGITECH N,84.9,🏆 ELITE,🟢 Elite,100.0,90.0,54.5,100.0,65.0,,,,,74.3,True,2,40.7,True,1,"{'eps_growth_yoy': 74.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 14.9}","{'revenue_growth_yoy': 40.7, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 4.5, 'rs_6m': -13.9}","{'roe_pct': 32.1, 'debt_to_equity': 0.04, 'current_ratio': 2.21, 'operating_margin_pct': 20.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 17.4}",76.36,11214051328,Technology,Computer Hardware,,,False,98.94,-22.8,5.0,False,89.68,112.57,67.54,11.0,buy,17.4,183.51,140.3,106.68,39.7,6.08,4.65,1.72,33.1,1.26,1.46,True,-3.4,165.5,19.6,27.0,2026-05-05,False,False,7.0,NEUTRAL,7.39,39.5,0.62,2026-04-08T11:08:40.902006,SMI20,66.0,6.0,5.0,3.0,5.0,2.17,1.0,0.0,CONFIRMED_UPTREND
SAP.DE,SAP SE                        I,55.2,⭐ AVERAGE,🟡 Average,50.0,70.0,15.0,85.0,70.0,,,,,-5.6,False,0,7.4,True,2,"{'eps_growth_yoy': -5.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.5}","{'revenue_growth_yoy': 7.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -21.4, 'rs_6m': -32.6}","{'roe_pct': 16.1, 'debt_to_equity': 0.17, 'current_ratio': 1.16, 'operating_margin_pct': 29.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 51.7}",153.18,178846679040,Technology,Software - Application,,,False,273.55,-44.0,0.0,False,232.42,290.0,175.0,27.0,buy,51.7,116.33,-24.1,61.0,-60.2,4.74,7.26,1.68,38.5,2.5,1.45,True,-1.08,21.8,5.0,15.0,2026-04-23,False,True,8.0,STRONG,6.41,146.7,3.6,2026-04-08T10:57:26.470752,DAX40,64.1,3.0,5.0,3.0,1.0,6.46,3.0,15.0,CONFIRMED_UPTREND
FRE.DE,Fresenius SE & Co. KGaA       I,69.8,⭐⭐ GOOD,🟡 Good,95.0,60.0,50.0,65.0,65.0,,,,,48.4,True,1,9.3,True,1,"{'eps_growth_yoy': 48.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 5.5}","{'revenue_growth_yoy': 9.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -6.0, 'rs_6m': -4.2}","{'roe_pct': 8.0, 'debt_to_equity': 0.6, 'current_ratio': 1.31, 'operating_margin_pct': 10.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 25.4}",44.57,25103484928,Healthcare,Medical Care Facilities,,,False,52.96,-15.8,3.0,False,55.9,58.0,50.0,14.0,buy,25.4,120.71,170.8,81.6,83.1,6.39,2.85,2.41,36.8,1.05,1.15,False,,4.7,82.4,28.0,2026-05-06,False,False,7.0,NEUTRAL,7.45,21.3,0.13,2026-04-08T10:58:10.254405,DAX40,61.9,6.0,5.0,0.0,5.0,3.18,3.0,15.0,CONFIRMED_UPTREND
HNR1.DE,HANNOVER RUECK SE NA O.N.,79.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,80.0,66.5,65.0,60.0,,,,,40.8,True,1,14.5,True,2,"{'eps_growth_yoy': 40.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.2}","{'revenue_growth_yoy': 14.5, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 11.8, 'rs_6m': 5.8}","{'roe_pct': 20.8, 'debt_to_equity': 0.31, 'current_ratio': 0.21, 'operating_margin_pct': 18.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 7.6}",268.6,32392390656,Financial Services,Insurance - Reinsurance,,,False,292.6,-8.2,3.0,False,289.0,360.0,239.0,15.0,buy,7.6,1019.9,279.7,657.0,144.6,8.95,24.05,4.63,32.0,12.5,2.62,False,,26.5,23.9,33.0,2026-05-11,False,False,7.0,NEUTRAL,11.38,,0.33,2026-04-08T10:59:07.283718,DAX40,61.6,8.0,8.0,0.0,5.0,0.95,-3.0,0.0,CONFIRMED_UPTREND
IAG.MC,INTL CONSOLIDATED AIRLINES GROU,70.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,60.0,50.0,60.0,65.0,,,,,263.1,False,0,13.3,False,0,"{'eps_growth_yoy': 263.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.1}","{'revenue_growth_yoy': 13.3, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -6.2, 'rs_6m': -0.5}","{'roe_pct': 48.5, 'debt_to_equity': 1.88, 'current_ratio': 0.7, 'operating_margin_pct': 14.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 27.4}",4.486,20271613952,Industrials,Airlines,,,False,5.3,-15.4,5.0,False,5.71,6.55,5.1,10.0,strong_buy,27.4,20.71,361.7,20.7,361.4,10.89,0.49,2.37,15.5,0.1,4.93,,,6.5,70.4,30.0,2026-05-08,False,False,8.0,STRONG,21.44,24.8,0.08,2026-04-08T11:05:51.411846,IBEX35,61.2,8.0,5.0,0.0,5.0,3.42,3.0,0.0,CONFIRMED_UPTREND
PRU.L,PRUDENTIAL PLC ORD 5P,63.4,⭐⭐ GOOD,🟡 Good,60.0,50.0,60.5,95.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 27.6},{},"{'rs_3m': 2.1, 'rs_6m': 9.6}","{'roe_pct': 20.6, 'debt_to_equity': 0.28, 'current_ratio': 2.39, 'operating_margin_pct': 45.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 21.2}",1133.0,28438292480,Financial Services,Insurance - Life,,,False,1238.0,-8.5,7.0,True,1373.35,1610.0,1190.0,15.0,buy,21.2,47.02,-95.8,34.5,-97.0,9.78,1.11,1.84,15.4,0.2,1.63,,,,30.8,141.0,2026-08-27,False,False,6.0,NEUTRAL,16.76,,0.38,2026-04-08T11:01:21.081492,FTSE100,59.4,8.0,5.0,0.0,5.0,2.65,1.0,0.0,CONFIRMED_UPTREND
MTX.DE,MTU Aero Engines AG           N,57.5,⭐ AVERAGE,🟡 Average,55.0,50.0,50.0,80.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 11.6},{},"{'rs_3m': -9.6, 'rs_6m': -13.1}","{'roe_pct': 26.3, 'debt_to_equity': 0.55, 'current_ratio': 1.44, 'operating_margin_pct': 13.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 24.8}",335.9,18081957888,Industrials,Aerospace & Defense,,,False,404.8,-17.0,1.0,False,419.16,505.0,334.0,19.0,buy,24.8,29.15,-91.3,567.3,68.9,0.2,0.69,1.14,11.6,3.6,0.91,,,,66.5,22.0,2026-04-30,False,False,3.0,NEUTRAL,,,0.17,2026-04-08T10:59:14.932307,DAX40,58.0,0.0,0.0,0.0,5.0,3.1,3.0,15.0,CONFIRMED_UPTREND
WKL.AS,WOLTERS KLUWER,47.0,⚠️ WEAK,🔴 Weak,60.0,50.0,15.0,50.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 21.4},{},"{'rs_3m': -23.5, 'rs_6m': -40.1}","{'roe_pct': 111.7, 'debt_to_equity': 6.23, 'current_ratio': 0.65, 'operating_margin_pct': 24.2}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 73.7}",64.98,14600975360,Industrials,Specialty Business Services,,,False,163.65,-60.3,0.0,False,112.89,160.0,73.0,14.0,none,73.7,186.08,186.4,169.2,160.4,6.75,4.39,3.86,43.1,2.52,1.69,,,,18.4,119.0,2026-08-05,False,False,7.0,NEUTRAL,9.45,668.9,0.28,2026-04-08T11:06:40.268996,AEX25,55.8,6.0,8.0,0.0,5.0,9.21,3.0,0.0,CONFIRMED_UPTREND
RHM.DE,RHEINMETALL AG                I,72.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,50.0,50.0,85.0,70.0,,,,,686.9,True,1,5.0,False,0,"{'eps_growth_yoy': 686.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 7.0}","{'revenue_growth_yoy': 5.0, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -10.9, 'rs_6m': -18.9}","{'roe_pct': 23.3, 'debt_to_equity': 0.23, 'current_ratio': 1.2, 'operating_margin_pct': 16.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 30.5}",1567.0,72510783488,Industrials,Aerospace & Defense,,,False,2008.0,-22.0,1.0,False,2044.29,2500.0,1480.0,21.0,buy,30.5,384.32,-75.5,223.0,-85.8,1.35,21.17,0.73,36.3,11.5,1.35,False,,14.6,,29.0,2026-05-07,False,False,5.0,NEUTRAL,2.37,40.9,0.62,2026-04-08T10:59:33.509487,DAX40,54.9,0.0,0.0,0.0,0.0,3.81,3.0,15.0,CONFIRMED_UPTREND
EXPN.L,EXPERIAN PLC ORD USD0.10,51.8,⭐ AVERAGE,🟡 Average,55.0,50.0,30.0,65.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 17.1},{},"{'rs_3m': -17.7, 'rs_6m': -24.7}","{'roe_pct': 26.8, 'debt_to_equity': 1.05, 'current_ratio': 0.68, 'operating_margin_pct': 24.9}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 57.1}",2651.5,23833831424,Industrials,Consulting Services,,,False,4101.0,-35.3,1.0,False,4166.32,4684.43,2865.72,18.0,strong_buy,57.1,62.14,-97.7,33.6,-98.7,5.52,1.47,1.83,42.5,0.47,1.36,,,,36.0,42.0,2026-05-20,False,False,5.0,NEUTRAL,5.96,493.1,0.49,2026-04-08T11:00:53.715809,FTSE100,54.7,6.0,5.0,0.0,5.0,7.14,3.0,0.0,CONFIRMED_UPTREND
