ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime,ai_verdict,ai_confidence,ai_reasoning,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing
ASML.AS,ASML HOLDING,86.2,🏆 ELITE,🟢 Elite,95.0,80.0,85.0,95.0,65.0,,,,,20.6,True,1,25.5,True,1,"{'eps_growth_yoy': 20.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 29.4}","{'revenue_growth_yoy': 25.5, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 22.6, 'rs_6m': 42.1}","{'roe_pct': 50.5, 'debt_to_equity': 0.24, 'current_ratio': 1.26, 'operating_margin_pct': 35.3}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 18.1}",1195.6,464069361664,Technology,Semiconductor Equipment & Materials,,,False,1312.8,-8.9,7.0,True,1411.79,1700.0,940.0,36.0,strong_buy,18.1,494.71,-58.6,247.3,-79.3,2.34,28.16,0.93,26.5,10.8,0.85,True,-1.28,51.7,7.2,7.0,2026-04-15,True,False,8.0,STRONG,2.74,79.0,4.38,2026-04-08T11:06:17.293308,AEX25,51.5,0.0,0.0,3.0,3.0,2.26,1.0,0.0,CONFIRMED_UPTREND,BUY,90,"Strong fundamentals with high ROE, margin, and growth, combined with realistic upside and validation from 36 analysts",1300.27,1196.25,1556.06,8.0,19.67,BUY NOW - At target entry price
NWG.L,NATWEST GROUP PLC ORD 107.69P,67.0,⭐⭐ GOOD,🟡 Good,85.0,50.0,64.0,65.0,65.0,,,,,10.1,False,0,7.8,False,0,"{'eps_growth_yoy': 10.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 36.5}","{'revenue_growth_yoy': 7.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -0.8, 'rs_6m': 12.2}","{'roe_pct': 14.2, 'operating_margin_pct': 47.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 19.9}",610.1,48626814976,Financial Services,Banks - Regional,,,False,705.4,-13.5,7.0,True,731.41,840.0,600.0,17.0,buy,19.9,,,8.78,-98.6,,,5.65,37.1,0.33,4.55,,,,13.1,23.0,2026-05-01,False,False,6.0,NEUTRAL,,,0.57,2026-04-08T11:01:50.051528,FTSE100,45.8,0.0,8.0,0.0,3.0,2.49,1.0,0.0,CONFIRMED_UPTREND,BUY,85,"Strong fundamentals with ROE of 14.2%, margin of 36.5%, and no debt, combined with analyst validation and realistic upside potential of 19.9%",613.09,564.04,785.71,8.0,28.16,BUY NOW - At target entry price
CRH.L,CRH PLC ORD EUR 0.32 (DI),66.7,⭐⭐ GOOD,🟡 Good,63.0,80.0,50.0,75.0,65.0,,,,,,False,0,39.4,False,0,"{'positive_quarters': 3, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.0}","{'revenue_growth_yoy': 39.4, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -6.0, 'rs_6m': -4.6}","{'roe_pct': 15.7, 'debt_to_equity': 0.77, 'current_ratio': 1.74, 'operating_margin_pct': 15.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 25.5}",8286.0,55372595200,Basic Materials,Building Materials,,,False,9758.0,-15.1,4.0,False,10395.92,11516.47,7745.34,11.0,strong_buy,25.5,116.56,-98.6,124.2,-98.5,3.32,2.75,1.4,26.9,1.11,2.21,True,-2.13,6.9,48.4,21.0,2026-04-30,False,True,6.0,NEUTRAL,8.02,17.1,0.33,2026-04-08T11:00:57.316163,FTSE100,49.7,3.0,0.0,3.0,5.0,3.19,3.0,0.0,CONFIRMED_UPTREND,BUY,85,"Strong fundamentals with ROE and margin above 10%, debt below 2x, and significant growth, combined with analyst validation and realistic upside",8504.44,7824.08,10888.6,8.0,28.03,BUY NOW - At target entry price
LLOY.L,LLOYDS BANKING GROUP PLC ORD 10,79.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,80.0,74.5,65.0,60.0,,,,,23.6,True,1,23.0,True,1,"{'eps_growth_yoy': 23.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 25.0}","{'revenue_growth_yoy': 23.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 7.7, 'rs_6m': 20.9}","{'roe_pct': 10.1, 'operating_margin_pct': 40.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.6}",103.3,60426665984,Financial Services,Banks - Regional,,,False,114.6,-9.9,7.0,True,112.17,130.0,53.0,18.0,buy,8.6,,,2.1,-98.0,,,3.73,48.3,0.04,4.19,,,,102.5,21.0,2026-04-29,False,True,6.0,NEUTRAL,,,0.06,2026-04-08T11:01:42.833151,FTSE100,51.7,0.0,8.0,0.0,5.0,1.08,0.0,0.0,CONFIRMED_UPTREND,BUY,85,"Strong fundamentals with 10.1% ROE, 25% margin, and 23% growth, combined with analyst validation and no red flags",101.27,93.17,128.95,8.0,27.33,BUY NOW - At target entry price
LOGN.SW,LOGITECH N,84.9,🏆 ELITE,🟢 Elite,100.0,90.0,54.5,100.0,65.0,,,,,74.3,True,2,40.7,True,1,"{'eps_growth_yoy': 74.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 14.9}","{'revenue_growth_yoy': 40.7, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 4.5, 'rs_6m': -13.9}","{'roe_pct': 32.1, 'debt_to_equity': 0.04, 'current_ratio': 2.21, 'operating_margin_pct': 20.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 17.4}",76.36,11214051328,Technology,Computer Hardware,,,False,98.94,-22.8,5.0,False,89.68,112.57,67.54,11.0,buy,17.4,183.51,140.3,106.68,39.7,6.08,4.65,1.72,33.1,1.26,1.46,True,-3.4,165.5,19.6,27.0,2026-05-05,False,False,7.0,NEUTRAL,7.39,39.5,0.62,2026-04-08T11:08:40.902006,SMI20,66.0,6.0,5.0,3.0,5.0,2.17,1.0,0.0,CONFIRMED_UPTREND,BUY,85,"Strong fundamentals with high ROE, margin, and growth, combined with analyst validation and realistic upside",73.97,68.05,100.9,8.0,36.4,BUY ON PULLBACK - Wait for 2-5% dip
SAP.DE,SAP SE                        I,55.2,⭐ AVERAGE,🟡 Average,50.0,70.0,15.0,85.0,70.0,,,,,-5.6,False,0,7.4,True,2,"{'eps_growth_yoy': -5.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.5}","{'revenue_growth_yoy': 7.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -21.4, 'rs_6m': -32.6}","{'roe_pct': 16.1, 'debt_to_equity': 0.17, 'current_ratio': 1.16, 'operating_margin_pct': 29.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 51.7}",153.18,178846679040,Technology,Software - Application,,,False,273.55,-44.0,0.0,False,232.42,290.0,175.0,27.0,buy,51.7,116.33,-24.1,61.0,-60.2,4.74,7.26,1.68,38.5,2.5,1.45,True,-1.08,21.8,5.0,15.0,2026-04-23,False,True,8.0,STRONG,6.41,146.7,3.6,2026-04-08T10:57:26.470752,DAX40,64.1,3.0,5.0,3.0,1.0,6.46,3.0,15.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with ROE > 10%, Margin > 10%, and Debt/Eq < 2x, combined with significant upside potential and validation from 27 analysts",140.32,134.79,229.18,3.94,63.33,BUY ON PULLBACK - Wait for 2-5% dip
HNR1.DE,HANNOVER RUECK SE NA O.N.,79.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,80.0,66.5,65.0,60.0,,,,,40.8,True,1,14.5,True,2,"{'eps_growth_yoy': 40.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.2}","{'revenue_growth_yoy': 14.5, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 11.8, 'rs_6m': 5.8}","{'roe_pct': 20.8, 'debt_to_equity': 0.31, 'current_ratio': 0.21, 'operating_margin_pct': 18.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 7.6}",268.6,32392390656,Financial Services,Insurance - Reinsurance,,,False,292.6,-8.2,3.0,False,289.0,360.0,239.0,15.0,buy,7.6,1019.9,279.7,657.0,144.6,8.95,24.05,4.63,32.0,12.5,2.62,False,,26.5,23.9,33.0,2026-05-11,False,False,7.0,NEUTRAL,11.38,,0.33,2026-04-08T10:59:07.283718,DAX40,61.6,8.0,8.0,0.0,5.0,0.95,-3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, low debt, and positive growth, combined with analyst validation and realistic upside",275.93,253.86,332.94,8.0,20.66,BUY NOW - At target entry price
IAG.MC,INTL CONSOLIDATED AIRLINES GROU,70.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,60.0,50.0,60.0,65.0,,,,,263.1,False,0,13.3,False,0,"{'eps_growth_yoy': 263.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.1}","{'revenue_growth_yoy': 13.3, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -6.2, 'rs_6m': -0.5}","{'roe_pct': 48.5, 'debt_to_equity': 1.88, 'current_ratio': 0.7, 'operating_margin_pct': 14.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 27.4}",4.486,20271613952,Industrials,Airlines,,,False,5.3,-15.4,5.0,False,5.71,6.55,5.1,10.0,strong_buy,27.4,20.71,361.7,20.7,361.4,10.89,0.49,2.37,15.5,0.1,4.93,,,6.5,70.4,30.0,2026-05-08,False,False,8.0,STRONG,21.44,24.8,0.08,2026-04-08T11:05:51.411846,IBEX35,61.2,8.0,5.0,0.0,5.0,3.42,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE, decent margin, and manageable debt, combined with analyst validation and realistic upside potential.",4.5,4.14,5.82,8.0,29.43,BUY ON PULLBACK - Wait for 2-5% dip
PRU.L,PRUDENTIAL PLC ORD 5P,63.4,⭐⭐ GOOD,🟡 Good,60.0,50.0,60.5,95.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 27.6},{},"{'rs_3m': 2.1, 'rs_6m': 9.6}","{'roe_pct': 20.6, 'debt_to_equity': 0.28, 'current_ratio': 2.39, 'operating_margin_pct': 45.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 21.2}",1133.0,28438292480,Financial Services,Insurance - Life,,,False,1238.0,-8.5,7.0,True,1373.35,1610.0,1190.0,15.0,buy,21.2,47.02,-95.8,34.5,-97.0,9.78,1.11,1.84,15.4,0.2,1.63,,,,30.8,141.0,2026-08-27,False,False,6.0,NEUTRAL,16.76,,0.38,2026-04-08T11:01:21.081492,FTSE100,59.4,8.0,5.0,0.0,5.0,2.65,1.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, low debt, and analyst validation with a realistic upside",1090.25,1003.03,1390.13,8.0,27.51,BUY ON PULLBACK - Wait for 2-5% dip
ADS.DE,adidas AG                     N,44.5,⚠️ WEAK,🔴 Weak,45.0,30.0,30.0,70.0,70.0,,,,,-82.8,False,0,-1.3,False,0,"{'eps_growth_yoy': -82.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 5.4}","{'revenue_growth_yoy': -1.3, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -11.5, 'rs_6m': -24.6}","{'roe_pct': 23.0, 'debt_to_equity': 0.91, 'current_ratio': 1.32, 'operating_margin_pct': 3.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 42.6}",139.1,24669237248,Consumer Cyclical,Footwear & Accessories,,,False,227.7,-38.9,0.0,False,198.35,268.0,140.0,28.0,buy,42.6,28.55,-79.5,74.6,-46.4,1.39,1.94,2.08,26.8,2.8,1.3,True,-0.17,6.8,,21.0,2026-04-29,False,True,7.0,NEUTRAL,7.46,27.4,0.49,2026-04-08T10:58:40.830672,DAX40,51.8,0.0,5.0,3.0,0.0,5.32,3.0,15.0,CONFIRMED_UPTREND,BUY,80,"Strong ROE, reasonable debt, and analyst validation with a significant upside potential",134.01,127.35,204.12,4.97,52.31,BUY ON PULLBACK - Wait for 2-5% dip
