ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at
BUKS,Butler National Corp.,88.3,🏆 ELITE,🟢 Elite,100.0,90.0,83.0,95.0,50.0,80,81.4,False,up,101.1,False,0,24.6,True,2,"{'eps_growth_yoy': 101.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 21.4}","{'revenue_growth_yoy': 24.6, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 26.6, 'rs_6m': 52.8, 'rs_line_percentile': 81.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 28.4, 'debt_to_equity': 0.46, 'current_ratio': 1.89, 'operating_margin_pct': 34.3}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",3.6,231404416,Industrials,Aerospace & Defense,,,False,4.19,-14.1,8.0,True,,,,,none,,7.46,107.2,9.0,150.0,4.87,0.18,,,,,True,-2.7,14.0,50.0,,,False,False,7,NEUTRAL,8.27,21.8,0.12,2026-04-08T10:21:56.048947
BBT,Beacon Financial Corporation,87.7,🏆 ELITE,🟢 Elite,100.0,100.0,88.3,60.0,60.0,100,98.4,True,up,420.3,True,1,142.6,True,2,"{'eps_growth_yoy': 420.3, 'positive_quarters': 3, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 17.6}","{'revenue_growth_yoy': 142.6, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 19.3, 'rs_6m': 30.9, 'rs_line_percentile': 98.4, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 4.9, 'operating_margin_pct': 58.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 14.8}",30.62,2572944384,Financial Services,Banks - Regional,5.8,5.0,False,32.0,-4.3,8.0,True,35.14,42.0,33.0,7.0,buy,14.8,,,30.9,0.9,,,4.21,124.9,1.29,4.55,False,,,500.8,15.0,2026-04-23,False,True,4,NEUTRAL,,,0.02,2026-04-08T10:27:46.524706
GRMN,Garmin Ltd.,85.2,🏆 ELITE,🟢 Elite,100.0,90.0,71.0,90.0,50.0,80,81.1,False,up,58.9,True,1,38.4,True,1,"{'eps_growth_yoy': 58.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 23.0}","{'revenue_growth_yoy': 38.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 20.1, 'rs_6m': -4.3, 'rs_line_percentile': 81.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 19.8, 'debt_to_equity': 0.02, 'current_ratio': 3.63, 'operating_margin_pct': 28.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 7.9}",241.27,46439849984,Technology,Scientific & Technical Instruments,1.9,2.6,False,261.69,-7.8,8.0,True,260.25,320.0,220.0,8.0,none,7.9,125.92,-47.8,182.11,-24.5,1.7,4.11,1.74,40.2,4.2,2.09,False,,191.4,10.6,21.0,2026-04-29,False,True,7,NEUTRAL,4.27,30.8,1.12,2026-04-08T10:15:08.945630
LPG,Dorian LPG Ltd.,84.6,🏆 ELITE,🟢 Elite,100.0,80.0,83.0,80.0,60.0,80,85.9,False,up,483.2,False,0,58.1,False,0,"{'eps_growth_yoy': 483.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 30.4}","{'revenue_growth_yoy': 58.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 35.5, 'rs_6m': 27.3, 'rs_line_percentile': 85.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 6.0}",34.09,1457146496,Energy,Oil & Gas Midstream,4.6,2.3,False,38.4,-11.2,8.0,True,36.12,41.0,26.5,4.0,buy,6.0,100.74,195.5,84.9,149.0,6.97,2.38,7.1,86.6,2.45,,True,-0.46,5.4,85.1,43.0,2026-05-21,False,False,4,NEUTRAL,6.72,7.6,0.08,2026-04-08T10:23:33.343393
EME,"EMCOR Group, Inc.",83.3,🏆 ELITE,🟢 Elite,100.0,70.0,82.7,85.0,65.0,95,90.1,False,up,80.6,True,1,16.7,True,1,"{'eps_growth_yoy': 80.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 7.5}","{'revenue_growth_yoy': 16.7, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 18.9, 'rs_6m': 13.4, 'rs_line_percentile': 90.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 38.5, 'debt_to_equity': 0.13, 'current_ratio': 1.22, 'operating_margin_pct': 9.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 15.2}",750.42,33593198592,Industrials,Engineering & Construction,2.4,1.9,False,835.0,-10.1,8.0,True,864.17,1000.0,770.0,6.0,buy,15.2,943.86,25.8,845.4,12.7,2.95,22.26,0.17,3.5,1.3,0.3,True,-1.75,73.1,53.0,21.0,2026-04-29,False,True,6,NEUTRAL,5.29,98.2,0.45,2026-04-08T10:14:57.411606
LTC,"LTC Properties, Inc.",82.5,🏆 ELITE,🟢 Elite,100.0,90.0,68.7,75.0,50.0,60,59.6,False,up,394.2,True,1,71.9,True,1,"{'eps_growth_yoy': 394.2, 'positive_quarters': 3, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 45.8}","{'revenue_growth_yoy': 71.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 15.8, 'rs_6m': 15.5, 'rs_line_percentile': 59.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 11.2, 'debt_to_equity': 0.85, 'current_ratio': 17.97, 'operating_margin_pct': 52.9}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 6.4}",38.82,1883148928,Real Estate,REIT - Healthcare Facilities,8.5,7.3,True,40.8,-4.9,6.0,False,41.29,45.0,38.0,7.0,hold,6.4,40.5,4.3,25.2,-35.1,7.09,2.75,5.87,90.5,2.28,6.45,False,,4.5,-21.8,26.0,2026-05-04,False,False,6,NEUTRAL,7.33,30.7,,2026-04-08T10:28:44.773566
DELL,Dell Technologies Inc.,82.3,🏆 ELITE,🟢 Elite,100.0,90.0,89.0,40.0,60.0,95,92.1,False,up,134.1,True,2,42.8,True,1,"{'eps_growth_yoy': 134.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 5.2}","{'revenue_growth_yoy': 42.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 48.5, 'rs_6m': 24.2, 'rs_line_percentile': 92.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'current_ratio': 0.91, 'operating_margin_pct': 9.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': -3.2}",177.69,117753315328,Technology,Computer Hardware,9.0,2.7,True,186.39,-4.7,8.0,True,172.0,220.0,110.0,24.0,buy,-3.2,880.08,395.3,260.1,46.4,5.61,20.75,1.46,24.2,2.52,,True,-5.44,5.6,57.3,50.0,2026-05-28,False,False,7,NEUTRAL,6.51,132.2,0.21,2026-04-08T10:14:36.288258
ATLO,Ames National Corporation,82.2,🏆 ELITE,🟢 Elite,100.0,80.0,91.0,60.0,50.0,100,95.3,True,up,89.2,True,1,20.8,True,1,"{'eps_growth_yoy': 89.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 29.3}","{'revenue_growth_yoy': 20.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 29.4, 'rs_6m': 45.5, 'rs_line_percentile': 95.3, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 9.9, 'operating_margin_pct': 46.2}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",28.51,253515712,Financial Services,Banks - Regional,2.5,6.0,False,28.75,-0.8,8.0,True,,,,,none,,,,64.2,125.2,,,3.37,37.4,0.96,4.85,True,-0.66,,44.1,8.0,2026-04-16,False,True,7,NEUTRAL,,,0.15,2026-04-08T10:25:31.121916
NVT,nVent Electric plc,81.1,🏆 ELITE,🟢 Elite,90.0,80.0,80.3,80.0,60.0,80,87.3,False,up,33.1,False,0,31.8,False,0,"{'eps_growth_yoy': 33.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 18.2}","{'revenue_growth_yoy': 31.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 12.7, 'rs_6m': 23.1, 'rs_line_percentile': 87.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 11.9}",118.92,19232868352,Industrials,Electrical Equipment & Parts,2.0,1.4,False,129.936,-8.5,8.0,True,133.08,150.0,68.04,13.0,strong_buy,11.9,150.61,26.6,78.9,-33.7,2.99,3.55,0.72,30.8,0.84,1.46,True,-1.32,8.3,1112.4,23.0,2026-05-01,False,False,6,NEUTRAL,3.02,52.1,0.02,2026-04-08T10:22:35.240227
ANET,"Arista Networks, Inc.",81.1,🏆 ELITE,🟢 Elite,95.0,80.0,56.7,95.0,70.0,60,67.2,False,down,17.4,True,1,24.1,True,1,"{'eps_growth_yoy': 17.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 39.0}","{'revenue_growth_yoy': 24.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 5.3, 'rs_6m': -9.3, 'rs_line_percentile': 67.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 60}","{'roe_pct': 31.4, 'debt_to_equity': 0.01, 'current_ratio': 3.05, 'operating_margin_pct': 41.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 32.5}",133.64,168290861056,Technology,Computer Hardware,1.5,2.0,False,164.94,-19.0,4.0,False,177.02,220.0,140.0,27.0,strong_buy,32.5,76.25,-42.9,55.58,-58.4,2.01,2.7,,,,,True,-0.95,852.2,19.1,27.0,2026-05-05,False,False,4,NEUTRAL,2.45,34.4,1.64,2026-04-08T10:18:02.917360
