ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date
9999.HK,"NetEase, Inc.",177.7,HKD,84.0,A,84.0,ROE 22.6% | Potencial +44% analistas | FCF yield 5.5% | Margen 30% | Dividendo 2.6% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,255.26,43.6,22,5.5,5.46,2.65,,22.6,11.2,14.8,30.0,3.0,-28.3,,NTES,,,2026-04-15
0700.HK,Tencent Holdings Limited,499.0,HKD,82.0,A,82.0,ROE 20.0% | Potencial +45% analistas | Margen 30% | Dividendo 1.1% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,721.06,44.5,44,3.1,5.56,1.07,,20.0,12.8,18.0,29.9,12.7,-26.9,,TCEHY,,,2026-04-15
2382.HK,Sunny Optical Technology (Group) Company Limited,62.0,HKD,76.0,A,76.0,ROE 17.5% | Potencial +32% analistas | Crecimiento ingresos +21% | Dividendo 1.9% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Technology,HongKong,🇭🇰,10.7,81.64,31.7,24,,3.96,1.94,,17.5,12.3,18.0,10.7,21.3,-32.2,,,,,2026-04-15
2020.HK,ANTA Sports Products Limited,83.75,HKD,75.0,A,75.0,ROE 22.5% | Potencial +25% | FCF yield 6.0% | Dividendo 2.5% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,104.87,25.2,31,6.0,3.15,2.54,,22.5,13.1,15.2,16.9,12.4,-21.2,,,,,2026-04-15
TOTS3.SA,TOTVS S.A.,34.8,BRL,69.0,A,69.0,ROE 16.1% | Potencial +49% analistas | Crecimiento ingresos +15% | Dividendo 1.9% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,51.75,48.7,13,1.1,6.09,1.87,,16.1,15.6,24.7,15.4,15.1,-28.1,,,,,2026-04-15
4568.T,"Daiichi Sankyo Company, Limited",2832.0,JPY,68.0,A,68.0,ROE 18.3% | Potencial +65% analistas | FCF negativo | Crecimiento ingresos +15% | Dividendo 2.9% | Mercado Japan CAPE 29 (26% descuento histórico),3,1,Healthcare,Japan,🇯🇵,29.4,4677.5,65.2,16,-2.0,8.15,2.85,,18.3,19.7,18.9,14.8,15.1,-32.2,,DSNKY,,,2026-04-15
8766.T,"Tokio Marine Holdings, Inc.",6836.0,JPY,68.0,A,68.0,ROE 20.7% | P/E 13.9x | Potencial +14% | Crecimiento ingresos +22% | Dividendo 3.0% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Financial Services,Japan,🇯🇵,29.4,7812.0,14.3,11,,1.78,3.05,,20.7,13.9,12.4,12.6,21.8,-13.1,FCF no comparable (sector financiero),TKOMY,,,2026-04-15
6098.T,"Recruit Holdings Co., Ltd.",7163.0,JPY,67.0,A,67.0,ROE 27.3% | Potencial +36% analistas | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Communication Services,Japan,🇯🇵,29.4,9761.25,36.3,16,4.2,4.53,0.34,,27.3,23.7,24.1,12.8,5.2,-25.1,,RCRUY,,,2026-04-15
0388.HK,Hong Kong Exchanges and Clearing Limited,414.0,HKD,66.0,A,66.0,ROE 31.5% | Potencial +25% | Margen 62% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,518.29,25.2,17,,3.15,3.2,,31.5,27.4,29.6,61.5,13.8,-11.2,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-04-15
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",62.55,HKD,64.0,B,64.0,P/E 5.8x (vs 11x mercado) | Potencial +32% analistas | Dividendo 4.8% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,82.74,32.3,17,,4.04,4.79,,11.6,5.8,7.3,14.1,-11.0,-16.3,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Ingresos en declive YoY,PNGAY,,,2026-04-15
1299.HK,AIA Group Limited,83.85,HKD,62.0,B,62.0,Potencial +23% | Margen 24% | Dividendo 2.2% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,103.54,23.5,18,,2.94,2.22,,14.8,12.5,18.1,23.8,6.0,-9.0,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-04-15
7974.T,"Nintendo Co., Ltd.",8189.0,JPY,58.0,B,58.0,Potencial +49% analistas | Crecimiento ingresos +86% | Dividendo 2.2% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Communication Services,Japan,🇯🇵,29.4,12191.19,48.9,26,,6.11,2.21,,14.1,24.1,25.8,18.9,86.3,-44.7,,NTDOY,,,2026-04-15
ITUB4.SA,Itaú Unibanco Holding S.A.,46.53,BRL,57.0,B,57.0,ROE 21.0% | P/E 9.0x | Margen 32% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,48.0,3.2,13,,0.39,1.18,,21.0,9.0,11.6,32.3,11.0,-6.3,FCF no comparable (sector financiero),ITUB,,,2026-04-15
005930.KS,"Samsung Electronics Co., Ltd.",211000.0,KRW,56.0,B,56.0,P/E 7.3x (vs 11x mercado) | Potencial +14% | Crecimiento ingresos +24% | Dividendo 1.1%,0,0,Technology,Korea,🇰🇷,21.2,239873.48,13.7,37,1.7,1.71,1.1,,10.8,7.3,,13.3,23.8,-5.4,,SSNLF,,,2026-04-15
035420.KS,NAVER Corporation,211000.0,KRW,55.0,B,55.0,Potencial +48% analistas | Dividendo 1.3%,0,0,Communication Services,Korea,🇰🇷,21.2,312961.53,48.3,26,4.6,6.04,1.31,,6.5,13.5,,16.2,10.7,-28.5,,,,,2026-04-15
RDOR3.SA,Rede D'Or São Luiz S.A.,42.41,BRL,53.0,B,53.0,ROE 20.0% | Potencial +22% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Healthcare,Brazil,🇧🇷,9.0,51.58,21.6,12,4.6,2.7,1.5,,20.0,14.9,19.6,8.4,11.9,-12.4,Deuda elevada (D/E >2x),RDORY,,,2026-04-15
012330.KS,"Hyundai Mobis Co.,Ltd",415500.0,KRW,52.0,B,52.0,P/E 7.8x | Potencial +33% analistas | Dividendo 1.6%,0,0,Consumer Cyclical,Korea,🇰🇷,21.2,554133.3,33.4,30,3.0,4.17,1.6,,7.7,7.8,,6.0,4.7,-21.8,,,,,2026-04-15
105560.KS,KB Financial Group Inc.,158200.0,KRW,50.0,B,50.0,P/E 8.4x | Potencial +15% | Crecimiento ingresos +32% | Margen 37% | Dividendo 4.1%,1,0,Financial Services,Korea,🇰🇷,21.2,182263.16,15.2,19,,1.9,4.12,,9.7,8.4,,36.7,31.8,-8.3,FCF no comparable (sector financiero),,,,2026-04-15
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",19.68,BRL,47.0,C,47.0,ROE 25.6% | Margen 46% | Dividendo 3.1% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,19.18,-2.5,14,,-0.32,3.08,,25.6,16.1,23.7,45.5,10.5,-0.3,FCF no comparable (sector financiero),,,,2026-04-15
7203.T,Toyota Motor Corporation,3381.0,JPY,46.0,C,46.0,P/E 10.4x (vs 16x mercado) | Potencial +18% | FCF negativo | Dividendo 2.9% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Consumer Cyclical,Japan,🇯🇵,29.4,3992.32,18.1,17,-0.1,2.26,2.86,,10.0,10.4,11.9,7.3,8.6,-15.5,,TM,,,2026-04-15
7733.T,Olympus Corporation,1614.5,JPY,44.0,C,44.0,P/E 12.9x | Potencial +12% | Dividendo 1.9% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Healthcare,Japan,🇯🇵,29.4,1803.85,11.7,13,0.6,1.47,1.89,,11.2,12.9,18.7,8.6,3.9,-25.5,,,,,2026-04-15
