ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
PODD,Insulet,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,219.84,$299.86 - $312.1,314.2,290.68,0.0,2026-03-16,21.6,-26.5,305.98,314.2,-28.2,1.79,,,,,,
URI,"United Rentals,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,737.22,$761.68 - $792.77,931.49,738.37,0.0,2026-03-16,24.2,-22.7,777.23,931.49,-5.1,1.25,,,,,,
VENU,Venu Holding,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,3.39,$8.36 - $8.71,10.89,8.11,0.0,2026-03-16,15.2,-65.0,8.53,10.89,-60.3,1.27,,,,,,
IP,International Paper,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,37.25,$36.46 - $37.95,46.13,35.35,4.67,2026-03-16,23.8,-23.5,37.21,46.13,0.1,1.45,,,,,,
MNRO,"Monro,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,15.31,$16.7 - $17.38,21.11,16.19,0.0,2026-03-16,1.8,-34.9,17.04,21.11,-10.2,1.27,,,,,,
PRU,"Prudential Financial,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,92.0,$97.65 - $101.63,116.03,94.66,0.0,2026-03-16,23.3,-21.5,99.64,116.03,-7.7,0.9,,,,,,
APTV,Aptiv PLC,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,70.5,$74.4 - $77.44,86.64,72.12,0.0,2026-03-16,29.2,-20.5,75.92,86.64,-7.1,0.77,,,,,,
CNDT,CNDT,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,1.29,$1.79 - $1.86,2.07,1.73,0.0,2026-03-16,26.1,-37.7,1.82,2.07,-29.3,1.08,,,,,,
KFS,Kingsway Financial Services,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,10.38,$12.05 - $12.55,13.9,11.69,0.0,2026-03-16,24.1,-25.3,12.3,13.9,-15.6,1.12,,,,,,
BH,Biglari,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,300.35,$316.17 - $329.07,425.96,306.49,0.0,2026-03-16,27.4,-37.0,322.62,425.96,-6.9,0.8,,,,,,
