ticker,purchase_count,unique_insiders,days_span,first_purchase,last_purchase,confidence_score,confidence_label,market
AAL.L,10,10,7,2026-03-09,2026-03-16,100,MUY ALTA,FTSE100
BA.L,30,11,61,2026-01-14,2026-03-16,100,MUY ALTA,FTSE100
BARC.L,12,12,7,2026-02-11,2026-02-18,100,MUY ALTA,FTSE100
BATS.L,43,14,56,2026-01-07,2026-03-04,100,MUY ALTA,FTSE100
BP.L,6,2,57,2026-01-12,2026-03-10,100,MUY ALTA,FTSE100
BT-A.L,5,5,1,2026-02-10,2026-02-11,100,MUY ALTA,FTSE100
CBK.DE,7,7,0,2026-02-11,2026-02-11,100,MUY ALTA,DAX40
DGE.L,25,9,70,2025-12-30,2026-03-10,100,MUY ALTA,FTSE100
EXPN.L,4,3,11,2026-01-26,2026-02-06,100,MUY ALTA,FTSE100
GSK.L,38,11,61,2026-01-08,2026-03-10,100,MUY ALTA,FTSE100
GLEN.L,36,13,8,2026-01-28,2026-02-05,100,MUY ALTA,FTSE100
HEIG.DE,4,2,16,2026-02-25,2026-03-13,100,MUY ALTA,DAX40
LLOY.L,18,6,59,2026-01-09,2026-03-09,100,MUY ALTA,FTSE100
LAND.L,6,2,58,2026-01-05,2026-03-04,100,MUY ALTA,FTSE100
HSBA.L,11,9,1,2026-03-09,2026-03-10,100,MUY ALTA,FTSE100
MUV2.DE,4,3,58,2026-01-12,2026-03-11,100,MUY ALTA,DAX40
MTX.DE,5,3,8,2026-02-26,2026-03-06,100,MUY ALTA,DAX40
NG.L,6,3,33,2026-01-07,2026-02-09,100,MUY ALTA,FTSE100
MNDI.L,6,2,57,2026-01-08,2026-03-06,100,MUY ALTA,FTSE100
RIO.L,37,13,7,2026-01-29,2026-02-05,100,MUY ALTA,FTSE100
RHM.DE,6,5,34,2026-01-02,2026-02-05,100,MUY ALTA,DAX40
PRU.L,21,7,57,2026-01-12,2026-03-10,100,MUY ALTA,FTSE100
NWG.L,8,8,0,2026-01-02,2026-01-02,100,MUY ALTA,FTSE100
VOD.L,4,4,5,2026-02-05,2026-02-10,100,MUY ALTA,FTSE100
TSCO.L,20,7,63,2026-01-09,2026-03-13,100,MUY ALTA,FTSE100
SHEL.L,9,9,0,2026-02-26,2026-02-26,100,MUY ALTA,FTSE100
SSE.L,29,8,59,2026-01-06,2026-03-06,100,MUY ALTA,FTSE100
RR.L,15,5,61,2026-01-07,2026-03-09,100,MUY ALTA,FTSE100
SGE.L,17,12,15,2026-02-02,2026-02-17,100,MUY ALTA,FTSE100
STAN.L,3,3,0,2026-03-17,2026-03-17,90,MUY ALTA,FTSE100
IMB.L,3,3,0,2026-01-06,2026-01-06,90,MUY ALTA,FTSE100
WPP.L,2,2,0,2026-02-26,2026-02-26,60,MUY ALTA,FTSE100
G24.DE,2,2,0,2026-01-07,2026-01-07,60,MUY ALTA,DAX40
FRE.DE,2,2,7,2026-03-05,2026-03-12,60,MUY ALTA,DAX40
SAP.DE,2,2,1,2026-01-29,2026-01-30,60,MUY ALTA,DAX40
WTB.L,2,2,2,2026-02-16,2026-02-18,60,MUY ALTA,FTSE100
SRT3.DE,2,2,27,2026-02-11,2026-03-10,60,MUY ALTA,DAX40
CPG.L,2,1,52,2026-01-09,2026-03-02,50,ALTA,FTSE100
SHL.DE,2,1,35,2026-02-11,2026-03-18,50,ALTA,DAX40
