ticker,vcp_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,ml_score,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,cerebro_signal,cerebro_score_adj,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
APA,88.35714285714286,APA Corporation,56.7,Energy,Oil & Gas E&P,55.0,30.0,91.0,70.0,40.0,39.03,13787405312,100,97.8,True,up,,,0,-24.5,False,0,11.2,4.8,True,39.52,-1.2,8.0,True,"{'roe_pct': 25.3, 'debt_to_equity': 0.69, 'current_ratio': 0.82, 'operating_margin_pct': 30.6}",{'profit_margin_pct': 16.5},30.79,45.0,21.0,28.0,hold,-21.1,81.68,109.3,39.9,2.2,14.22,5.55,2.56,25.1,2.57,False,,11.0,-7.3,43.0,2026-05-06,False,False,7.0,NEUTRAL,16.16,24.1,,,,,,,50.0,80.4,35.3,15.0,17.0,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,100,"Strong institutional buying (2.2x ratio, 68% up volume)",MEGA_FLOAT,351.0,18.0,67.4,100,True,up,97.8,10.0,,0,False,0,0.0,5,38.0,89.5,Top 25%,66.3,3.0,3.0,5.0,10.0,0.0,0.0,0.0,0.0,False,2/3,4.0,0.0,0.0,8.0,3.0,0.0,0.0,-2.64,-3.0,5.0,25,0,,,0.0,79.84857142857143,⚡ STRONG,🟢 Elite,AVOID,15.0,Near ATH (-1.2% from high) - poor entry point | Price above target (-21.1% upside) - limited room,-1.2,NEUTRAL,HOLD,False
EOG,90.36363636363636,"EOG Resources, Inc.",60.1,Energy,Oil & Gas E&P,60.0,30.0,83.0,80.0,60.0,139.68,75790147584,80,84.9,False,up,,,0,-3.2,False,0,2.8,2.7,False,141.135,-1.0,7.0,True,"{'roe_pct': 16.8, 'debt_to_equity': 0.31, 'current_ratio': 1.63, 'operating_margin_pct': 16.9}",{'profit_margin_pct': 22.0},139.38,160.0,110.0,29.0,buy,-0.2,63.83,-54.3,91.2,-34.7,3.07,4.34,2.92,43.3,2.6,True,-3.38,28.1,-29.2,37.0,2026-04-30,False,False,4.0,NEUTRAL,8.18,14.6,,,,,,,50.0,51.2,36.1,15.0,18.0,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,False,66,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,75,"Strong institutional buying (1.6x ratio, 60% up volume)",MEGA_FLOAT,534.5,38.0,69.2,80,False,up,84.9,5.0,,0,False,0,0.0,5,38.0,89.5,Top 25%,66.3,3.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,False,1/3,0.0,0.0,0.0,3.0,3.0,3.0,-3.0,-0.02,-3.0,0.0,63,0,,,0.0,76.69181818181819,⚡ STRONG,🟢 Elite,AVOID,35.0,Near ATH (-1.0% from high) - poor entry point,-1.0,NEUTRAL,BUY,False
DELL,88.53571428571429,Dell Technologies Inc.,67.7,Technology,Computer Hardware,50.0,90.0,91.0,40.0,60.0,164.59,109072080896,100,100.0,True,up,,,0,42.8,True,1,8.7,2.9,True,169.9,-3.1,7.0,True,"{'current_ratio': 0.91, 'operating_margin_pct': 9.6}",{'profit_margin_pct': 5.2},167.87,220.0,110.0,23.0,buy,2.0,880.08,434.7,260.1,58.0,6.06,20.75,1.53,24.2,,True,-5.87,5.6,57.3,65.0,2026-05-28,False,False,7.0,NEUTRAL,6.95,132.2,0.2,,,,,,50.0,84.7,35.4,15.0,20.3,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,True,83,Passes Minervini Template (5/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.6x ratio, 60% up volume)",MEGA_FLOAT,295.1,18.0,70.7,100,True,up,100.0,10.0,,0,True,1,2.0,1,38.0,100.0,Top 10%,86.2,5.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,False,2/3,53.08,0.0,0.0,6.0,3.0,3.0,5.0,0.25,-3.0,5.0,16,0,,,0.0,76.53785714285713,⚡ STRONG,🟢 Elite,AVOID,35.0,Near ATH (-3.1% from high) - poor entry point,-3.1,NEUTRAL,BUY,False
EME,78.1125,"EMCOR Group, Inc.",68.8,Industrials,Engineering & Construction,50.0,70.0,85.4,85.0,65.0,744.66,33335347200,95,90.5,False,up,,,0,16.7,True,1,2.2,1.8,False,835.0,-10.8,8.0,True,"{'roe_pct': 38.5, 'debt_to_equity': 0.13, 'current_ratio': 1.22, 'operating_margin_pct': 9.5}",{'profit_margin_pct': 7.5},869.29,1000.0,770.0,7.0,buy,16.7,943.86,26.8,846.6,13.7,2.97,22.26,0.21,3.5,0.31,True,-1.76,73.1,53.0,36.0,2026-04-29,False,False,6.0,NEUTRAL,5.33,98.2,0.45,,,,,,50.0,76.9,31.2,15.0,20.6,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 55% up volume)",MEDIUM_FLOAT,44.0,15.0,66.9,95,False,up,90.5,5.0,,0,True,1,2.0,3,38.0,94.7,Top 10%,70.6,5.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,False,2/3,52.22,5.0,0.0,0.0,0.0,3.0,5.0,2.09,1.0,2.0,41,0,,,0.0,69.93625,📈 GOOD,🟢 Excellent,HOLD,65.0,Close to ATH (-10.8% from high) - wait for pullback | Strong upside (+16.7%) - analyst support,-10.8,NEUTRAL,BUY,False
EBAY,84.95,eBay Inc.,62.3,Consumer Cyclical,Internet Retail,55.0,70.0,60.3,75.0,50.0,89.85,40612200448,60,56.1,False,up,,,0,14.7,True,1,3.4,2.1,False,101.15,-11.2,7.0,True,"{'roe_pct': 40.8, 'debt_to_equity': 1.56, 'current_ratio': 1.1, 'operating_margin_pct': 16.2}",{'profit_margin_pct': 18.3},99.13,122.0,60.0,30.0,none,10.3,24.34,-72.9,42.6,-52.6,1.82,1.65,1.38,27.2,1.66,True,-6.16,10.4,-9.2,36.0,2026-04-29,False,False,5.0,NEUTRAL,5.74,115.3,,,,,,,50.0,63.7,34.0,15.0,18.7,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.6x ratio, 61% up volume)",MEGA_FLOAT,446.0,18.0,67.7,60,False,up,56.1,2.0,,0,True,1,2.0,21,38.0,47.4,Bajo 50%,30.2,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,False,2/3,42.92,0.0,0.0,0.0,0.0,3.0,0.0,1.29,0.0,0.0,28,0,,,0.0,68.205,📈 GOOD,🟢 Excellent,HOLD,50.0,Close to ATH (-11.2% from high) - wait for pullback,-11.2,NEUTRAL,NONE,False
CF,82.63157894736842,"CF Industries Holdings, Inc.",68.8,Basic Materials,Agricultural Inputs,60.0,70.0,83.0,85.0,40.0,120.18,18467917824,80,77.3,False,up,,,0,12.6,True,1,8.4,4.6,True,137.44,-12.6,7.0,True,"{'roe_pct': 23.4, 'debt_to_equity': 0.47, 'current_ratio': 3.37, 'operating_margin_pct': 35.3}",{'profit_margin_pct': 20.5},105.63,150.0,85.0,19.0,hold,-12.1,361.06,200.4,269.1,123.9,7.08,8.51,1.66,22.3,2.07,True,-7.47,16.4,14.8,43.0,2026-05-06,False,False,8.0,STRONG,10.34,25.8,0.43,,,,,,50.0,53.7,33.1,15.0,20.6,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,False,66,150 MA below 200 MA - not in Stage 2,ACCUMULATION,70,"Moderate accumulation (1.3x ratio, 56% up volume)",HIGH_FLOAT,152.6,35.0,68.7,80,False,up,77.3,5.0,,0,True,1,2.0,,38.0,,Sin datos suficientes,77.3,0.0,3.0,3.0,7.0,0.0,0.0,0.0,0.0,False,1/3,4.15,0.0,0.0,6.0,3.0,3.0,3.0,-1.51,-3.0,10.0,27,0,,,0.0,67.69578947368421,📈 GOOD,🟢 Excellent,HOLD,35.0,Close to ATH (-12.6% from high) - wait for pullback | Price above target (-12.1% upside) - limited room,-12.6,NEUTRAL,HOLD,False
CMS,89.33333333333334,CMS Energy Corporation,54.0,Utilities,Utilities - Regulated Electric,55.0,50.0,53.9,55.0,60.0,74.62,22865127424,35,33.6,False,up,,,0,-8.7,True,2,5.7,4.2,False,78.88,-5.4,6.0,False,"{'roe_pct': 10.9, 'debt_to_equity': 1.95, 'current_ratio': 0.98, 'operating_margin_pct': 21.7}",{'profit_margin_pct': 12.5},79.62,87.0,66.0,13.0,buy,6.7,,,35.2,-52.8,-7.62,-5.69,3.06,61.6,2.98,False,,2.6,4.6,30.0,2026-04-23,False,False,5.0,NEUTRAL,4.86,6.7,2.71,,,,,,50.0,61.900000000000006,35.7,15.0,16.2,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",MEGA_FLOAT,304.3,18.0,66.9,35,False,up,33.6,2.0,,0,True,2,2.0,15,38.0,63.2,Medio,39.2,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,False,2/3,21.900000000000002,0.0,0.0,-5.0,5.0,0.0,1.0,0.84,-3.0,0.0,111,0,,,0.0,66.56666666666668,📈 GOOD,🟢 Excellent,HOLD,55.0,Close to ATH (-5.4% from high) - wait for pullback,-5.4,NEUTRAL,BUY,False
T,76.33333333333334,AT&T Inc.,59.1,Communication Services,Telecom Services,55.0,60.0,66.6,55.0,60.0,28.76,203892572160,60,58.0,False,up,,,0,9.3,True,1,1.5,2.1,False,29.79,-3.5,5.0,False,"{'roe_pct': 18.8, 'debt_to_equity': 1.24, 'current_ratio': 0.91, 'operating_margin_pct': 18.4}",{'profit_margin_pct': 17.5},29.96,34.0,25.0,23.0,buy,4.2,26.45,-8.0,30.4,5.7,6.17,1.8,3.86,27.4,6.43,True,-3.22,5.0,-5.6,29.0,2026-04-22,False,False,6.0,NEUTRAL,9.38,21.9,,,,,,,50.0,37.3,30.5,15.0,17.7,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,False,50,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,75,"Strong institutional buying (1.9x ratio, 63% up volume)",MEGA_FLOAT,6985.9,38.0,63.3,60,False,up,58.0,2.0,,0,True,1,2.0,11,38.0,73.7,Medio,45.8,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,False,1/3,50.64,0.0,0.0,6.0,5.0,3.0,0.0,0.52,-3.0,2.0,39,0,,,0.0,63.57666666666667,📊 DECENT,🟡 Good,,,,,,,
EXE,84.65,Expand Energy Corporation,69.3,Energy,Oil & Gas E&P,55.0,90.0,55.1,85.0,65.0,107.64,25876467712,35,35.6,False,up,,,0,52.1,True,1,2.8,1.5,False,126.621,-15.0,5.0,False,"{'roe_pct': 10.1, 'debt_to_equity': 0.27, 'current_ratio': 1.0, 'operating_margin_pct': 27.5}",{'profit_margin_pct': 15.6},130.82,152.0,86.0,28.0,strong_buy,21.5,207.46,92.7,75.7,-29.7,4.54,4.89,2.96,42.1,,True,-0.0,10.7,,35.0,2026-04-28,False,False,8.0,STRONG,8.29,10.3,3.88,BULLISH,0.11,70.0,3.0,1.0,50.0,49.599999999999994,33.9,15.0,20.8,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,False,66,200 MA declining - structural weakness,STRONG_ACCUMULATION,80,"Strong institutional buying (1.4x ratio, 56% up volume)",MEGA_FLOAT,239.4,38.0,69.6,35,False,up,35.6,2.0,,0,True,1,2.0,5,38.0,89.5,Top 25%,66.3,3.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,False,1/3,69.72,0.0,0.0,3.0,3.0,3.0,0.0,2.69,1.0,10.0,66,0,,,0.0,62.755,📊 DECENT,🟡 Good,BUY,100.0,Good pullback (-15.0% from high) - valid VCP setup | Strong upside (+21.5%) - analyst support,-15.0,NEUTRAL,STRONG_BUY,False
DUK,79.53333333333333,Duke Energy Corporation (Holdin,48.3,Utilities,Utilities - Regulated Electric,55.0,30.0,53.9,50.0,60.0,127.34,99028606976,35,44.8,False,up,,,0,-3.8,False,0,2.3,3.7,False,134.49,-5.3,6.0,False,"{'roe_pct': 9.7, 'debt_to_equity': 1.72, 'current_ratio': 0.55, 'operating_margin_pct': 28.1}",{'profit_margin_pct': 15.6},138.29,146.0,127.0,17.0,buy,8.6,,,63.2,-50.4,-2.02,-2.58,3.35,66.9,3.85,False,,2.6,-1.5,42.0,2026-05-05,False,False,8.0,STRONG,4.87,7.1,,,,,,,50.0,48.3,31.8,15.0,14.5,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,True,83,Passes Minervini Template (5/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.7x ratio, 62% up volume)",MEGA_FLOAT,775.4,18.0,61.3,35,False,up,44.8,2.0,,0,False,0,0.0,15,38.0,63.2,Medio,39.2,0.0,0.0,3.0,5.0,0.0,0.0,0.0,5.0,False,2/3,33.019999999999996,0.0,0.0,-5.0,5.0,0.0,0.0,1.08,0.0,10.0,109,0,,,0.0,61.096666666666664,📊 DECENT,🟡 Good,HOLD,55.0,Close to ATH (-5.3% from high) - wait for pullback,-5.3,NEUTRAL,BUY,False
