ticker,company_name,sentiment,flow_score,quality,current_price,total_premium,put_call_ratio,unusual_calls,unusual_puts,detected_date,expiration_date,days_to_expiration,total_unusual,call_premium,put_premium,sentiment_emoji,top_calls,top_puts
INTC,Intel,NEUTRAL,100,🔥🔥🔥 WHALE ACTIVITY,44.01,9937620.0,0.63,22,17,2026-03-24,2026-03-27,2,39,6109519.0,3828101.0,🟡,"[{'type': 'CALL', 'strike': 45.0, 'volume': 17686, 'oi': 0, 'vol_oi_ratio': 17686, 'last_price': 0.86, 'premium': 1520996.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 47.0, 'volume': 36025, 'oi': 0, 'vol_oi_ratio': 36025, 'last_price': 0.34, 'premium': 1224850.0, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'CALL', 'strike': 46.0, 'volume': 9760, 'oi': 0, 'vol_oi_ratio': 9760, 'last_price': 0.55, 'premium': 536800.0, 'itm': False, 'implied_volatility': 0.12500875}]","[{'type': 'PUT', 'strike': 45.0, 'volume': 4260.0, 'oi': 0, 'vol_oi_ratio': 4260.0, 'last_price': 1.8, 'premium': 766800.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 44.0, 'volume': 4698.0, 'oi': 0, 'vol_oi_ratio': 4698.0, 'last_price': 1.3, 'premium': 610740.0, 'itm': False, 'implied_volatility': 0.00196310546875}, {'type': 'PUT', 'strike': 42.0, 'volume': 11329.0, 'oi': 0, 'vol_oi_ratio': 11329.0, 'last_price': 0.53, 'premium': 600437.0, 'itm': False, 'implied_volatility': 0.12500875}]"
BA,The Boeing,BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,198.41,11844724.0,5.72,10,13,2026-03-24,2026-03-27,2,23,1763221.0,10081503.0,🔴,"[{'type': 'CALL', 'strike': 200.0, 'volume': 1577.0, 'oi': 0, 'vol_oi_ratio': 1577.0, 'last_price': 2.87, 'premium': 452599.0, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'CALL', 'strike': 202.5, 'volume': 1730.0, 'oi': 0, 'vol_oi_ratio': 1730.0, 'last_price': 1.82, 'premium': 314860.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 205.0, 'volume': 2719.0, 'oi': 0, 'vol_oi_ratio': 2719.0, 'last_price': 1.1, 'premium': 299090.0, 'itm': False, 'implied_volatility': 0.062509375}]","[{'type': 'PUT', 'strike': 230.0, 'volume': 1575.0, 'oi': 0, 'vol_oi_ratio': 1575.0, 'last_price': 29.4, 'premium': 4630500.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 250.0, 'volume': 440.0, 'oi': 0, 'vol_oi_ratio': 440.0, 'last_price': 50.45, 'premium': 2219800.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 255.0, 'volume': 237.0, 'oi': 0, 'vol_oi_ratio': 237.0, 'last_price': 49.05, 'premium': 1162484.9999999998, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
CRM,"Salesforce,",NEUTRAL,100,🔥🔥🔥 WHALE ACTIVITY,195.18,2685969.0,0.87,8,8,2026-03-24,2026-03-27,2,16,1436495.0,1249474.0,🟡,"[{'type': 'CALL', 'strike': 200.0, 'volume': 1789.0, 'oi': 0, 'vol_oi_ratio': 1789.0, 'last_price': 1.96, 'premium': 350644.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 202.5, 'volume': 2789.0, 'oi': 0, 'vol_oi_ratio': 2789.0, 'last_price': 1.24, 'premium': 345836.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 197.5, 'volume': 736.0, 'oi': 0, 'vol_oi_ratio': 736.0, 'last_price': 3.15, 'premium': 231840.0, 'itm': False, 'implied_volatility': 0.0312596875}]","[{'type': 'PUT', 'strike': 235.0, 'volume': 201.0, 'oi': 0, 'vol_oi_ratio': 201.0, 'last_price': 39.35, 'premium': 790935.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 192.5, 'volume': 521.0, 'oi': 0, 'vol_oi_ratio': 521.0, 'last_price': 2.82, 'premium': 146922.0, 'itm': False, 'implied_volatility': 0.0312596875}, {'type': 'PUT', 'strike': 195.0, 'volume': 298.0, 'oi': 0, 'vol_oi_ratio': 298.0, 'last_price': 3.85, 'premium': 114730.0, 'itm': False, 'implied_volatility': 0.0039162109375}]"
MSTR,Strategy,NEUTRAL,100,🔥🔥🔥 WHALE ACTIVITY,138.2,37208617.0,0.93,28,39,2026-03-24,2026-03-27,2,67,19249433.0,17959184.0,🟡,"[{'type': 'CALL', 'strike': 140.0, 'volume': 9518.0, 'oi': 0, 'vol_oi_ratio': 9518.0, 'last_price': 3.5, 'premium': 3331300.0, 'itm': False, 'implied_volatility': 0.0312596875}, {'type': 'CALL', 'strike': 138.0, 'volume': 5549.0, 'oi': 0, 'vol_oi_ratio': 5549.0, 'last_price': 4.5, 'premium': 2497050.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 139.0, 'volume': 4304.0, 'oi': 0, 'vol_oi_ratio': 4304.0, 'last_price': 4.04, 'premium': 1738816.0, 'itm': False, 'implied_volatility': 0.015634843750000002}]","[{'type': 'PUT', 'strike': 138.0, 'volume': 5397.0, 'oi': 0, 'vol_oi_ratio': 5397.0, 'last_price': 4.3, 'premium': 2320710.0, 'itm': False, 'implied_volatility': 0.0039162109375}, {'type': 'PUT', 'strike': 139.0, 'volume': 4133.0, 'oi': 0, 'vol_oi_ratio': 4133.0, 'last_price': 4.72, 'premium': 1950775.9999999998, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 135.0, 'volume': 5656.0, 'oi': 0, 'vol_oi_ratio': 5656.0, 'last_price': 3.04, 'premium': 1719424.0000000002, 'itm': False, 'implied_volatility': 0.062509375}]"
HYMC,Hycroft Mining Holding,NEUTRAL,90,🔥🔥🔥 WHALE ACTIVITY,32.17,1041445.0,1.24,6,3,2026-03-24,2026-04-17,23,9,464485.0,576960.0,🟡,"[{'type': 'CALL', 'strike': 35.0, 'volume': 452.0, 'oi': 0, 'vol_oi_ratio': 452.0, 'last_price': 2.85, 'premium': 128820.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 20.0, 'volume': 100.0, 'oi': 0, 'vol_oi_ratio': 100.0, 'last_price': 12.0, 'premium': 120000.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 40.0, 'volume': 520.0, 'oi': 0, 'vol_oi_ratio': 520.0, 'last_price': 1.6, 'premium': 83200.0, 'itm': False, 'implied_volatility': 0.2500075}]","[{'type': 'PUT', 'strike': 38.0, 'volume': 393, 'oi': 0, 'vol_oi_ratio': 393, 'last_price': 9.75, 'premium': 383175.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 30.0, 'volume': 633, 'oi': 0, 'vol_oi_ratio': 633, 'last_price': 2.65, 'premium': 167745.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'PUT', 'strike': 25.0, 'volume': 248, 'oi': 0, 'vol_oi_ratio': 248, 'last_price': 1.05, 'premium': 26040.000000000004, 'itm': False, 'implied_volatility': 0.2500075}]"
USAR,"USA Rare Earth,",BULLISH,90,🔥🔥🔥 WHALE ACTIVITY,17.39,877374.0,0.37,8,7,2026-03-24,2026-03-27,2,15,642730.0,234644.0,🟢,"[{'type': 'CALL', 'strike': 19.0, 'volume': 4337, 'oi': 0, 'vol_oi_ratio': 4337, 'last_price': 0.32, 'premium': 138784.0, 'itm': False, 'implied_volatility': 0.2500075}, {'type': 'CALL', 'strike': 20.0, 'volume': 8632, 'oi': 0, 'vol_oi_ratio': 8632, 'last_price': 0.15, 'premium': 129480.0, 'itm': False, 'implied_volatility': 0.2500075}, {'type': 'CALL', 'strike': 18.0, 'volume': 2417, 'oi': 0, 'vol_oi_ratio': 2417, 'last_price': 0.53, 'premium': 128101.0, 'itm': False, 'implied_volatility': 0.12500875}]","[{'type': 'PUT', 'strike': 19.0, 'volume': 574, 'oi': 0, 'vol_oi_ratio': 574, 'last_price': 1.82, 'premium': 104468.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 17.0, 'volume': 563, 'oi': 0, 'vol_oi_ratio': 563, 'last_price': 0.67, 'premium': 37721.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'PUT', 'strike': 16.5, 'volume': 457, 'oi': 0, 'vol_oi_ratio': 457, 'last_price': 0.5, 'premium': 22850.0, 'itm': False, 'implied_volatility': 0.12500875}]"
POOL,POOL,BEARISH,80,🔥🔥🔥 WHALE ACTIVITY,205.26,4590240.0,999.0,0,1,2026-03-24,2026-04-17,23,1,0.0,4590240.0,🔴,[],"[{'type': 'PUT', 'strike': 300.0, 'volume': 480.0, 'oi': 0, 'vol_oi_ratio': 480.0, 'last_price': 95.63, 'premium': 4590239.999999999, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
ALLY,Ally Financial,BULLISH,80,🔥🔥🔥 WHALE ACTIVITY,39.22,800917.0,0.0,5,0,2026-03-24,2026-04-17,23,5,800917.0,0.0,🟢,"[{'type': 'CALL', 'strike': 40.0, 'volume': 2120, 'oi': 0, 'vol_oi_ratio': 2120, 'last_price': 1.5, 'premium': 318000.0, 'itm': False, 'implied_volatility': 0.0312596875}, {'type': 'CALL', 'strike': 39.0, 'volume': 1365, 'oi': 0, 'vol_oi_ratio': 1365, 'last_price': 2.2, 'premium': 300300.00000000006, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 38.0, 'volume': 502, 'oi': 0, 'vol_oi_ratio': 502, 'last_price': 2.88, 'premium': 144576.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]",[]
ENPH,"Enphase Energy,",BEARISH,80,🔥🔥🔥 WHALE ACTIVITY,40.76,341637.0,3.58,3,7,2026-03-24,2026-03-27,2,10,74672.0,266965.0,🔴,"[{'type': 'CALL', 'strike': 45.0, 'volume': 1434.0, 'oi': 0, 'vol_oi_ratio': 1434.0, 'last_price': 0.28, 'premium': 40152.00000000001, 'itm': False, 'implied_volatility': 0.2500075}, {'type': 'CALL', 'strike': 41.5, 'volume': 156.0, 'oi': 0, 'vol_oi_ratio': 156.0, 'last_price': 1.2, 'premium': 18720.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 42.0, 'volume': 158.0, 'oi': 0, 'vol_oi_ratio': 158.0, 'last_price': 1.0, 'premium': 15800.0, 'itm': False, 'implied_volatility': 0.062509375}]","[{'type': 'PUT', 'strike': 41.0, 'volume': 698.0, 'oi': 0, 'vol_oi_ratio': 698.0, 'last_price': 1.47, 'premium': 102606.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 43.0, 'volume': 215.0, 'oi': 0, 'vol_oi_ratio': 215.0, 'last_price': 2.59, 'premium': 55685.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 42.0, 'volume': 175.0, 'oi': 0, 'vol_oi_ratio': 175.0, 'last_price': 1.9, 'premium': 33250.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
EXE,EXE,BEARISH,80,🔥🔥🔥 WHALE ACTIVITY,107.64,742683.0,2.31,2,3,2026-03-24,2026-04-17,23,5,224296.0,518387.0,🔴,"[{'type': 'CALL', 'strike': 115.0, 'volume': 1232.0, 'oi': 0, 'vol_oi_ratio': 1232.0, 'last_price': 1.63, 'premium': 200816.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 125.0, 'volume': 587.0, 'oi': 0, 'vol_oi_ratio': 587.0, 'last_price': 0.4, 'premium': 23480.0, 'itm': False, 'implied_volatility': 0.12500875}]","[{'type': 'PUT', 'strike': 95.0, 'volume': 4074.0, 'oi': 0, 'vol_oi_ratio': 4074.0, 'last_price': 0.57, 'premium': 232217.99999999997, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'PUT', 'strike': 100.0, 'volume': 1323.0, 'oi': 0, 'vol_oi_ratio': 1323.0, 'last_price': 1.47, 'premium': 194481.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'PUT', 'strike': 105.0, 'volume': 292.0, 'oi': 0, 'vol_oi_ratio': 292.0, 'last_price': 3.14, 'premium': 91688.0, 'itm': False, 'implied_volatility': 0.0312596875}]"
