ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
A2A.MI,BEST,5,Mejor FCF en Utilities (11.4% vs media sector -3.9%),2026-04-14
ABNB,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
ACN,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
ACNB,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
ADP,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
ADS.DE,WATCH,0,Caro vs peers en Consumer Cyclical (FCF rank 16/20) | Piotroski fuerte (7.0/9),2026-04-14
ADSK,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
AFL,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
AGN.AS,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
AHT.L,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Industrials (15.4% vs media sector 5.8%),2026-04-14
AI.PA,WATCH,0,Caro vs peers en Basic Materials (FCF rank 16/17) | Piotroski fuerte (7.0/9),2026-04-14
AIR.DE,CAUTION,-8,Value trap MEDIUM: FCF negativo (-0.9%) — quema caja pese a valuación barata | Caro vs peers en Industrials (FCF rank 49/50) | Piotroski fuerte (8.0/9),2026-04-14
AIR.PA,CAUTION,-8,Value trap MEDIUM: FCF negativo (-0.9%) — quema caja pese a valuación barata | Caro vs peers en Industrials (FCF rank 48/50) | Piotroski fuerte (8.0/9),2026-04-14
AKZA.AS,BEST,5,Mejor FCF en Basic Materials (7.7% vs media sector 3.8%),2026-04-14
ALV.DE,WATCH,-3,Caro vs peers en Financial Services (FCF rank 19/23),2026-04-14
AME,WATCH,-3,Caro vs peers en Industrials (FCF rank 39/50),2026-04-14
AMRZ,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
AMS.MC,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
AMT,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
ANET,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
AON,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
APG,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
APO,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
APP,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
AROW,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
ASM.AS,WATCH,0,Caro vs peers en Technology (FCF rank 26/26) | Piotroski fuerte (8.0/9),2026-04-14
ASML.AS,CAUTION,-8,"Señal salida MEDIUM: Earnings en 7d — alta incertidumbre, considera reducir | Caro vs peers en Technology (FCF rank 22/26) | Piotroski fuerte (8.0/9)",2026-04-14
ATEX,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
ATLKY,BEST,5,Mejor FCF en Industrials (28.7% vs media sector 5.8%),2026-04-14
AUTO.L,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
AVGO,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
AWK,CAUTION,-5,Value trap MEDIUM: FCF negativo (-8.7%) — quema caja pese a valuación barata | Piotroski fuerte (8.0/9),2026-04-14
AZN.L,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
AZO,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
BA.L,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
BATS.L,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
BBY,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
BEI.DE,WATCH,-3,Caro vs peers en Consumer Defensive (FCF rank 21/24),2026-04-14
BF-B,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
BFC,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
BFST,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
BMW.DE,CAUTION,-3,Quality decay MEDIUM: FCF yield cayó 58.9pp (64.1% → 5.2%) | Mejor FCF en Consumer Cyclical (5.2% vs media sector 4.7%),2026-04-14
BMY,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
BN.PA,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Consumer Defensive (5.6% vs media sector 4.5%),2026-04-14
BP.L,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
BR,BEST,8,Piotroski fuerte (8.0/9) | Mejor FCF en Technology (6.8% vs media sector 4.5%),2026-04-14
BSX,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
BUKS,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
BWFG,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
BX,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
BY,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
CAP.PA,BEST,5,Mejor FCF en Technology (11.9% vs media sector 4.5%),2026-04-14
CB,BEST,5,Mejor FCF en Financial Services (9.5% vs media sector 5.8%),2026-04-14
CBK,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
CBOE,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
CCFN,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
CCNE,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
CDNS,WATCH,0,Caro vs peers en Technology (FCF rank 23/26) | Piotroski fuerte (7.0/9),2026-04-14
CDW,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
CHD,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
CHUC,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
CI,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
CLPBY,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Healthcare (22.8% vs media sector 5.8%),2026-04-14
CMCSA,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
CME,WATCH,-3,Caro vs peers en Financial Services (FCF rank 23/23),2026-04-14
CMG,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
CNI,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
CNK,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
CNS,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
COST,WATCH,0,Caro vs peers en Consumer Defensive (FCF rank 22/24) | Piotroski fuerte (7.0/9),2026-04-14
CP,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
CPAY,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
CPR.MI,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
CR,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
CS.PA,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Financial Services (12.8% vs media sector 5.8%),2026-04-14
CSU.TO,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
CTAS,WATCH,0,Caro vs peers en Industrials (FCF rank 41/50) | Piotroski fuerte (8.0/9),2026-04-14
CWBC,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
DECK,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
DELL,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
DG.PA,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Industrials (10.3% vs media sector 5.8%),2026-04-14
DHL.DE,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Industrials (9.3% vs media sector 5.8%),2026-04-14
DLTR,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
DOMH,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
DPZ,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
DSY.PA,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
DTE.DE,CAUTION,-3,Quality decay MEDIUM: Salud financiera cayó 10pts (75 → 65/100) | Mejor FCF en Communication Services (10.0% vs media sector 9.1%),2026-04-14
DXCM,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
EBAY,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
EFX,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
EME,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
EN.PA,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Industrials (13.1% vs media sector 5.8%),2026-04-14
ENEL.MI,CAUTION,-8,Value trap MEDIUM: Piotroski muy débil (2/9) — calidad financiera en deterioro,2026-04-14
ENR,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
ENR.DE,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
EQR,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
ERF.PA,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
ETN,WATCH,0,Caro vs peers en Industrials (FCF rank 45/50) | Piotroski fuerte (7.0/9),2026-04-14
EXE,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
EXEL,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
EXP,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
EXPE,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
FCCO,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
FCNCA,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
FDR.MC,BEST,8,Piotroski fuerte (8.0/9) | Mejor FCF en Consumer Cyclical (6.4% vs media sector 4.7%),2026-04-14
FDS,WATCH,6,Short squeeze MEDIUM: 11.2% short · Short moderado (11.2% del float); Piotroski 6/9 — calidad mejorando,2026-04-14
FFIV,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
FICO,WATCH,0,Caro vs peers en Technology (FCF rank 21/26) | Piotroski fuerte (7.0/9),2026-04-14
FIGR,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
FME.DE,BEST,8,Piotroski fuerte (8.0/9) | Mejor FCF en Healthcare (13.5% vs media sector 5.8%),2026-04-14
FRE.DE,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Healthcare (6.4% vs media sector 5.8%),2026-04-14
FRST,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
FTAI,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
FULT,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
FUNC,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
G24.DE,WATCH,-3,Caro vs peers en Communication Services (FCF rank 5/5),2026-04-14
GABC,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
GCBC,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
GEBN.SW,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
GIVN.SW,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
GLEN.L,BEST,5,Mejor FCF en Basic Materials (9.1% vs media sector 3.8%),2026-04-14
GRF.MC,BEST,8,Piotroski fuerte (9.0/9) | Mejor FCF en Healthcare (15.9% vs media sector 5.8%),2026-04-14
GVDNY,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
HEI,WATCH,0,Caro vs peers en Industrials (FCF rank 44/50) | Piotroski fuerte (8.0/9),2026-04-14
HEI.DE,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
HEIA.AS,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Consumer Defensive (5.5% vs media sector 4.5%),2026-04-14
HEN3.DE,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
HESAY,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
HKHC,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
HNR1.DE,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Financial Services (8.9% vs media sector 5.8%),2026-04-14
HO.PA,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
HOLN.SW,CAUTION,-11,Quality decay MEDIUM: FCF yield cayó 5.5pp (10.3% → 4.8%) | Señal salida MEDIUM: Score cayó 20pts (51 → 31) | Mejor FCF en Basic Materials (4.8% vs media sector 3.8%),2026-04-14
HQI,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
IAG.MC,BEST,8,Piotroski fuerte (8.0/9) | Mejor FCF en Industrials (10.9% vs media sector 5.8%),2026-04-14
ICE,WATCH,3,Piotroski fuerte (8.0/9),2026-04-14
IDXX,WATCH,0,Caro vs peers en Healthcare (FCF rank 21/23) | Piotroski fuerte (8.0/9),2026-04-14
IMB.L,BEST,5,Mejor FCF en Consumer Defensive (10.2% vs media sector 4.5%),2026-04-14
IMCD.AS,BEST,5,Mejor FCF en Basic Materials (5.8% vs media sector 3.8%),2026-04-14
INDV,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
INGA.AS,CAUTION,-8,Value trap MEDIUM: Piotroski muy débil (2/9) — calidad financiera en deterioro,2026-04-14
INR,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
INTU,WATCH,3,Piotroski fuerte (9.0/9),2026-04-14
ISP.MI,CAUTION,-8,Value trap MEDIUM: Piotroski muy débil (1/9) — calidad financiera en deterioro,2026-04-14
ISRG,WATCH,0,Caro vs peers en Healthcare (FCF rank 23/23) | Piotroski fuerte (7.0/9),2026-04-14
IT,BEST,11,Short squeeze MEDIUM: 12.7% short · Short moderado (12.7% del float); Insiders comprando — contradice tesis bajista | Mejor FCF en Technology (8.9% vs media sector 4.5%),2026-04-14
ITRK.L,BEST,5,Mejor FCF en Industrials (6.3% vs media sector 5.8%),2026-04-14
ITW,CAUTION,-8,Señal salida MEDIUM: Score cayó 22pts (62 → 40),2026-04-14
ITX.MC,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
JKHY,WATCH,3,Piotroski fuerte (9.0/9),2026-04-14
KO,CAUTION,-8,Value trap MEDIUM: FCF negativo (-0.4%) — quema caja pese a valuación barata | Caro vs peers en Consumer Defensive (FCF rank 24/24) | Piotroski fuerte (7.0/9),2026-04-14
LAND.L,CAUTION,-16,"Value trap MEDIUM: FCF negativo (-4.8%) — quema caja pese a valuación barata | Dividendo AT RISK (yield 13.4%, safety 25) | Caro vs peers en Real Estate (FCF rank 4/4)",2026-04-14
LB,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
LDO.MI,WATCH,3,Piotroski fuerte (9.0/9),2026-04-14
LIFE,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
LIN,WATCH,-3,Caro vs peers en Basic Materials (FCF rank 14/17),2026-04-14
LOB,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
LOGN.SW,BEST,8,Piotroski fuerte (7.0/9) | Mejor FCF en Technology (6.1% vs media sector 4.5%),2026-04-14
LONN.SW,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
LPG,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-04-14
LRLCY,WATCH,-3,Caro vs peers en Consumer Defensive (FCF rank 19/24),2026-04-14
LSEG.L,WATCH,3,Piotroski fuerte (7.0/9),2026-04-14
