ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at
TJX,"TJX Companies, Inc. (The)",84.4,🏆 ELITE,🟢 Elite,100.0,90.0,73.1,75.0,60.0,80.0,82.2,False,up,71.1,True,1,35.3,True,1,"{'eps_growth_yoy': 71.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 9.1}","{'revenue_growth_yoy': 35.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 4.5, 'rs_6m': 15.5, 'rs_line_percentile': 82.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 59.1, 'debt_to_equity': 1.32, 'current_ratio': 1.14, 'operating_margin_pct': 13.3}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 6.3}",161.6,179451478016,Consumer Cyclical,Apparel Retail,1.1,2.8,False,165.82,-2.5,8.0,True,171.78,193.0,100.0,18.0,strong_buy,6.3,138.23,-14.5,135.59,-16.1,2.17,3.52,1.19,33.9,1.92,1.31,True,-1.41,99.6,27.9,36.0,2026-05-20,False,False,7.0,NEUTRAL,3.96,36.2,1.02,2026-04-13T14:22:12.156892
AME,"AMETEK, Inc.",81.4,🏆 ELITE,🟢 Elite,100.0,60.0,88.3,85.0,60.0,100.0,92.3,True,up,13.3,True,2,15.4,False,0,"{'eps_growth_yoy': 13.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 20.0}","{'revenue_growth_yoy': 15.4, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 13.5, 'rs_6m': 26.7, 'rs_line_percentile': 92.3, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 14.6, 'debt_to_equity': 0.24, 'current_ratio': 1.06, 'operating_margin_pct': 27.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 6.4}",234.91,53809758208,Industrials,Specialty Industrial Machinery,1.6,2.1,False,242.05,-2.9,8.0,True,250.0,273.0,208.0,18.0,buy,6.4,88.94,-62.1,63.9,-72.8,2.51,5.89,0.58,19.4,1.36,0.62,True,-0.81,23.1,3.6,16.0,2026-04-30,False,True,6.0,NEUTRAL,3.36,144.0,7.48,2026-04-13T14:21:23.487108
ETN,"Eaton Corporation, PLC",79.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,70.0,74.6,75.0,60.0,80.0,83.7,False,up,17.4,True,2,10.6,True,1,"{'eps_growth_yoy': 17.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 14.9}","{'revenue_growth_yoy': 10.6, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 26.4, 'rs_6m': 5.4, 'rs_line_percentile': 83.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 21.5, 'debt_to_equity': 0.55, 'current_ratio': 1.32, 'operating_margin_pct': 20.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 1.8}",403.0,156525199360,Industrials,Specialty Industrial Machinery,2.3,3.2,False,408.45,-1.3,7.0,True,410.2,514.0,321.0,28.0,buy,1.8,187.92,-53.4,197.32,-51.0,1.66,6.7,1.09,39.8,4.4,1.59,True,-1.19,21.5,18.9,16.0,2026-04-30,False,True,7.0,NEUTRAL,3.11,64.1,1.37,2026-04-13T14:20:12.343728
MSI,"Motorola Solutions, Inc.",78.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,50.3,65.0,65.0,35.0,38.8,False,up,50.9,True,1,33.7,True,1,"{'eps_growth_yoy': 50.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 18.4}","{'revenue_growth_yoy': 33.7, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 15.3, 'rs_6m': -6.5, 'rs_line_percentile': 38.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 104.2, 'debt_to_equity': 4.02, 'current_ratio': 1.04, 'operating_margin_pct': 27.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 16.5}",433.69,72080842752,Technology,Communication Equipment,1.7,2.2,False,492.22,-11.9,4.0,False,505.45,540.0,470.0,11.0,buy,16.5,223.57,-48.4,127.5,-70.6,2.77,12.01,1.12,35.1,4.84,1.13,True,-1.6,8.8,8.6,17.0,2026-04-30,False,True,6.0,NEUTRAL,3.94,161.2,2.77,2026-04-13T14:13:59.608688
CBOE,"Cboe Global Markets, Inc.",78.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,60.0,80.3,90.0,50.0,80.0,87.5,False,up,25.1,False,0,0.8,True,1,"{'eps_growth_yoy': 25.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 23.3}","{'revenue_growth_yoy': 0.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 15.5, 'rs_6m': 21.4, 'rs_line_percentile': 87.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 23.4, 'debt_to_equity': 0.31, 'current_ratio': 1.87, 'operating_margin_pct': 36.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 0.2}",295.95,30998476800,Financial Services,Financial Data & Stock Exchanges,3.0,2.9,False,305.68,-3.2,8.0,True,296.64,355.0,250.0,14.0,hold,0.2,512.46,73.2,312.6,5.6,4.08,12.08,0.94,25.9,2.79,1.31,True,-0.22,31.0,24.2,17.0,2026-05-01,False,True,8.0,STRONG,5.33,70.3,0.37,2026-04-13T14:22:30.533993
SYK,Stryker Corporation,75.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,80.0,36.0,80.0,65.0,15.0,0.9,False,down,29.8,True,1,22.2,True,1,"{'eps_growth_yoy': 29.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 12.9}","{'revenue_growth_yoy': 22.2, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -5.6, 'rs_6m': -9.7, 'rs_line_percentile': 0.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 15.1, 'debt_to_equity': 0.73, 'current_ratio': 1.89, 'operating_margin_pct': 27.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 24.0}",339.15,129889107968,Healthcare,Medical Devices,1.2,1.9,False,404.87,-16.2,1.0,False,420.62,469.0,316.0,26.0,buy,24.0,461.76,36.2,252.3,-25.6,3.21,10.89,1.04,40.5,3.52,0.99,False,,6.3,55.9,17.0,2026-04-30,False,True,5.0,NEUTRAL,3.61,47.3,0.36,2026-04-13T14:16:15.395485
TW,Tradeweb Markets Inc.,75.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,60.0,58.7,85.0,60.0,35.0,28.8,False,up,119.0,True,2,2.3,True,1,"{'eps_growth_yoy': 119.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 39.6}","{'revenue_growth_yoy': 2.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 18.9, 'rs_6m': 10.1, 'rs_line_percentile': 28.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 13.6, 'debt_to_equity': 0.02, 'current_ratio': 4.84, 'operating_margin_pct': 42.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 11.1}",121.44,26477080576,Financial Services,Capital Markets,1.9,1.7,False,149.25,-18.6,4.0,False,134.93,195.0,112.0,14.0,buy,11.1,,,113.4,-6.6,,,0.46,12.7,0.56,0.39,True,-0.39,606.3,90.2,15.0,2026-04-29,False,True,8.0,STRONG,4.76,57.1,0.21,2026-04-13T14:16:20.866061
TMO,Thermo Fisher Scientific Inc,75.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,70.0,44.0,80.0,70.0,35.0,29.2,False,down,30.3,True,1,17.9,True,1,"{'eps_growth_yoy': 30.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.0}","{'revenue_growth_yoy': 17.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -17.9, 'rs_6m': -8.9, 'rs_line_percentile': 29.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 35}","{'roe_pct': 13.0, 'debt_to_equity': 0.77, 'current_ratio': 1.89, 'operating_margin_pct': 21.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 31.9}",496.11,184365072384,Healthcare,Diagnostics & Research,1.1,1.9,False,643.99,-23.0,3.0,False,654.6,750.0,520.0,25.0,strong_buy,31.9,226.35,-54.4,177.6,-64.2,2.38,11.82,0.35,9.7,1.76,0.25,True,-1.63,6.2,9.3,9.0,2026-04-23,False,True,5.0,NEUTRAL,4.05,36.2,1.96,2026-04-13T14:16:26.490610
ISRG,"Intuitive Surgical, Inc.",75.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,80.0,27.0,85.0,70.0,15.0,1.5,False,down,13.8,True,2,27.2,True,1,"{'eps_growth_yoy': 13.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 28.4}","{'revenue_growth_yoy': 27.2, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -21.3, 'rs_6m': -0.3, 'rs_line_percentile': 1.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 16.7, 'debt_to_equity': 0.01, 'current_ratio': 4.88, 'operating_margin_pct': 30.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 33.0}",450.62,160046563328,Healthcare,Medical Instruments & Supplies,1.8,3.9,False,603.88,-25.4,1.0,False,599.24,750.0,378.0,30.0,buy,33.0,164.39,-63.5,130.97,-70.9,1.42,6.4,,,,,True,-1.32,344.7,16.6,8.0,2026-04-21,False,True,7.0,NEUTRAL,1.91,22.5,2.38,2026-04-13T14:23:11.256519
CME,CME Group Inc.,75.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,60.0,68.7,85.0,50.0,60.0,51.8,False,up,23.7,True,1,0.4,True,1,"{'eps_growth_yoy': 23.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 62.6}","{'revenue_growth_yoy': 0.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 17.0, 'rs_6m': 11.2, 'rs_line_percentile': 51.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 14.8, 'debt_to_equity': 0.13, 'current_ratio': 1.03, 'operating_margin_pct': 63.8}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 5.5}",295.3,107137228800,Financial Services,Financial Data & Stock Exchanges,1.6,2.4,False,329.16,-10.3,5.0,False,311.67,362.0,241.0,15.0,hold,5.5,97.87,-66.9,334.8,13.4,0.78,2.31,1.76,44.8,5.2,3.41,True,-0.24,31.7,14.0,8.0,2026-04-22,False,True,6.0,NEUTRAL,5.24,101.4,0.66,2026-04-13T14:14:41.831318
