ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date
9999.HK,"NetEase, Inc.",177.0,HKD,84.0,A,84.0,ROE 22.6% | Potencial +43% analistas | FCF yield 5.5% | Margen 30% | Dividendo 2.6% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,252.84,42.8,22,5.5,5.36,2.65,,22.6,11.3,14.8,30.0,3.0,-28.6,regulatory risks in Chinese tech sector | cyclical risks in gaming industry,NTES,SUSPECT,Low forward P/E and high profit margin raise concerns about potential overestimation of future earnings,2026-03-24
0700.HK,Tencent Holdings Limited,516.0,HKD,82.0,A,82.0,ROE 20.0% | Potencial +39% analistas | Margen 30% | Dividendo 1.1% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,719.28,39.4,44,3.7,4.92,1.06,,20.0,13.2,18.8,29.9,12.7,-24.5,Regulatory risks in China | Geopolitical risks due to US-China tensions,TCEHY,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual for a growth company like Tencent",2026-03-24
2020.HK,ANTA Sports Products Limited,76.5,HKD,82.0,A,82.0,ROE 25.4% | Potencial +41% analistas | FCF yield 5.9% | Dividendo 3.6% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,107.82,40.9,32,5.9,5.12,3.63,,25.4,13.2,12.9,19.7,14.3,-28.0,Cyclical Risk | Geopolitical Risk,,CLEAN,Metrics appear reasonable for a consumer cyclical company,2026-03-24
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",59.45,HKD,77.0,A,77.0,P/E 6.4x (vs 11x mercado) | Potencial +41% analistas | Crecimiento ingresos +36% | Dividendo 4.9% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,84.02,41.3,18,,5.17,4.88,,12.2,6.4,6.8,14.1,35.5,-20.4,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate exposure,PNGAY,SUSPECT,Anomalous P/E ratio and potential exposure to Chinese real estate sector,2026-03-24
000660.KS,SK hynix Inc.,986000.0,KRW,76.0,A,76.0,ROE 44.1% | P/E 4.4x (vs 11x mercado) | Potencial +30% | Crecimiento ingresos +66% | Margen 44%,2,0,Technology,Korea,🇰🇷,21.2,1279381.0,29.8,38,2.6,3.72,,,44.1,4.4,,44.2,66.1,-10.3,cyclical | geopolitical,HXSCL,SUSPECT,Anomalous forward P/E of 4.4x and extremely high ROE and profit margin for a technology company,2026-03-24
0388.HK,Hong Kong Exchanges and Clearing Limited,391.0,HKD,73.0,A,73.0,ROE 31.5% | Potencial +33% analistas | Margen 62% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,519.24,32.8,17,,4.1,3.41,,31.5,25.8,27.9,61.5,13.8,-16.1,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Real estate exposure,,SUSPECT,Anomalous profit margin of 61.5% for a financial services company,2026-03-24
6690.HK,"Haier Smart Home Co., Ltd.",23.84,HKD,71.0,A,71.0,ROE 18.2% | P/E 8.9x | Potencial +40% analistas | Dividendo 5.8% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Consumer Cyclical,HongKong,🇭🇰,10.7,33.49,40.5,18,0.7,5.06,5.76,,18.2,8.9,9.3,6.8,9.5,-15.5,cyclical risk | governance risk,,SUSPECT,Low forward P/E and high dividend yield may indicate undervaluation or underlying issues,2026-03-24
TOTS3.SA,TOTVS S.A.,35.05,BRL,69.0,A,69.0,ROE 16.1% | Potencial +48% analistas | Crecimiento ingresos +15% | Dividendo 1.8% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,51.75,47.7,13,1.1,5.96,1.8,,16.1,15.7,24.9,15.4,15.1,-27.6,valuation risk | reporting quality risk,,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual and may indicate potential overvaluation or incorrect reporting",2026-03-24
SUZB3.SA,Suzano S.A.,51.62,BRL,69.0,A,69.0,ROE 35.2% | P/E 6.2x (vs 10x mercado) | Potencial +38% analistas | FCF negativo | Margen 27% | Dividendo 2.2% | Mercado Brazil CAPE 9 (34% descuento histórico),4,1,Basic Materials,Brazil,🇧🇷,9.0,71.21,38.0,17,-0.8,4.74,2.23,,35.2,6.2,4.6,26.8,-7.5,-13.5,Ingresos en declive YoY | Deuda elevada (D/E >2x) | High Debt | Negative FCF Yield | Cyclical Industry Risks,,RISKY,Negative FCF yield and high debt-to-equity ratio indicate potential liquidity and solvency issues,2026-03-24
9984.T,SoftBank Group Corp.,3530.0,JPY,69.0,A,69.0,ROE 26.0% | P/E 12.0x | Potencial +53% analistas | FCF negativo | Margen 48% | Mercado Japan CAPE 29 (26% descuento histórico),4,1,Communication Services,Japan,🇯🇵,29.4,5416.85,53.5,17,-0.3,6.68,0.31,,26.0,12.0,6.6,48.2,8.2,-49.0,governance risk | cyclical risk,SFTBY,SUSPECT,Negative FCF yield and low dividend yield are anomalous for a company with high profit margin and ROE,2026-03-24
0005.HK,HSBC Holdings plc,123.5,HKD,68.0,A,68.0,P/E 9.0x | Potencial +27% | Crecimiento ingresos +58% | Margen 35% | Dividendo 4.9% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,157.3,27.4,9,,3.42,4.93,,11.6,9.0,13.1,35.2,58.4,-16.6,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Geopolitical Risk | Real Estate Exposure,HSBC,SUSPECT,Anomalous FCF Yield and high revenue growth raise concerns,2026-03-24
