ticker,vcp_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,ml_score,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,cerebro_signal,cerebro_score_adj,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
BR,58.51904761904762,"Broadridge Financial Solutions,",56.0,Technology,Information Technology Services,90.0,40.0,15.0,60.0,70.0,151.12,17643065344.0,15.0,0.0,False,down,17.1,True,1.0,-5.4,True,1.0,4.0,2.3,False,271.91,-44.4,0.0,False,"{'roe_pct': 41.8, 'debt_to_equity': 1.17, 'current_ratio': 0.97, 'operating_margin_pct': 12.0}","{'eps_growth_yoy': 17.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 14.9}",245.88,290.0,213.0,8.0,buy,62.7,434.61,187.6,271.2,79.5,6.78,10.25,2.58,41.0,1.6,True,-1.61,12.5,71.2,16.0,2026-04-30,False,True,8.0,STRONG,5.79,344.9,0.14,,,,,,50.0,12.200000000000003,23.4,15.0,16.8,2026-04-13 14:23:46,2026-04-13,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 40% up volume)",HIGH_FLOAT,116.2,35.0,55.2,15.0,False,down,0.0,0.0,True,1.0,True,1.0,5.0,21,21.0,4.8,Bottom 25%,0.0,-3.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,78.2,0.0,0.0,6.0,3.0,3.0,5.0,7.84,3.0,10.0,7,0,,BEST,8.0,12.359523809523807,⭐⭐ STRONG,🟢 Elite,,,,,,,
MA,0.0,Mastercard Incorporated,67.0,Financial Services,Credit Services,85.0,70.0,36.0,65.0,70.0,498.66,445022994432.0,15.0,3.0,False,down,23.8,False,0.0,21.5,False,0.0,0.7,1.8,False,601.77,-17.1,1.0,False,"{'roe_pct': 209.9, 'debt_to_equity': 2.56, 'current_ratio': 1.03, 'operating_margin_pct': 57.7}","{'eps_growth_yoy': 23.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 45.6}",657.11,739.0,550.0,35.0,strong_buy,31.8,630.49,26.4,399.54,-19.9,3.66,18.38,0.7,18.4,0.53,True,-2.64,26.7,24.2,16.0,2026-04-30,False,True,9.0,STRONG,4.25,622.8,0.91,,,,,,50.0,0.0,0.0,15.0,20.1,2026-04-13 14:23:46,2026-04-13,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 48% up volume)",MEGA_FLOAT,884.0,28.0,35.1,15.0,False,down,3.0,0.0,False,0.0,False,0.0,0.0,17,21.0,23.8,Bottom 25%,8.6,-3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,74.8,0.0,0.0,3.0,0.0,3.0,5.0,3.98,3.0,10.0,24,1,Berkshire Hathaway (Buffett),,0.0,0.0,⭐⭐ STRONG,🟢 Excellent,,,,,,,
JKHY,0.0,"Jack Henry & Associates, Inc.",64.7,Technology,Information Technology Services,85.0,50.0,27.0,95.0,70.0,147.2,10653914112.0,15.0,0.0,False,down,12.2,False,0.0,5.9,False,0.0,6.5,4.0,False,193.39,-23.9,1.0,False,"{'roe_pct': 24.3, 'debt_to_equity': 0.03, 'current_ratio': 1.6, 'operating_margin_pct': 25.7}","{'eps_growth_yoy': 12.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.6}",202.13,220.0,183.0,15.0,buy,37.3,185.96,26.3,198.23,34.7,3.15,4.65,1.6,33.3,1.21,True,-1.34,96.7,28.4,22.0,2026-05-05,False,False,9.0,STRONG,5.59,162.7,0.74,,,,,,50.0,0.0,0.0,15.0,19.4,2026-04-13 14:23:46,2026-04-13,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 41% up volume)",HIGH_FLOAT,71.7,35.0,34.4,15.0,False,down,0.0,0.0,False,0.0,False,0.0,0.0,21,21.0,4.8,Bottom 25%,0.0,-3.0,1.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,74.38,0.0,0.0,3.0,3.0,3.0,5.0,4.66,3.0,10.0,13,0,,,0.0,0.0,⭐⭐ STRONG,🟢 Excellent,,,,,,,
AON,65.41666666666667,Aon plc,68.2,Financial Services,Insurance Brokers,100.0,50.0,36.0,80.0,65.0,312.57,67182317568.0,15.0,4.3,False,down,75.4,True,2.0,-9.1,True,2.0,1.2,1.8,False,387.69,-19.4,1.0,False,"{'roe_pct': 46.9, 'debt_to_equity': 1.68, 'current_ratio': 1.11, 'operating_margin_pct': 31.3}","{'eps_growth_yoy': 75.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 21.5}",393.11,443.0,326.0,19.0,buy,25.8,605.65,93.8,511.2,63.5,4.55,14.28,0.95,17.1,0.75,True,-1.49,6.8,96.8,17.0,2026-05-01,False,True,8.0,STRONG,6.91,141.9,0.11,,,,,,50.0,38.6,26.2,15.0,20.5,2026-04-13 14:23:46,2026-04-13,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",MEGA_FLOAT,208.0,23.0,61.6,15.0,False,down,4.3,0.0,True,2.0,True,2.0,8.0,19,21.0,14.3,Bottom 25%,3.3,-3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,73.18,0.0,0.0,3.0,0.0,3.0,5.0,3.22,3.0,10.0,10,0,,WATCH,0.0,32.028333333333336,⭐⭐ STRONG,🟢 Excellent,,,,,,,
NDAQ,0.0,"Nasdaq, Inc.",70.0,Financial Services,Financial Data & Stock Exchanges,100.0,60.0,36.0,75.0,65.0,83.16,47483985920.0,15.0,17.2,False,down,31.1,True,1.0,1.6,True,1.0,1.6,1.7,False,101.79,-18.3,2.0,False,"{'roe_pct': 15.3, 'debt_to_equity': 0.78, 'current_ratio': 1.0, 'operating_margin_pct': 47.6}","{'eps_growth_yoy': 31.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 34.1}",106.87,120.0,82.0,15.0,buy,28.5,124.5,49.7,92.7,11.5,3.51,2.94,1.3,34.0,1.28,True,-1.3,7.1,47.6,9.0,2026-04-23,False,True,9.0,STRONG,4.45,205.3,0.4,,,,,,50.0,8.0,0.0,15.0,21.0,2026-04-13 14:23:46,2026-04-13,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 45% up volume)",MEGA_FLOAT,505.9,28.0,36.0,15.0,False,down,17.2,0.0,True,1.0,True,1.0,5.0,7,21.0,71.4,Medio,31.8,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,65.5,0.0,0.0,3.0,0.0,3.0,5.0,3.56,3.0,10.0,23,0,,,0.0,0.0,⭐ GOOD,🟢 Excellent,,,,,,,
CTAS,64.96875,Cintas Corporation,66.7,Industrials,Specialty Business Services,90.0,50.0,36.0,90.0,65.0,174.93,69987237888.0,15.0,1.0,False,down,12.1,True,1.0,6.5,False,0.0,3.2,4.7,False,229.24,-23.7,1.0,False,"{'roe_pct': 41.3, 'debt_to_equity': 0.61, 'current_ratio': 1.98, 'operating_margin_pct': 23.2}","{'eps_growth_yoy': 12.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 17.6}",212.41,255.0,160.0,17.0,buy,21.4,73.41,-58.0,47.4,-72.9,2.15,3.77,1.03,36.7,0.91,True,-1.7,24.3,6.8,93.0,2026-07-16,False,False,8.0,STRONG,3.25,64.5,3.32,,,,,,50.0,35.0,26.0,15.0,20.0,2026-04-13 14:23:46,2026-04-13,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 50% up volume)",MEGA_FLOAT,342.1,23.0,61.0,15.0,False,down,1.0,0.0,True,1.0,False,0.0,2.0,16,21.0,28.6,Bajo 50%,9.5,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,65.38,5.0,0.0,0.0,0.0,3.0,3.0,2.68,1.0,10.0,72,0,,WATCH,0.0,31.654375,⭐ GOOD,🟢 Excellent,,,,,,,
SAP,0.0,SAP  SE,55.2,Technology,Software - Application,50.0,70.0,15.0,85.0,70.0,163.1,191790596096.0,15.0,0.0,False,down,-5.6,False,0.0,7.4,True,2.0,0.5,1.9,False,313.28,-47.9,0.0,False,"{'roe_pct': 16.1, 'debt_to_equity': 0.17, 'current_ratio': 1.16, 'operating_margin_pct': 29.2}","{'eps_growth_yoy': -5.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.5}",290.17,340.0,245.0,12.0,buy,77.9,116.33,-28.7,71.1,-56.4,4.42,7.26,1.82,38.0,1.47,True,-1.01,21.8,5.0,10.0,2026-04-23,False,True,8.0,STRONG,5.7,146.7,3.26,,,,,,50.0,0.0,0.0,15.0,16.6,2026-04-13 14:23:46,2026-04-13,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.9x ratio, 44% up volume)",MEGA_FLOAT,1042.9,38.0,31.6,15.0,False,down,0.0,0.0,False,0.0,True,2.0,2.0,18,21.0,19.0,Bottom 25%,3.8,-3.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,63.28,0.0,0.0,3.0,3.0,3.0,1.0,9.74,3.0,10.0,13,0,,,0.0,0.0,⭐ GOOD,🟡 Good,,,,,,,
CNI,0.0,Canadian National Railway Compa,69.7,Industrials,Railroads,85.0,70.0,58.7,60.0,60.0,110.09,67395452928.0,35.0,48.4,False,up,7.5,True,1.0,1.4,True,2.0,,1.1,False,113.09,-2.7,6.0,False,"{'roe_pct': 22.1, 'debt_to_equity': 1.0, 'current_ratio': 0.67, 'operating_margin_pct': 42.4}","{'eps_growth_yoy': 7.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 27.3}",113.6,130.7,98.02,13.0,buy,3.2,81.31,-26.1,62.24,-43.5,3.53,3.9,2.39,46.9,2.02,True,-3.14,7.9,8.0,15.0,2026-04-29,False,True,7.0,NEUTRAL,8.1,14.5,1.53,,,,,,50.0,52.9,0.0,15.0,20.9,2026-04-13 14:23:46,2026-04-13,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.5x ratio, 58% up volume)",MEGA_FLOAT,594.4,3.0,35.9,35.0,False,up,48.4,2.0,True,1.0,True,2.0,5.0,4,21.0,85.7,Top 25%,44.7,3.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,False,3/3,63.18,5.0,0.0,3.0,3.0,3.0,3.0,0.4,-3.0,5.0,51,0,,,0.0,29.47,⭐ GOOD,🟡 Good,AVOID,35.0,Near ATH (-2.7% from high) - poor entry point,-2.7,NEUTRAL,BUY,False
CBOE,0.0,"Cboe Global Markets, Inc.",78.1,Financial Services,Financial Data & Stock Exchanges,95.0,60.0,80.3,90.0,50.0,295.95,30998476800.0,80.0,87.5,False,up,25.1,False,0.0,0.8,True,1.0,3.0,2.9,False,305.68,-3.2,8.0,True,"{'roe_pct': 23.4, 'debt_to_equity': 0.31, 'current_ratio': 1.87, 'operating_margin_pct': 36.2}","{'eps_growth_yoy': 25.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 23.3}",296.64,355.0,250.0,14.0,hold,0.2,512.46,73.2,312.6,5.6,4.08,12.08,0.94,25.9,1.31,True,-0.22,31.0,24.2,17.0,2026-05-01,False,True,8.0,STRONG,5.33,70.3,0.37,,,,,,50.0,60.4,0.0,15.0,23.4,2026-04-13 14:23:46,2026-04-13,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",HIGH_FLOAT,104.3,0.0,38.4,80.0,False,up,87.5,5.0,False,0.0,True,1.0,2.0,7,21.0,71.4,Medio,31.8,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,False,3/3,62.13999999999999,0.0,0.0,3.0,0.0,3.0,5.0,0.02,-3.0,10.0,40,0,,,0.0,37.81,⭐ GOOD,🟡 Good,AVOID,30.0,Near ATH (-3.2% from high) - poor entry point,-3.2,NEUTRAL,HOLD,False
RELX,0.0,RELX PLC PLC,48.0,Industrials,Specialty Business Services,60.0,50.0,15.0,50.0,70.0,33.3,59551186944.0,15.0,14.5,False,down,,,0.0,,,0.0,0.2,0.9,False,56.33,-40.9,1.0,False,"{'roe_pct': 70.5, 'debt_to_equity': 3.04, 'current_ratio': 0.49, 'operating_margin_pct': 31.4}",{'profit_margin_pct': 21.5},52.1,57.0,47.2,2.0,strong_buy,56.5,31.45,-5.6,25.5,-23.4,3.62,1.21,2.76,57.4,1.99,,,,8.5,100.0,2026-07-23,False,False,7.0,NEUTRAL,4.46,1901.3,0.9,,,,,,50.0,0.0,0.0,15.0,14.4,2026-04-13 14:23:46,2026-04-13,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,1804.6,23.0,29.4,15.0,False,down,14.5,0.0,,0.0,,0.0,0.0,16,21.0,28.6,Bajo 50%,9.5,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,61.7,5.0,0.0,3.0,3.0,0.0,3.0,7.06,3.0,5.0,16,0,,,0.0,0.0,⭐ GOOD,🟡 Good,,,,,,,
