ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,ai_confirmation,ai_confidence,ai_reason,historical_win_rate,detected_date,rsi,rsi_tier,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,bounce_target,bounce_usd,bounce_pct,stop_pct,bounce_confidence,bounce_signals,consecutive_down_days,bb_pct_b,below_bb,stoch_k,volume_drying,rsi_weekly,weekly_oversold,cum_rsi2,connors_signal,atr14,hammer_candle,engulfing_candle,obv_divergence,market_regime,market_ok,vix,days_to_earnings,earnings_warning,short_interest_shares,short_days_to_cover,short_pct_float,squeeze_potential,finra_short_vol_pct,dark_pool_signal,conviction_tier,value_score,value_grade,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease,pcr,pcr_signal
BRN,"Barnwell Industries,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,1.03,$1.03 - $1.07,1.22,1.0,2.33,,,,83.9,2026-04-10,28.6,MEDIO,-20.2,1.05,1.22,-1.9,0.18,1.1,0.07,6.8,-2.9,84.0,"['CumRSI2=0', 'Bajo BB inferior', 'Stoch oversold', '3d bajistas', 'Vol secándose', '✓ Mercado favorable']",3.0,-0.2,True,18.2,True,43.0,False,0.0,True,0.08,False,False,False,ALCISTA,True,19.6,,False,,,,False,53.8,NEUTRAL,1.0,,,,,,,,,,
AASP,Agassi Sports Entertainment,Bull Flag Pullback,⭐⭐ MUY BUENA,75,4.75,$4.66 - $4.84,5.5,4.53,1.5,,,,63.2,2026-04-10,,,,,,,,5.08,0.33,6.9,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,-13.6,4.67,4.67,Bearish,True,,
BUKS,Butler National,Bull Flag Pullback,⭐⭐ MUY BUENA,75,3.6,$3.53 - $3.67,4.1,3.34,0.96,,,,63.2,2026-04-10,,,,,,,,3.85,0.25,6.9,-7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,-12.2,3.44,3.44,Bearish,True,,
TPL,Texas Pacific Land,Oversold Bounce,⭐⭐ MUY BUENA,75,377.97,$275.45 - $286.69,339.86,267.01,-0.34,,,,63.2,2026-04-10,15.2,EXTREMO,-30.0,281.07,339.86,34.5,3.02,339.86,-38.11,-10.1,-29.4,82.0,"['RSI extremo <20', 'Bajo BB inferior', 'Stoch oversold', 'Hammer', '✓ Mercado favorable']",2.0,-13.3,True,4.3,False,60.4,False,38.1,False,26.38,True,False,False,ALCISTA,True,19.6,,False,,,,False,75.0,DISTRIBUTION,1.0,,,,,,,,,0.37,NEUTRAL
LOB,"Live Oak Bancshares,",Bull Flag Pullback,⭐⭐ MUY BUENA,75,36.59,$35.86 - $37.32,41.72,35.3,1.98,,,,63.2,2026-04-10,,,,,,,,39.15,2.56,7.0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,-12.3,36.39,36.39,Bearish,True,,
ESOA,Energy Services of America,Bull Flag Pullback,⭐⭐ MUY BUENA,75,14.07,$13.79 - $14.35,15.63,12.62,0.68,,,,63.2,2026-04-10,,,,,,,,15.05,0.98,7.0,-10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7,-10.0,13.01,13.01,Bearish,True,,
TECX,"Tectonic Therapeutic,",Bull Flag Pullback,⭐⭐ MUY BUENA,75,31.09,$30.47 - $31.71,35.87,26.06,0.43,,,,63.2,2026-04-10,,,,,,,,33.27,2.18,7.0,-16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.8,-13.3,26.87,26.87,Bearish,True,,
EKSO,EKSO,Oversold Bounce,⭐⭐ MUY BUENA,75,8.02,$5.74 - $5.98,11.64,5.57,0.23,,,,63.2,2026-04-10,29.0,MEDIO,-38.1,5.86,11.64,36.9,1.41,8.58,0.56,7.0,-30.5,90.0,"['CumRSI2=0', 'Bajo BB inferior', 'Stoch oversold', 'Hammer', '3d bajistas', '✓ Mercado favorable']",3.0,-11.3,True,3.5,False,50.8,False,0.0,True,0.9,True,False,False,ALCISTA,True,19.6,,False,267884.0,2.378443,,False,53.9,NEUTRAL,1.0,,,,,,,,,,
LRMR,LRMR,Bull Flag Pullback,⭐⭐ MUY BUENA,75,5.09,$4.99 - $5.19,5.95,4.19,0.4,,,,63.2,2026-04-10,,,,,,,,5.45,0.36,7.1,-17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.7,-14.5,4.32,4.32,Bearish,True,,
SCWO,374Water,Bull Flag Pullback,⭐⭐ MUY BUENA,75,3.0,$2.94 - $3.06,3.5,2.73,0.78,,,,63.2,2026-04-10,,,,,,,,3.21,0.21,7.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,-14.3,2.82,2.82,Bearish,True,,
NTLA,"Intellia Therapeutics,",Bull Flag Pullback,⭐⭐ MUY BUENA,75,13.83,$13.55 - $14.11,15.9,12.67,0.84,,,,63.2,2026-04-10,,,,,,,,14.8,0.97,7.0,-8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,-13.0,13.06,13.06,Bearish,True,,
OMCC,Old Market Capital,Bull Flag Pullback,⭐⭐ MUY BUENA,75,4.4,$4.31 - $4.49,5.0,4.34,5.17,,,,63.2,2026-04-10,,,,,,,,4.71,0.31,7.0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,-12.0,4.48,4.48,Bearish,True,,
NTWK,NTWK,Bull Flag Pullback,⭐⭐ MUY BUENA,75,3.36,$3.29 - $3.43,3.89,3.33,8.0,,,,63.2,2026-04-10,,,,,,,,3.6,0.24,7.1,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,-13.6,3.43,3.43,Bearish,True,,
BA,The Boeing,Bull Flag Pullback,⭐ BUENA,60,220.06,$215.66 - $224.46,252.15,214.81,2.93,,,,71.7,2026-04-10,,,,,,,,235.46,15.4,7.0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,-12.7,221.46,221.46,Bearish,False,,
CEVA,CEVA,Bull Flag Pullback,⭐ BUENA,60,20.25,$19.84 - $20.66,23.68,19.58,2.12,,,,71.7,2026-04-10,,,,,,,,21.67,1.42,7.0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,-14.5,20.18,20.18,Bearish,False,,
LAKE,"Lakeland Industries,",Bull Flag Pullback,⭐ BUENA,60,9.0,$8.82 - $9.18,10.11,8.67,1.91,,,,71.7,2026-04-10,,,,,,,,9.63,0.63,7.0,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,-11.0,8.94,8.94,Bearish,False,,
TGLS,TGLS,Bull Flag Pullback,⭐ BUENA,60,45.61,$44.7 - $46.52,53.63,45.01,5.32,,,,71.7,2026-04-10,,,,,,,,48.8,3.19,7.0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,-15.0,46.4,46.4,Bearish,False,,
MIGI,Mawson Infrastructure Group,Bull Flag Pullback,⭐ BUENA,60,4.43,$4.34 - $4.52,5.0,2.85,0.2,,,,71.7,2026-04-10,,,,,,,,4.74,0.31,7.0,-35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.4,-11.4,2.94,2.94,Bearish,False,,
CR,Crane,Bull Flag Pullback,⭐ BUENA,60,186.57,$182.84 - $190.3,209.97,181.26,2.46,,,,71.7,2026-04-10,,,,,,,,199.63,13.06,7.0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,-11.1,186.86,186.86,Bearish,False,,
LOAR,LOAR,Bull Flag Pullback,⭐ BUENA,60,64.38,$63.09 - $65.67,75.48,62.98,3.22,,,,71.7,2026-04-10,,,,,,,,68.89,4.51,7.0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,-14.7,64.93,64.93,Bearish,False,,
HGTY,HGTY,Bull Flag Pullback,⭐ BUENA,60,11.11,$10.89 - $11.33,12.81,10.88,3.39,,,,71.7,2026-04-10,,,,,,,,11.89,0.78,7.0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,-13.3,11.22,11.22,Bearish,False,,
NEOG,Neogen,Bull Flag Pullback,⭐ BUENA,60,10.04,$9.84 - $10.24,11.33,9.79,2.8,,,,71.7,2026-04-10,,,,,,,,10.74,0.7,7.0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,-11.4,10.09,10.09,Bearish,False,,
ANNX,"Annexon,",Bull Flag Pullback,⭐ BUENA,60,6.14,$6.02 - $6.26,6.96,5.36,0.55,,,,71.7,2026-04-10,,,,,,,,6.57,0.43,7.0,-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,-11.8,5.53,5.53,Bearish,False,,
TCRX,"TScan Therapeutics,",Bull Flag Pullback,⭐ BUENA,60,1.06,$1.04 - $1.08,1.24,1.01,1.4,,,,71.7,2026-04-10,,,,,,,,1.13,0.07,6.6,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,-14.5,1.04,1.04,Bearish,False,,
ICU,SeaStar Medical Holding,Bull Flag Pullback,⭐ BUENA,60,4.06,$3.98 - $4.14,4.58,2.64,0.2,,,,71.7,2026-04-10,,,,,,,,4.34,0.28,6.9,-35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.2,-11.4,2.72,2.72,Bearish,False,,
CVI,CVI,Bull Flag Pullback,⭐ BUENA,60,30.53,$29.92 - $31.14,34.94,26.32,0.51,,,,71.7,2026-04-10,,,,,,,,32.67,2.14,7.0,-13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6,-12.6,27.14,27.14,Bearish,False,,
LBRT,LBRT,Bull Flag Pullback,⭐ BUENA,60,27.2,$26.66 - $27.74,31.73,26.75,4.22,,,,71.7,2026-04-10,,,,,,,,29.1,1.9,7.0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9,-14.3,27.58,27.58,Bearish,False,,
SSP,SSP,Bull Flag Pullback,⭐ BUENA,60,4.01,$3.93 - $4.09,4.6,3.61,0.7,,,,71.7,2026-04-10,,,,,,,,4.29,0.28,7.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,-12.8,3.72,3.72,Bearish,False,,
SEI,"Solaris Energy Infrastructure,",Bull Flag Pullback,⭐ BUENA,60,61.01,$59.79 - $62.23,68.56,53.02,0.53,,,,71.7,2026-04-10,,,,,,,,65.28,4.27,7.0,-13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,-11.0,54.66,54.66,Bearish,False,,
