ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at,micro_cap_score,micro_cap_quality,ai_verdict,ai_confidence,ai_reasoning
OPRX,OptimizeRx Corporation,58.5,⭐ AVERAGE,🟡 Average,50.0,90.0,15.0,80.0,60.0,15,5.4,False,down,,,0,47.0,True,1,{'profit_margin_pct': 4.7},"{'revenue_growth_yoy': 47.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -42.5, 'rs_6m': -60.6, 'rs_line_percentile': 5.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 4.2, 'debt_to_equity': 0.2, 'current_ratio': 3.04, 'operating_margin_pct': 27.7}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 117.4}",6.67,125143904,Healthcare,Health Information Services,9.0,3.3,True,22.25,-70.0,0,False,14.5,20.0,10.0,6.0,none,117.4,12.76,91.3,2.7,-59.5,13.0,0.87,,,,,False,,2.3,,40.0,2026-05-12,False,False,8,STRONG,9.73,27.9,0.34,2026-04-02T17:36:37.672088,83.7,FUERTE,AVOID,45,good coverage (6) but unrealistic upside (117%)
BUKS,Butler National Corp.,76.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,83.0,95.0,50.0,80,89.0,False,up,,,0,24.6,True,2,{'profit_margin_pct': 21.4},"{'revenue_growth_yoy': 24.6, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 28.0, 'rs_6m': 70.9, 'rs_line_percentile': 89.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 28.4, 'debt_to_equity': 0.46, 'current_ratio': 1.89, 'operating_margin_pct': 34.3}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",3.76,241689056,Industrials,Aerospace & Defense,,,False,4.19,-10.3,8,True,,,,,none,,7.46,98.4,9.0,139.4,4.66,0.18,,,,,True,-2.58,14.0,50.0,,,False,False,7,NEUTRAL,7.9,21.8,0.13,2026-04-02T17:40:26.224165,80.6,FUERTE,AVOID,20,"no analyst coverage, no target price"
PERI,Perion Network Ltd,64.3,⭐⭐ GOOD,🟡 Good,50.0,90.0,50.3,65.0,70.0,35,40.7,False,up,,,0,53.5,True,1,{'profit_margin_pct': -1.8},"{'revenue_growth_yoy': 53.5, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 8.8, 'rs_6m': 3.1, 'rs_line_percentile': 40.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': -1.1, 'debt_to_equity': 0.03, 'current_ratio': 2.76, 'operating_margin_pct': 7.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 43.9}",9.8165,405449792,Communication Services,Internet Content & Information,1.5,1.3,False,11.79,-16.7,4,False,14.12,14.5,14.0,4.0,buy,43.9,46.86,377.4,,,10.72,1.1,,,,,True,-17.56,-3.9,77.1,40.0,2026-05-13,False,False,4,NEUTRAL,-4.5,-1.2,0.09,2026-04-02T17:36:50.946296,78.1,FUERTE,BUY,80,"moderate coverage (4), strong upside (44%)"
TBPH,"Theravance Biopharma, Inc.",73.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,62.4,95.0,60.0,60,63.4,False,down,,,0,198.2,True,1,{'profit_margin_pct': 98.5},"{'revenue_growth_yoy': 198.2, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -7.9, 'rs_6m': 15.5, 'rs_line_percentile': 63.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 60}","{'roe_pct': 44.8, 'debt_to_equity': 0.14, 'current_ratio': 10.93, 'operating_margin_pct': 43.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 1.9}",16.03,825431616,Healthcare,Biotechnology,16.1,5.5,True,21.03,-23.8,5,False,16.33,21.0,14.0,6.0,buy,1.9,,,20.6,28.5,-0.5,-0.08,,,,,True,-0.49,53.5,,34.0,2026-05-07,False,False,6,NEUTRAL,24.26,32.1,,2026-04-02T17:38:46.395705,69.8,BUENA,HOLD,60,good coverage (6) but low upside (2%)
THRY,"Thryv Holdings, Inc.",42.5,⚠️ WEAK,🔴 Weak,50.0,50.0,15.0,40.0,60.0,15,5.7,False,down,,,0,5.7,False,0,{'profit_margin_pct': 0.0},"{'revenue_growth_yoy': 5.7, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -46.1, 'rs_6m': -74.5, 'rs_line_percentile': 5.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 0.1, 'debt_to_equity': 1.2, 'current_ratio': 1.0, 'operating_margin_pct': 1.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 67.0}",2.845,125649496,Technology,Software - Application,9.8,1.5,True,15.49,-81.6,1,False,4.75,6.0,4.0,4.0,none,67.0,22.6,694.4,0.1,-96.5,54.0,1.54,,,,,True,-3.98,1.5,,27.0,2026-04-30,False,False,6,NEUTRAL,13.91,101.8,0.01,2026-04-02T17:37:38.405066,69.0,BUENA,BUY,70,"moderate coverage (4), strong upside (67%)"
RSKD,Riskified Ltd.,60.7,⭐⭐ GOOD,🟡 Good,50.0,90.0,36.0,60.0,70.0,15,5.3,False,down,,,0,20.6,True,2,{'profit_margin_pct': -8.0},"{'revenue_growth_yoy': 20.6, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -12.4, 'rs_6m': -13.0, 'rs_line_percentile': 5.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': -8.1, 'debt_to_equity': 0.08, 'current_ratio': 5.03, 'operating_margin_pct': 0.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 37.7}",4.03,661144064,Technology,Software - Application,1.6,1.7,False,5.68,-29.0,0,False,5.55,7.0,4.5,5.0,buy,37.7,4.56,13.2,,,6.71,0.27,,,,,True,-16.07,-27.2,,40.0,2026-05-13,False,False,5,NEUTRAL,-10.83,-10.7,0.24,2026-04-02T17:37:52.227156,68.7,BUENA,BUY,80,"good coverage (5), strong upside (38%)"
NLCP,"NewLake Capital Partners, Inc.",57.5,⭐ AVERAGE,🟡 Average,60.0,40.0,62.4,80.0,50.0,60,60.1,False,up,,,0,-6.6,True,1,{'profit_margin_pct': 51.5},"{'revenue_growth_yoy': -6.6, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -2.7, 'rs_6m': 17.9, 'rs_line_percentile': 60.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 6.7, 'debt_to_equity': 0.02, 'current_ratio': 3.19, 'operating_margin_pct': 50.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 7.3}",14.45,302719936,Real Estate,REIT - Specialty,,,False,16.75,-13.7,5,False,15.5,16.0,15.0,2.0,none,7.3,20.2,39.8,12.8,-11.4,9.33,1.37,11.9,134.4,1.72,,True,-0.08,32.9,-0.1,34.0,2026-05-06,False,False,7,NEUTRAL,9.59,,,2026-04-02T17:41:09.462437,66.3,BUENA,HOLD,50,moderate upside (7%)
GAMB,Gambling.com Group Limited,53.2,⭐ AVERAGE,🟡 Average,50.0,80.0,15.0,55.0,70.0,15,0.3,False,down,,,0,13.8,True,2,{'profit_margin_pct': -19.9},"{'revenue_growth_yoy': 13.8, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -25.2, 'rs_6m': -52.3, 'rs_line_percentile': 0.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': -28.5, 'debt_to_equity': 1.14, 'current_ratio': 1.21, 'operating_margin_pct': 21.3}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 88.6}",3.75,131875856,Consumer Cyclical,Gambling,7.6,4.0,False,14.95,-74.9,0,False,7.07,8.0,5.0,7.0,strong_buy,88.6,33.6,796.0,,,21.08,0.79,,,,,True,-4.23,-3.4,,41.0,2026-05-14,False,False,4,NEUTRAL,-10.44,-181.3,0.13,2026-04-02T17:41:34.956387,64.6,BUENA,,,
MFIN,Medallion Financial Corp.,55.5,⭐ AVERAGE,🟡 Average,55.0,70.0,36.0,55.0,60.0,15,5.4,False,down,,,0,12.4,True,1,{'profit_margin_pct': 12.2},"{'revenue_growth_yoy': 12.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -12.4, 'rs_6m': -11.0, 'rs_line_percentile': 5.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 11.7, 'debt_to_equity': 4.73, 'current_ratio': 21.82, 'operating_margin_pct': 48.0}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 39.8}",8.405,197770352,Financial Services,Credit Services,4.4,14.5,False,11.0,-23.6,2,False,11.75,12.0,11.5,2.0,none,39.8,11.05,31.5,28.84,243.1,5.2,0.44,5.68,26.4,0.48,10.62,True,-0.5,,8.1,27.0,2026-04-29,False,False,7,NEUTRAL,,,0.35,2026-04-02T17:42:48.427226,63.6,BUENA,,,
NCNO,"nCino, Inc.",45.8,⚠️ WEAK,🔴 Weak,50.0,50.0,15.0,55.0,70.0,15,14.3,False,down,,,0,3.8,False,0,{'profit_margin_pct': 0.9},"{'revenue_growth_yoy': 3.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -27.8, 'rs_6m': -33.3, 'rs_line_percentile': 14.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 0.9, 'debt_to_equity': 0.26, 'current_ratio': 1.0, 'operating_margin_pct': 3.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 54.5}",16.87,1953794432,Technology,Software - Application,12.8,5.1,True,33.92,-50.3,0,False,26.07,38.0,16.0,14.0,buy,54.5,21.17,25.5,0.5,-97.0,7.47,1.27,,,,,True,-6.4,1.4,,55.0,2026-05-27,False,False,7,NEUTRAL,1.16,27.4,0.62,2026-04-02T17:38:02.667609,62.6,BUENA,,,
