ticker,vcp_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,ml_score,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,cerebro_signal,cerebro_score_adj,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
DELL,87.83571428571429,Dell Technologies Inc.,82.3,Technology,Computer Hardware,100.0,90.0,89.0,40.0,60.0,177.69,117753315328,95,92.1,False,up,134.1,True,2,42.8,True,1,9.0,2.7,True,186.39,-4.7,8.0,True,"{'current_ratio': 0.91, 'operating_margin_pct': 9.6}","{'eps_growth_yoy': 134.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 5.2}",172.0,220.0,110.0,24.0,buy,-3.2,880.08,395.3,260.1,46.4,5.61,20.75,1.46,24.2,,True,-5.44,5.6,57.3,50.0,2026-05-28,False,False,7,NEUTRAL,6.51,132.2,0.21,,,,,,50.0,92.8,35.1,15.0,24.7,2026-04-08 10:29:19,2026-04-08,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.5x ratio, 59% up volume)",MEGA_FLOAT,295.1,18.0,74.8,95,False,up,92.1,5.0,True,2,True,1,8.0,3,35.0,94.3,Top 10%,79.6,5.0,3.0,5.0,10.0,0.0,0.0,0.0,0.0,False,2/3,12.0,0.0,0.0,6.0,0.0,3.0,5.0,-0.4,-3.0,5.0,18,0,,WATCH,3.0,82.14785714285715,⚡ STRONG,🟢 Elite,AVOID,35.0,Near ATH (-4.7% from high) - poor entry point,-4.7,NEUTRAL,BUY,False
EOG,90.36363636363636,"EOG Resources, Inc.",58.6,Energy,Oil & Gas E&P,55.0,30.0,83.0,80.0,60.0,144.23,77378166784,80,79.4,False,up,-52.1,False,0,-3.2,False,0,3.0,2.7,False,151.87,-5.0,7.0,True,"{'roe_pct': 16.8, 'debt_to_equity': 0.31, 'current_ratio': 1.63, 'operating_margin_pct': 16.9}","{'eps_growth_yoy': -52.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 22.0}",148.5,185.0,110.0,30.0,buy,3.0,63.92,-55.7,91.2,-36.8,3.01,4.34,2.83,43.3,2.62,True,-3.31,28.1,-29.2,27.0,2026-05-05,False,False,4,NEUTRAL,7.94,14.6,,,,,,,50.0,50.7,36.1,15.0,17.6,2026-04-08 10:29:19,2026-04-08,CORRECTION,AVOID,False,66,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,75,"Strong institutional buying (1.7x ratio, 62% up volume)",MEGA_FLOAT,534.5,38.0,68.7,80,False,up,79.4,5.0,False,0,False,0,0.0,8,35.0,80.0,Top 25%,62.5,3.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,False,1/3,48.44,8.0,0.0,3.0,3.0,3.0,-3.0,0.38,-3.0,0.0,60,0,,,0.0,76.54181818181819,⚡ STRONG,🟢 Elite,HOLD,55.0,Close to ATH (-5.0% from high) - wait for pullback,-5.0,NEUTRAL,BUY,False
APA,88.35714285714286,APA Corporation,56.6,Energy,Oil & Gas E&P,60.0,30.0,83.0,70.0,40.0,42.96,15175684096,80,88.8,False,up,-19.6,True,1,-24.5,False,0,9.6,3.8,True,45.66,-5.9,8.0,True,"{'roe_pct': 25.3, 'debt_to_equity': 0.69, 'current_ratio': 0.82, 'operating_margin_pct': 30.6}","{'eps_growth_yoy': -19.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.5}",37.25,56.0,21.0,28.0,hold,-13.3,81.68,90.1,39.9,-7.1,12.92,5.55,2.33,25.1,2.6,False,,11.0,-7.3,28.0,2026-05-06,False,False,7,NEUTRAL,15.06,24.1,,,,,,,50.0,75.3,35.3,15.0,17.0,2026-04-08 10:29:19,2026-04-08,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,95,"Strong institutional buying (2.1x ratio, 67% up volume)",MEGA_FLOAT,351.0,18.0,67.3,80,False,up,88.8,5.0,True,1,False,0,2.0,8,35.0,80.0,Top 25%,62.5,3.0,3.0,3.0,10.0,0.0,0.0,0.0,0.0,False,2/3,0.0,8.0,0.0,8.0,3.0,0.0,0.0,-1.66,-3.0,5.0,27,0,,,0.0,73.83857142857143,📈 GOOD,🟢 Excellent,HOLD,35.0,Close to ATH (-5.9% from high) - wait for pullback | Price above target (-13.3% upside) - limited room,-5.9,NEUTRAL,HOLD,False
ADM,73.625,Archer-Daniels-Midland Company,67.1,Consumer Defensive,Farm Products,100.0,30.0,79.4,65.0,40.0,72.15,34768732160,80,87.5,False,up,54.6,True,1,-8.0,False,0,4.3,4.5,False,74.19,-2.7,8.0,True,"{'roe_pct': 4.7, 'debt_to_equity': 0.42, 'current_ratio': 1.36, 'operating_margin_pct': 1.8}","{'eps_growth_yoy': 54.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 1.3}",64.91,77.0,50.0,11.0,hold,-10.0,65.58,-9.1,22.3,-69.1,6.18,4.46,2.88,91.5,2.72,False,,2.8,-7.9,27.0,2026-05-05,False,False,5,NEUTRAL,4.27,9.5,,,,,,,50.0,58.599999999999994,29.4,15.0,20.1,2026-04-08 10:29:19,2026-04-08,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (0.9x ratio, 47% up volume)",MEGA_FLOAT,477.1,23.0,64.6,80,False,up,87.5,5.0,True,1,False,0,2.0,,35.0,,Sin datos suficientes,87.5,0.0,0.0,5.0,10.0,0.0,0.0,0.0,5.0,False,1/3,0.0,0.0,0.0,6.0,-2.0,0.0,0.0,-1.25,-3.0,0.0,110,0,,,0.0,73.5225,📈 GOOD,🟢 Excellent,AVOID,15.0,Near ATH (-2.7% from high) - poor entry point | Price above target (-10.0% upside) - limited room,-2.7,NEUTRAL,HOLD,False
EME,77.6125,"EMCOR Group, Inc.",83.3,Industrials,Engineering & Construction,100.0,70.0,82.7,85.0,65.0,750.42,33593198592,95,90.1,False,up,80.6,True,1,16.7,True,1,2.4,1.9,False,835.0,-10.1,8.0,True,"{'roe_pct': 38.5, 'debt_to_equity': 0.13, 'current_ratio': 1.22, 'operating_margin_pct': 9.5}","{'eps_growth_yoy': 80.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 7.5}",864.17,1000.0,770.0,6.0,buy,15.2,943.86,25.8,845.4,12.7,2.95,22.26,0.17,3.5,0.3,True,-1.75,73.1,53.0,21.0,2026-04-29,False,True,6,NEUTRAL,5.29,98.2,0.45,,,,,,50.0,82.0,31.0,15.0,25.0,2026-04-08 10:29:19,2026-04-08,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",MEDIUM_FLOAT,44.0,15.0,71.0,95,False,up,90.1,5.0,True,1,True,1,5.0,6,35.0,85.7,Top 25%,68.4,3.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,False,2/3,56.92,5.0,0.0,0.0,0.0,3.0,5.0,1.9,0.0,2.0,39,0,,,0.0,71.13625,📈 GOOD,🟢 Excellent,HOLD,65.0,Close to ATH (-10.1% from high) - wait for pullback | Strong upside (+15.2%) - analyst support,-10.1,NEUTRAL,BUY,False
GRMN,75.60714285714286,Garmin Ltd.,85.2,Technology,Scientific & Technical Instruments,100.0,90.0,71.0,90.0,50.0,241.27,46439849984,80,81.1,False,up,58.9,True,1,38.4,True,1,1.9,2.6,False,261.69,-7.8,8.0,True,"{'roe_pct': 19.8, 'debt_to_equity': 0.02, 'current_ratio': 3.63, 'operating_margin_pct': 28.9}","{'eps_growth_yoy': 58.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 23.0}",260.25,320.0,220.0,8.0,none,7.9,125.92,-47.8,182.11,-24.5,1.7,4.11,1.74,40.2,2.09,False,,191.4,10.6,21.0,2026-04-29,False,True,7,NEUTRAL,4.27,30.8,1.12,,,,,,50.0,78.8,30.2,15.0,25.6,2026-04-08 10:29:19,2026-04-08,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",HIGH_FLOAT,163.9,15.0,70.8,80,False,up,81.1,5.0,True,1,True,1,5.0,,35.0,,Sin datos suficientes,81.1,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,False,2/3,54.08,0.0,0.0,0.0,3.0,0.0,3.0,0.99,-3.0,5.0,83,0,,,0.0,70.32357142857143,📈 GOOD,🟢 Excellent,HOLD,50.0,Close to ATH (-7.8% from high) - wait for pullback,-7.8,NEUTRAL,NONE,False
FFIV,89.82,"F5, Inc.",71.8,Technology,Software - Infrastructure,85.0,60.0,60.3,95.0,50.0,309.1,17560309760,60,71.2,False,up,23.7,False,0,12.5,False,0,4.4,8.4,False,346.0,-10.7,6.0,False,"{'roe_pct': 20.8, 'debt_to_equity': 0.08, 'current_ratio': 1.55, 'operating_margin_pct': 26.0}","{'eps_growth_yoy': 23.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 22.5}",310.3,345.0,250.0,10.0,none,0.4,236.76,-23.4,120.9,-60.9,3.88,12.06,,,,True,-3.86,59.0,5.0,20.0,2026-04-28,False,True,7,NEUTRAL,4.79,63.4,1.86,,,,,,50.0,47.5,35.9,15.0,21.5,2026-04-08 10:29:19,2026-04-08,CORRECTION,AVOID,False,66,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 55% up volume)",HIGH_FLOAT,55.9,35.0,72.5,60,False,up,71.2,2.0,False,0,False,0,0.0,17,35.0,54.3,Medio,35.9,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,False,1/3,55.72,0.0,0.0,3.0,0.0,3.0,1.0,0.05,-3.0,5.0,53,0,,WATCH,3.0,68.59,📈 GOOD,🟢 Excellent,,,,,,,
EBAY,72.45,eBay Inc.,68.4,Consumer Cyclical,Internet Retail,70.0,70.0,68.3,75.0,50.0,96.01,43396521984,80,75.7,False,up,4.0,False,0,14.7,True,1,3.4,2.2,False,101.15,-5.1,8.0,True,"{'roe_pct': 40.8, 'debt_to_equity': 1.56, 'current_ratio': 1.1, 'operating_margin_pct': 16.2}","{'eps_growth_yoy': 4.0, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 18.3}",99.1,122.0,60.0,30.0,hold,3.2,24.34,-74.6,42.6,-55.6,1.71,1.65,1.29,27.2,1.67,True,-5.76,10.4,-7.4,21.0,2026-04-29,False,True,5,NEUTRAL,5.4,115.3,,,,,,,50.0,66.5,29.0,15.0,20.5,2026-04-08 10:29:19,2026-04-08,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.5x ratio, 59% up volume)",MEGA_FLOAT,446.0,18.0,64.5,80,False,up,75.7,5.0,False,0,True,1,2.0,16,35.0,57.1,Medio,39.6,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,False,2/3,39.36,0.0,0.0,0.0,0.0,3.0,0.0,0.4,-3.0,0.0,31,0,,,0.0,67.065,📈 GOOD,🟢 Excellent,HOLD,50.0,Close to ATH (-5.1% from high) - wait for pullback,-5.1,NEUTRAL,HOLD,False
CMS,74.33333333333334,CMS Energy Corporation,53.5,Utilities,Utilities - Regulated Electric,50.0,50.0,58.7,55.0,60.0,78.59,24205455360,35,49.5,False,up,-4.9,False,0,-8.7,True,2,0.0,0.0,False,79.2,-0.8,6.0,False,"{'roe_pct': 10.9, 'debt_to_equity': 1.95, 'current_ratio': 0.98, 'operating_margin_pct': 21.7}","{'eps_growth_yoy': -4.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 12.5}",79.77,87.0,66.0,13.0,buy,1.5,,,35.3,-55.1,-7.2,-5.66,2.9,61.6,2.98,False,,2.6,4.6,20.0,2026-04-28,False,True,5,NEUTRAL,4.73,6.7,2.85,,,,,,50.0,56.8,29.7,15.0,16.0,2026-04-08 10:29:19,2026-04-08,CORRECTION,AVOID,True,83,Passes Minervini Template (5/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.5x ratio, 60% up volume)",MEGA_FLOAT,304.4,18.0,60.8,35,False,up,49.5,2.0,False,0,True,2,2.0,10,35.0,74.3,Medio,50.4,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,False,2/3,19.700000000000003,0.0,0.0,-5.0,3.0,0.0,1.0,0.19,-3.0,0.0,107,0,,,0.0,65.01666666666667,📈 GOOD,🟢 Excellent,AVOID,35.0,Near ATH (-0.8% from high) - poor entry point,-0.8,NEUTRAL,BUY,False
DUK,75.03333333333333,Duke Energy Corporation (Holdin,47.8,Utilities,Utilities - Regulated Electric,50.0,30.0,63.9,50.0,50.0,131.82,102584532992,60,54.9,False,up,-14.3,False,0,-3.8,False,0,2.3,3.2,False,134.49,-2.0,6.0,False,"{'roe_pct': 9.7, 'debt_to_equity': 1.72, 'current_ratio': 0.55, 'operating_margin_pct': 28.1}","{'eps_growth_yoy': -14.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 15.6}",139.24,146.0,130.0,17.0,none,5.6,,,63.1,-52.1,-1.95,-2.57,3.23,66.9,3.84,False,,2.6,-1.1,27.0,2026-05-05,False,False,8,STRONG,4.78,7.1,,,,,,,50.0,48.4,30.0,15.0,14.3,2026-04-08 10:29:19,2026-04-08,CORRECTION,AVOID,True,83,Passes Minervini Template (5/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.8x ratio, 63% up volume)",MEGA_FLOAT,775.7,18.0,59.4,60,False,up,54.9,2.0,False,0,False,0,0.0,10,35.0,74.3,Medio,50.4,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,False,2/3,23.119999999999997,0.0,0.0,-5.0,5.0,0.0,0.0,0.7,-3.0,10.0,104,0,,CAUTION,-5.0,64.79666666666667,📊 DECENT,🟡 Good,,,,,,,
