Ticker,Insider,Title,Date,Type,Price,Qty,Owned,Value,Source,ScrapedAt,Chart_Daily,Chart_Weekly
2026-03-16 09:33:25,SVRE,Saverone 2014 Ltd.,Dir,P - Purchase,2.64,347760000,2147483647,918%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/SVRE_d.png,reports/graphs/SVRE_w.png
2026-03-16 09:33:25,CPNG,"Coupang, Inc.",Dir,P - Purchase,18.58,7350104,55389750,136%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/CPNG_d.png,reports/graphs/CPNG_w.png
2026-03-16 09:33:25,SNDA,"Sonida Senior Living, Inc.","Dir, 10%",P - Purchase,26.74,3739716,2488273,100%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/SNDA_d.png,reports/graphs/SNDA_w.png
2026-03-16 09:33:25,REEMF,Rare Element Resources Ltd,"See Remarks, 10%",P - Purchase,0.24,100149060,460889576,24%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/REEMF_d.png,reports/graphs/REEMF_w.png
2026-03-16 09:33:25,AHCO,Adapthealth Corp.,10%,P - Purchase,9.73,2046691,15864871,19%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/AHCO_d.png,reports/graphs/AHCO_w.png
2026-03-16 09:33:25,STAA,Staar Surgical Co,"Dir, 10%",P - Purchase,18.3,670213,32273584,12%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/STAA_d.png,reports/graphs/STAA_w.png
2026-03-16 09:33:25,FOX,Fox Corp,"Exec Chair, CEO",P - Purchase,60.63,175372,1889835,10%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/FOX_d.png,reports/graphs/FOX_w.png
2026-03-16 09:33:25,KOS,Kosmos Energy Ltd.,Dir,P - Purchase,1.9,3157895,4974184,6%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/KOS_d.png,reports/graphs/KOS_w.png
2026-03-16 09:33:25,LOAR,Loar Holdings Inc.,"Dir, 10%",P - Purchase,63.61,50000,31488420,3%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/LOAR_d.png,reports/graphs/LOAR_w.png
2026-03-16 09:33:25,LOAR,Loar Holdings Inc.,See Remarks,P - Purchase,67.45,44000,4087005,2%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/LOAR_d.png,reports/graphs/LOAR_w.png
