Ticker,Sector,CurrentPrice,Min52w,Max52w,DistanceFromMin,RSI,Estado,Classification,DataPoints,AnalysisDate
DJUSFR,Dow Jones U.S. Forestry & Paper Index,914.58,703.58,946.63,29.9894823616362,62.11203633610899,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSAE,Dow Jones U.S. Aerospace & Defense Index,3161.2,1861.2,3407.6,69.84741027294218,62.98295933861988,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSAF,Dow Jones U.S. Delivery Services Index,1305.5,916.9,1512.7,42.38193914276366,84.00911161731203,🔴,FUERTE,251,2026-03-17 08:59:50
DJUSAG,Dow Jones U.S. Asset Managers Index,325.04,273.77,426.58,18.727398911495065,71.18915767997669,🟡,CERCA,252,2026-03-17 08:59:50
DJUSAI,Dow Jones U.S. Electronic Equipment Index,2189.65,913.78,2487.9,139.6255116111099,66.48983718987671,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSAL,Dow Jones U.S. Aluminum Index,227.52,73.62,233.53,209.04645476772617,39.71697018907318,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSAM,Dow Jones U.S. Medical Equipment Index,2674.6,2589.3,3122.0,3.2943266519908745,72.23168654173767,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSAP,Dow Jones U.S. Automobiles & Parts Index,1488.39,845.49,1853.16,76.03874676223256,61.696730552423865,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSAR,Dow Jones U.S. Airlines Index,215.95,137.83,279.8,56.67851701371253,74.80988593155892,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSAS,Dow Jones U.S. Aerospace Index,3360.4,1883.9,3661.9,78.37464833589894,68.1005242059821,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSAT,Dow Jones U.S. Auto Parts Index,379.5,288.25,490.7,31.656548135299218,94.34096150434628,🔴,FUERTE,251,2026-03-17 08:59:50
DJUSAU,Dow Jones U.S. Automobiles Index,1360.5,758.25,1704.26,79.42631058358062,60.43726361887069,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSAV,Dow Jones U.S. Media Agencies Index,305.39,263.38,547.04,15.950337914799906,47.400425661295266,🟡,CERCA,252,2026-03-17 08:59:50
DJUSBC,Dow Jones U.S. Broadcasting & Entertainment Index,1132.1,962.0,1294.9,17.681912681912674,74.18719211822662,🟡,CERCA,252,2026-03-17 08:59:50
DJUSBD,Dow Jones U.S. Building Materials & Fixtures Index,2311.4,1876.9,2724.7,23.149874793542544,87.40951963149811,🟡,CERCA,252,2026-03-17 08:59:50
DJUSBE,Dow Jones U.S. Business Training & Employment Agencies Index,82.68,75.0,128.66,10.240000000000009,43.264157580021084,🟡,CERCA,252,2026-03-17 08:59:50
DJUSBK,Dow Jones U.S. Banks Index,739.22,521.55,873.98,41.73521234780943,69.76799056232794,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSBS,Dow Jones U.S. Basic Resources Index,567.18,274.91,665.46,106.31479393255971,74.56246420161654,🔴,FUERTE,251,2026-03-17 08:59:50
DJUSBT,Dow Jones U.S. Biotechnology Index,3011.5,2297.4,3319.4,31.082963349873765,66.95690030474535,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSBV,Dow Jones U.S. Beverages Index,1031.19,895.65,1104.64,15.133143527047405,78.82094148702171,🟡,CERCA,252,2026-03-17 08:59:50
DJUSCA,Dow Jones U.S. Gambling Index,476.93,456.94,786.57,4.374753796997419,52.84537081919534,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSCC,Dow Jones U.S. Commodity Chemicals Index,798.66,608.9,808.72,31.164394810313677,42.973321432113465,🔴,FUERTE,251,2026-03-17 08:59:50
DJUSCH,Dow Jones U.S. Chemicals Index,1799.61,1497.87,2050.51,20.14460533958221,57.097678142514035,🟡,CERCA,252,2026-03-17 08:59:50
DJUSCM,Dow Jones U.S. Personal Products Index,364.29,341.42,452.45,6.698494522875052,84.12594293210886,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSCN,Dow Jones U.S. Construction & Materials Index,2120.67,1484.39,2404.73,42.86474578783203,81.92021222324264,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSCP,Dow Jones U.S. Containers & Packaging Index,425.96,388.62,504.83,9.608357778807054,88.49862258953172,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSCR,Dow Jones U.S. Computer Hardware Index,13168.9,8364.8,14404.8,57.432335501147676,70.32046429472626,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSCS,Dow Jones U.S. Specialized Consumer Services Index,2067.7,2055.1,3402.3,0.6131088511507912,64.00532268795746,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSCT,Dow Jones U.S. Telecommunications Equipment Index,3034.03,1708.47,3123.44,77.58754909363348,47.66650870568811,🔴,FUERTE,251,2026-03-17 08:59:50
DJUSCX,Dow Jones U.S. Specialty Chemicals Index,1190.87,863.05,1301.27,37.98389432825444,82.36998025016452,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSDB,Dow Jones U.S. Brewers Index,429.78,429.68,648.25,0.023273133494685787,86.23234624145785,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSDN,Dow Jones U.S. Defense Index,919.36,598.11,973.44,53.71085586263396,49.89404855603317,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSDR,Dow Jones U.S. Food & Drug Retailers Index,1743.71,1341.74,1812.26,29.958859391536365,62.70456033166048,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSDS,Dow Jones U.S. Industrial Suppliers Index,963.95,683.22,1090.53,41.08925382746407,77.42530651112952,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSDT,Dow Jones U.S. Diversified REITs Index,61.67,46.63,65.07,32.253913789405956,65.67164179104472,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSDV,Dow Jones U.S. Computer Services Index,240.84,217.48,313.36,10.741217583226051,32.615062761506266,🟡,CERCA,252,2026-03-17 08:59:50
DJUSEC,Dow Jones U.S. Electrical Components & Equipment Index,1190.81,562.61,1286.69,111.6581646255843,66.62150854683827,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSEE,Dow Jones U.S. Electronic & Electrical Equipment Index,1418.79,643.85,1558.45,120.3603323755533,66.86481078217884,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSEH,Dow Jones U.S. Real Estate Holding & Development Index,68.56,50.8,69.58,34.96062992125986,17.632552404439025,🔴,FUERTE,132,2026-03-17 08:59:50
DJUSEN,Dow Jones U.S. Oil & Gas Index,967.49,623.85,971.24,55.0837541075579,30.372057706909644,🔴,FUERTE,251,2026-03-17 08:59:50
DJUSES,Dow Jones U.S. Real Estate Services Index,260.53,247.88,392.49,5.103275778602541,71.94151795312843,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSEU,Dow Jones U.S. Electricity Index,459.79,340.99,471.47,34.839731370421426,56.58513640639696,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSFA,Dow Jones U.S. Financial Administration Index,399.44,382.61,632.45,4.398735004312481,47.092765201952936,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSFB,Dow Jones U.S. Food & Beverage Index,744.23,667.95,798.54,11.42001646829852,79.43959243085885,🟡,CERCA,252,2026-03-17 08:59:50
DJUSFC,Dow Jones U.S. Fixed Line Telecommunications Index,165.91,137.34,175.95,20.80238823358089,56.00907029478459,🟡,CERCA,252,2026-03-17 08:59:50
DJUSFD,Dow Jones U.S. Food Retailers & Wholesalers Index,1313.85,1099.62,1353.53,19.482184754733456,55.77885853239883,🟡,CERCA,252,2026-03-17 08:59:50
DJUSFE,Dow Jones U.S. Industrial Machinery Index,1341.22,969.18,1509.14,38.38709011741886,87.92046643743468,🔴,FUERTE,251,2026-03-17 08:59:50
DJUSFH,Dow Jones U.S. Furnishings Index,423.87,319.67,545.94,32.59611474332905,79.01866842887821,🔴,FUERTE,251,2026-03-17 08:59:50
DJUSFI,Dow Jones U.S. Financial Services Index,2237.3,1907.9,2608.7,17.26505582053567,61.114842175957016,🟡,CERCA,252,2026-03-17 08:59:50
DJUSFO,Dow Jones U.S. Food Producers Index,373.01,341.8,410.8,9.131070801638378,72.95709453444901,🟢,OPORTUNIDAD,251,2026-03-17 08:59:50
DJUSFP,Dow Jones U.S. Food Products Index,494.74,470.3,601.53,5.196682968318094,74.33935312723193,🟢,OPORTUNIDAD,251,2026-03-17 08:59:50
DJUSFT,Dow Jones U.S. Footwear Index,1232.6,1186.7,1718.4,3.8678688800876264,90.47441165483758,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSGF,Dow Jones U.S. Financial Services Index,2507.7,2138.5,2924.0,17.264437689969597,61.11443978430203,🟡,CERCA,252,2026-03-17 08:59:50
DJUSGI,Dow Jones U.S. General Industrials Index,742.29,613.23,834.56,21.045937087226644,80.59291792478717,🟡,CERCA,252,2026-03-17 08:59:50
DJUSGT,Dow Jones U.S. General Retailers Index,3359.1,2720.3,3649.5,23.48270411351688,49.66499162479061,🟡,CERCA,252,2026-03-17 08:59:50
DJUSGU,Dow Jones U.S. Gas Distribution Index,419.66,324.1,425.75,29.484726936130823,35.35498706524865,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSHB,Dow Jones U.S. Home Construction Index,2281.04,1872.38,2900.07,21.82569777502429,85.43498481896836,🟡,CERCA,252,2026-03-17 08:59:50
DJUSHC,Dow Jones U.S. Health Care Index,1590.73,1344.15,1708.01,18.344678793289432,68.89566430675418,🟡,CERCA,252,2026-03-17 08:59:50
DJUSHD,Dow Jones U.S. Durable Household Products Index,109.55,94.51,152.38,15.91365993016611,94.36258808456112,🟡,CERCA,251,2026-03-17 08:59:50
DJUSHG,Dow Jones U.S. Household Goods & Home Construction Index,1010.01,943.49,1128.05,7.050419188332678,79.2055952815909,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSHI,Dow Jones U.S. Home Improvement Retailers Index,774.95,705.04,940.02,9.9157494610235,81.84197089609397,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSHL,Dow Jones U.S. Hotel & Lodging REITs Index,99.55,65.02,111.31,53.106736388803455,64.05550581915847,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSHN,Dow Jones U.S. Nondurable Household Products Index,1185.26,1067.39,1377.19,11.042824084917404,74.66629065613841,🟡,CERCA,252,2026-03-17 08:59:50
DJUSHP,Dow Jones U.S. Health Care Providers Index,2363.5,2106.6,3374.9,12.195006171081369,54.380952380952365,🟡,CERCA,252,2026-03-17 08:59:50
DJUSHR,Dow Jones U.S. Commercial Vehicles & Trucks Index,7392.8,3916.0,8259.6,88.78447395301329,76.12177365982791,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSHV,Dow Jones U.S. Heavy Construction Index,2734.37,1138.85,2881.21,140.09922290029417,59.51992350429466,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSIB,Dow Jones U.S. Insurance Brokers Index,624.22,597.46,891.38,4.478960934623236,52.46907839672647,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSID,Dow Jones U.S. Diversified Industrials Index,1009.07,767.22,1097.69,31.522900862855508,70.21906080825889,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSIG,Dow Jones U.S. Industrial Goods & Services Index,1590.1,1094.74,1716.89,45.24910024298006,74.6455266138166,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSIL,Dow Jones U.S. Life Insurance Index,1190.11,1077.94,1346.73,10.4059595153719,68.93057726825319,🟡,CERCA,252,2026-03-17 08:59:50
DJUSIM,Dow Jones U.S. Industrial Metals & Mining Index,645.89,350.58,748.44,84.23469678817959,70.3450556719215,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSIO,Dow Jones U.S. Industrial & Office REITs Index,109.43,79.12,117.63,38.30889787664307,67.86188579017262,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSIP,Dow Jones U.S. Property & Casualty Insurance Index,1942.47,1792.93,2065.57,8.340537555844342,61.611374407582964,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSIQ,Dow Jones U.S. Industrial Engineering Index,5399.0,3318.0,6047.8,62.71850512356841,81.33530843297008,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSIR,Dow Jones U.S. Insurance Index,1271.69,1239.53,1458.0,2.5945317983429272,63.427697016067306,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSIS,Dow Jones U.S. Support Services Index,719.29,713.74,903.06,0.7775940818785488,57.451598379108525,🟢,OPORTUNIDAD,251,2026-03-17 08:59:50
DJUSIT,Dow Jones U.S. Industrial Transportation Index,1692.7,1243.5,1896.5,36.12384398874146,79.08428720083248,🔴,FUERTE,251,2026-03-17 08:59:50
DJUSIU,Dow Jones U.S. Reinsurance Index,548.06,467.58,592.5,17.212027888275795,81.3763608087093,🟡,CERCA,252,2026-03-17 08:59:50
DJUSIV,Dow Jones U.S. Business Support Services Index,976.71,966.1,1315.39,1.0982299968947329,51.17000806902115,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSIX,Dow Jones U.S. Nonlife Insurance Index,1262.0,1215.03,1458.15,3.86574817082706,59.68986083498997,🟢,OPORTUNIDAD,251,2026-03-17 08:59:50
DJUSLE,Dow Jones U.S. Leisure Goods Index,861.41,724.03,1249.95,18.97435189149621,64.27732942039621,🟡,CERCA,252,2026-03-17 08:59:50
DJUSLG,Dow Jones U.S. Hotels Index,4777.3,3245.4,5445.7,47.20219387440686,66.86016378148648,🔴,FUERTE,252,2026-03-17 08:59:50
DJUSMC,Dow Jones U.S. Health Care Equipment & Services Index,2114.8,2083.0,2488.9,1.5266442630821018,67.22323049001803,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50
DJUSME,Dow Jones U.S. Media Index,759.17,662.35,903.98,14.617649279082045,69.73284274516077,🟡,CERCA,252,2026-03-17 08:59:50
DJUSMF,Dow Jones U.S. Mortgage Finance Index,11.0,9.98,14.77,10.220440881763523,71.47887323943664,🟡,CERCA,252,2026-03-17 08:59:50
DJUSMG,Dow Jones U.S. Mining Index,249.19,101.37,303.37,145.8222353753576,75.6844850065189,🔴,FUERTE,252,2026-03-17 08:59:50
