Ticker,Sector,CurrentPrice,Min52w,Max52w,DistanceFromMin,RSI,Estado,Classification,DataPoints,AnalysisDate,FileDate,DaysAgo,BaseScore,FinalScore,InsiderActivity,InsiderTrades,InsiderValue,InsiderTickers,Signals,Urgency,RiskLevel,MappingCoverage
DJUSCA,Dow Jones U.S. Gambling Index,479.99,456.94,786.57,5.044425964021537,51.46819942521552,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSIR,Dow Jones U.S. Insurance Index,1243.95,1238.16,1458.0,0.4676293855398303,84.57978679447989,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,76,76,False,0,0,[],[],ALTA,MEDIO,0
DJUSCS,Dow Jones U.S. Specialized Consumer Services Index,2015.0,2001.4,3402.3,0.6795243329669185,86.21700879765403,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,76,76,False,0,0,[],[],ALTA,MEDIO,0
DJUSDB,Dow Jones U.S. Brewers Index,431.62,427.03,648.25,1.074865934477679,89.60453283996299,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,76,76,False,0,0,[],[],ALTA,MEDIO,0
DJUSMC,Dow Jones U.S. Health Care Equipment & Services Index,2075.4,2075.3,2488.9,0.0048185804461961,83.70991253644308,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,76,76,False,0,0,[],[],ALTA,MEDIO,0
DJUSRN,Dow Jones U.S. Residential REITs Index,205.61,205.16,254.86,0.2193410021446759,79.98027613412236,🟢,OPORTUNIDAD,251,2026-03-20 08:54:34,2026-03-20,0,76,76,False,0,0,[],[],ALTA,MEDIO,0
DJUSIS,Dow Jones U.S. Support Services Index,708.72,703.29,903.06,0.7720854839397778,77.59056444818864,🟢,OPORTUNIDAD,251,2026-03-20 08:54:34,2026-03-20,0,76,76,False,0,0,[],[],ALTA,MEDIO,0
DJUSFA,Dow Jones U.S. Financial Administration Index,392.52,382.61,632.45,2.5901048064608787,65.53654245961938,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSAM,Dow Jones U.S. Medical Equipment Index,2637.2,2589.3,3122.0,1.849920828023004,79.59462537007511,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSIB,Dow Jones U.S. Insurance Brokers Index,611.38,597.46,891.38,2.3298630870685835,76.74238227146813,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSFT,Dow Jones U.S. Footwear Index,1214.6,1186.7,1718.4,2.3510575545630625,88.13559322033902,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSFP,Dow Jones U.S. Food Products Index,480.19,470.3,601.53,2.102913034233465,86.47058823529413,🟢,OPORTUNIDAD,251,2026-03-20 08:54:34,2026-03-20,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSIX,Dow Jones U.S. Nonlife Insurance Index,1231.69,1215.03,1458.15,1.3711595598462658,84.53269153630153,🟢,OPORTUNIDAD,251,2026-03-20 08:54:34,2026-03-20,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSRP,Dow Jones U.S. Recreational Products Index,248.43,244.44,412.76,1.632302405498285,77.31390311146123,🟢,OPORTUNIDAD,251,2026-03-20 08:54:34,2026-03-20,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSSW,Dow Jones U.S. Software Index,6358.1,5758.2,9040.0,10.418186238755176,43.89392882065597,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,75,75,False,0,0,[],[],ALTA,BAJO,0
DJUSHG,Dow Jones U.S. Household Goods & Home Construction Index,966.81,943.49,1128.05,2.471674315573025,90.44493824608544,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSBE,Dow Jones U.S. Business Training & Employment Agencies Index,83.23,75.0,128.66,10.97333333333334,47.89291026276646,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,75,75,False,0,0,[],[],ALTA,BAJO,0
DJUSIV,Dow Jones U.S. Business Support Services Index,972.09,951.2,1315.39,2.196173254835996,70.44267877412022,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSDV,Dow Jones U.S. Computer Services Index,241.58,217.48,313.36,11.08147875666729,43.041997729852405,🟡,CERCA,252,2026-03-20 08:54:34,2026-03-20,0,75,75,False,0,0,[],[],ALTA,BAJO,0
DJUSCP,Dow Jones U.S. Containers & Packaging Index,402.56,388.62,504.83,3.5870516185476813,94.07524217166028,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSNG,Dow Jones U.S. Personal & Household Goods Index,952.33,909.61,1087.81,4.696518288057522,89.06083874778494,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSRH,Dow Jones U.S. Real Estate Investment & Services,544.92,519.85,822.79,4.822544964893707,70.53561568194367,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSHN,Dow Jones U.S. Nondurable Household Products Index,1130.72,1067.39,1377.19,5.933164073112913,88.6422742354946,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSIP,Dow Jones U.S. Property & Casualty Insurance Index,1891.53,1792.93,2065.57,5.499378112921302,82.99234733718566,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSFO,Dow Jones U.S. Food Producers Index,363.16,341.8,410.8,6.249268578115861,84.73322768092972,🟢,OPORTUNIDAD,251,2026-03-20 08:54:34,2026-03-20,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSSP,Dow Jones U.S. Specialty Finance Index,708.57,682.16,803.35,3.871525741761476,65.32306461292256,🟢,OPORTUNIDAD,251,2026-03-20 08:54:34,2026-03-20,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSWU,Dow Jones U.S. Water Index,2854.6,2537.2,3135.8,12.509853381680596,47.03485740153919,🟡,CERCA,251,2026-03-20 08:54:34,2026-03-20,0,74,74,False,0,0,[],[],MEDIA,BAJO,0
DJUSRU,Dow Jones U.S. Restaurants & Bars Index,2828.8,2686.2,3177.7,5.308614399523504,83.11984059208658,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSES,Dow Jones U.S. Real Estate Services Index,259.83,247.88,392.49,4.820881071486198,70.54191755442338,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSHI,Dow Jones U.S. Home Improvement Retailers Index,741.74,705.04,940.02,5.20537841824578,87.16839863164009,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSCM,Dow Jones U.S. Personal Products Index,356.23,341.42,452.45,4.337765801651925,84.40489432703,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSFB,Dow Jones U.S. Food & Beverage Index,723.68,667.95,798.54,8.343438880155686,92.90277616447914,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,73,73,False,0,0,[],[],MEDIA,MEDIO,0
DJUSSF,Dow Jones U.S. Consumer Finance Index,677.45,619.26,837.68,9.396699286244882,79.72642188624906,🟢,OPORTUNIDAD,251,2026-03-20 08:54:34,2026-03-20,0,72,72,False,0,0,[],[],MEDIA,MEDIO,0
DJUSHP,Dow Jones U.S. Health Care Providers Index,2309.1,2106.6,3374.9,9.612645969809172,79.89380530973457,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,72,72,False,0,0,[],[],MEDIA,MEDIO,0
DJUSMF,Dow Jones U.S. Mortgage Finance Index,10.96,9.98,14.77,9.81963927855712,75.33783783783787,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,72,72,False,0,0,[],[],MEDIA,MEDIO,0
DJUSIL,Dow Jones U.S. Life Insurance Index,1178.43,1077.94,1346.73,9.32241126593317,71.25135574837316,🟢,OPORTUNIDAD,252,2026-03-20 08:54:34,2026-03-20,0,72,72,False,0,0,[],[],MEDIA,MEDIO,0
