ticker,company_name,source,signal_name,direction,timeframe,triggered_date,days_ago,description,strength,generated_at
0001.HK,CK Hutchison Holdings Limited,value_global,Hammer,BULLISH,DAILY,2026-03-24,0,"Vela Hammer: mecha inferior larga, cuerpo pequeño — rechazo bajista, posible suelo",2,2026-03-24 08:35
0001.HK,CK Hutchison Holdings Limited,value_global,Doji en Subida,BEARISH,DAILY,2026-03-19,5,"Doji después de subida — indecisión, posible agotamiento comprador",1,2026-03-24 08:35
0001.HK,CK Hutchison Holdings Limited,value_global,Precio sobre MA50,BULLISH,WEEKLY,2026-03-23,1,Precio +12.6% sobre MA50 — soporte dinámico activo,2,2026-03-24 08:35
0001.HK,CK Hutchison Holdings Limited,value_global,Extendido sobre MA200,BEARISH,WEEKLY,2026-03-23,1,"Precio +39.0% sobre MA200 — sobreextensión, riesgo de corrección",2,2026-03-24 08:35
0001.HK,CK Hutchison Holdings Limited,value_global,MACD Cruce Bajista,BEARISH,WEEKLY,2026-03-09,15,Línea MACD cruzó por debajo de la señal — momentum bajista,2,2026-03-24 08:35
0001.HK,CK Hutchison Holdings Limited,value_global,Tendencia Alcista HH/HL,BULLISH,WEEKLY,2026-03-23,1,Máximos y mínimos crecientes en las últimas 20 velas — uptrend confirmado,2,2026-03-24 08:35
0001.HK,CK Hutchison Holdings Limited,value_global,MACD Histograma Cayendo,BEARISH,WEEKLY,2026-03-23,1,Histograma MACD negativo y expandiéndose — presión bajista acelerando,1,2026-03-24 08:35
000270.KS,Kia Corporation,value_global,Morning Star,BULLISH,DAILY,2026-03-18,6,Patrón Morning Star (3 velas) — reversión alcista de alta fiabilidad,3,2026-03-24 08:35
000270.KS,Kia Corporation,value_global,Evening Star,BEARISH,DAILY,2026-03-20,4,Patrón Evening Star (3 velas) — reversión bajista de alta fiabilidad,3,2026-03-24 08:35
000270.KS,Kia Corporation,value_global,Extendido sobre MA200,BEARISH,DAILY,2026-03-24,0,"Precio +36.4% sobre MA200 — sobreextensión, riesgo de corrección",2,2026-03-24 08:35
000270.KS,Kia Corporation,value_global,Rebote MA50,BULLISH,DAILY,2026-03-24,0,Precio testó MA50 y rebotó con mecha inferior — soporte validado,2,2026-03-24 08:35
000270.KS,Kia Corporation,value_global,Precio sobre MA50,BULLISH,DAILY,2026-03-24,0,Precio +2.0% sobre MA50 — soporte dinámico activo,1,2026-03-24 08:35
000270.KS,Kia Corporation,value_global,Doji en Subida,BEARISH,DAILY,2026-03-23,1,"Doji después de subida — indecisión, posible agotamiento comprador",1,2026-03-24 08:35
000270.KS,Kia Corporation,value_global,Precio sobre MA50,BULLISH,WEEKLY,2026-03-23,1,Precio +39.3% sobre MA50 — soporte dinámico activo,2,2026-03-24 08:35
000270.KS,Kia Corporation,value_global,Extendido sobre MA200,BEARISH,WEEKLY,2026-03-23,1,"Precio +81.3% sobre MA200 — sobreextensión, riesgo de corrección",2,2026-03-24 08:35
000270.KS,Kia Corporation,value_global,Tendencia Alcista HH/HL,BULLISH,WEEKLY,2026-03-23,1,Máximos y mínimos crecientes en las últimas 20 velas — uptrend confirmado,2,2026-03-24 08:35
0005.HK,HSBC Holdings plc,value_global,Hammer,BULLISH,DAILY,2026-03-20,4,"Vela Hammer: mecha inferior larga, cuerpo pequeño — rechazo bajista, posible suelo",2,2026-03-24 08:35
0005.HK,HSBC Holdings plc,value_global,Hammer,BULLISH,DAILY,2026-03-24,0,"Vela Hammer: mecha inferior larga, cuerpo pequeño — rechazo bajista, posible suelo",2,2026-03-24 08:35
0005.HK,HSBC Holdings plc,value_global,Tendencia Bajista LH/LL,BEARISH,DAILY,2026-03-24,0,Máximos y mínimos decrecientes en las últimas 20 velas — downtrend confirmado,2,2026-03-24 08:35
0005.HK,HSBC Holdings plc,value_global,Precio sobre MA50,BULLISH,WEEKLY,2026-03-23,1,Precio +14.9% sobre MA50 — soporte dinámico activo,2,2026-03-24 08:35
0005.HK,HSBC Holdings plc,value_global,Extendido sobre MA200,BEARISH,WEEKLY,2026-03-23,1,"Precio +84.2% sobre MA200 — sobreextensión, riesgo de corrección",2,2026-03-24 08:35
0005.HK,HSBC Holdings plc,value_global,MACD Cruce Bajista,BEARISH,WEEKLY,2026-03-09,15,Línea MACD cruzó por debajo de la señal — momentum bajista,2,2026-03-24 08:35
0005.HK,HSBC Holdings plc,value_global,Tendencia Alcista HH/HL,BULLISH,WEEKLY,2026-03-23,1,Máximos y mínimos crecientes en las últimas 20 velas — uptrend confirmado,2,2026-03-24 08:35
0005.HK,HSBC Holdings plc,value_global,MACD Histograma Cayendo,BEARISH,WEEKLY,2026-03-23,1,Histograma MACD negativo y expandiéndose — presión bajista acelerando,1,2026-03-24 08:35
000660.KS,SK hynix Inc.,value_global,Bearish Engulfing,BEARISH,DAILY,2026-03-20,4,Vela bajista que envuelve la alcista anterior — fuerte reversión vendedora,3,2026-03-24 08:35
000660.KS,SK hynix Inc.,value_global,Precio sobre MA50,BULLISH,DAILY,2026-03-24,0,Precio +12.2% sobre MA50 — soporte dinámico activo,2,2026-03-24 08:35
000660.KS,SK hynix Inc.,value_global,Extendido sobre MA200,BEARISH,DAILY,2026-03-24,0,"Precio +92.5% sobre MA200 — sobreextensión, riesgo de corrección",2,2026-03-24 08:35
000660.KS,SK hynix Inc.,value_global,Hammer,BULLISH,DAILY,2026-03-24,0,"Vela Hammer: mecha inferior larga, cuerpo pequeño — rechazo bajista, posible suelo",2,2026-03-24 08:35
000660.KS,SK hynix Inc.,value_global,MACD Cruce Alcista,BULLISH,DAILY,2026-03-18,6,Línea MACD cruzó por encima de la señal — momentum alcista activado,1,2026-03-24 08:35
000660.KS,SK hynix Inc.,value_global,Precio sobre MA50,BULLISH,WEEKLY,2026-03-23,1,Precio +103.6% sobre MA50 — soporte dinámico activo,2,2026-03-24 08:35
000660.KS,SK hynix Inc.,value_global,Extendido sobre MA200,BEARISH,WEEKLY,2026-03-23,1,"Precio +342.0% sobre MA200 — sobreextensión, riesgo de corrección",2,2026-03-24 08:35
000660.KS,SK hynix Inc.,value_global,Tendencia Alcista HH/HL,BULLISH,WEEKLY,2026-03-23,1,Máximos y mínimos crecientes en las últimas 20 velas — uptrend confirmado,2,2026-03-24 08:35
005380.KS,Hyundai Motor Company,value_global,Bearish Engulfing,BEARISH,DAILY,2026-03-20,4,Vela bajista que envuelve la alcista anterior — fuerte reversión vendedora,3,2026-03-24 08:35
005380.KS,Hyundai Motor Company,value_global,Evening Star,BEARISH,DAILY,2026-03-20,4,Patrón Evening Star (3 velas) — reversión bajista de alta fiabilidad,3,2026-03-24 08:35
005380.KS,Hyundai Motor Company,value_global,Extendido sobre MA200,BEARISH,DAILY,2026-03-24,0,"Precio +64.5% sobre MA200 — sobreextensión, riesgo de corrección",2,2026-03-24 08:35
005380.KS,Hyundai Motor Company,value_global,Shooting Star,BEARISH,DAILY,2026-03-19,5,"Vela Shooting Star: mecha superior larga — rechazo alcista, posible techo",2,2026-03-24 08:35
005380.KS,Hyundai Motor Company,value_global,Precio sobre MA50,BULLISH,WEEKLY,2026-03-23,1,Precio +69.4% sobre MA50 — soporte dinámico activo,2,2026-03-24 08:35
005380.KS,Hyundai Motor Company,value_global,Extendido sobre MA200,BEARISH,WEEKLY,2026-03-23,1,"Precio +135.0% sobre MA200 — sobreextensión, riesgo de corrección",2,2026-03-24 08:35
005380.KS,Hyundai Motor Company,value_global,Tendencia Alcista HH/HL,BULLISH,WEEKLY,2026-03-23,1,Máximos y mínimos crecientes en las últimas 20 velas — uptrend confirmado,2,2026-03-24 08:35
005930.KS,"Samsung Electronics Co., Ltd.",value_global,Bearish Engulfing,BEARISH,DAILY,2026-03-20,4,Vela bajista que envuelve la alcista anterior — fuerte reversión vendedora,3,2026-03-24 08:35
