ticker,company_name,source,sector,bullish_count,bearish_count,net_signals,net_score,bias,top_bullish_signal,top_bearish_signal,most_recent_signal,generated_at
CS.PA,AXA,portfolio,Financial Services,11,2,9,19,BULLISH,Morning Star,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
ABNB,"Airbnb, Inc.",portfolio,Consumer Cyclical,11,4,7,17,BULLISH,Golden Cross,Death Cross,Precio sobre MA50,2026-04-16 07:39
ANET,"Arista Networks, Inc.",portfolio,Technology,11,4,7,16,BULLISH,Bullish Engulfing,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
SHBI,"Shore Bancshares, Inc.",portfolio,Financial Services,10,3,7,16,BULLISH,Bullish Engulfing,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
PEBO,Peoples Bancorp Inc.,portfolio,Financial Services,10,2,8,15,BULLISH,Morning Star,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
CP,Canadian Pacific Kansas City Li,value_us,Industrials,6,0,6,15,BULLISH,Divergencia RSI Alcista,,Divergencia RSI Alcista,2026-04-16 07:39
HNR1.DE,HANNOVER RUECK SE NA O.N.,portfolio,Financial Services,8,1,7,15,BULLISH,Golden Cross,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
BF-B,Brown Forman Inc,portfolio,Consumer Defensive,8,1,7,14,BULLISH,Bullish Engulfing,Precio bajo MA200,Precio sobre MA50,2026-04-16 07:39
SBGSY,Schneider Electric SE,value_us,Industrials,9,2,7,14,BULLISH,Bullish Engulfing,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
WST,"West Pharmaceutical Services, I",value_us,Healthcare,7,0,7,14,BULLISH,Bullish Engulfing,,Precio sobre MA50,2026-04-16 07:39
CNI,Canadian National Railway Compa,value_us,Industrials,7,0,7,13,BULLISH,Bullish Engulfing,,Precio sobre MA50,2026-04-16 07:39
ETN,"Eaton Corporation, PLC",value_us,Industrials,9,3,6,13,BULLISH,Precio sobre MA50,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
BY,"Byline Bancorp, Inc.",portfolio,Financial Services,9,2,7,13,BULLISH,Bullish Engulfing,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
TCBI,"Texas Capital Bancshares, Inc.",portfolio,Financial Services,8,3,5,13,BULLISH,Bullish Engulfing,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
TJX,"TJX Companies, Inc. (The)",value_us,Consumer Cyclical,8,1,7,13,BULLISH,Rebote MA50,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
LR.PA,LEGRAND,value_eu,Industrials,9,2,7,13,BULLISH,Divergencia RSI Alcista,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
CBK,"Commercial Bancgroup, Inc.",portfolio,Financial Services,6,1,5,13,BULLISH,Bullish Engulfing,Doji en Subida,Precio sobre MA50,2026-04-16 07:39
CABK.MC,"CAIXABANK, S.A.",portfolio,Financial Services,8,2,6,13,BULLISH,Precio sobre MA50,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
TT,Trane Technologies plc,value_us,Industrials,9,2,7,12,BULLISH,Hammer,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
005930.KS,"Samsung Electronics Co., Ltd.",value_global,Technology,9,2,7,12,BULLISH,Precio sobre MA50,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
TW,Tradeweb Markets Inc.,value_us,Financial Services,8,3,5,12,BULLISH,Golden Cross,MACD Cruce Bajista,Precio sobre MA50,2026-04-16 07:39
PRIM,Primoris Services Corporation,portfolio,Industrials,8,3,5,12,BULLISH,Bullish Engulfing,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
BWFG,"Bankwell Financial Group, Inc.",portfolio,Financial Services,8,2,6,11,BULLISH,Precio sobre MA50,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
ERF.PA,EUROFINS SCIENT.,value_eu,Healthcare,6,1,5,11,BULLISH,Morning Star,Toque Banda Superior BB,Precio sobre MA50,2026-04-16 07:39
AGN.AS,AEGON,portfolio,Financial Services,8,2,6,11,BULLISH,Precio sobre MA50,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
RENT3.SA,Localiza Rent a Car S.A.,value_global,Industrials,8,2,6,11,BULLISH,Precio sobre MA50,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",value_global,Financial Services,8,2,6,11,BULLISH,Precio sobre MA50,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
CNK,Cinemark Holdings Inc Cinemark ,portfolio,Communication Services,7,2,5,10,BULLISH,Golden Cross,Bearish Engulfing,Precio sobre MA50,2026-04-16 07:39
THFF,First Financial Corporation,portfolio,Financial Services,7,2,5,10,BULLISH,Hammer,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
AI.PA,AIR LIQUIDE,portfolio,Basic Materials,7,4,3,10,BULLISH,Golden Cross,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
DECK,Deckers Outdoor Corporation,portfolio,Consumer Cyclical,7,1,6,10,BULLISH,Pullback Volumen Seco,MACD Cruce Bajista,Precio sobre MA50,2026-04-16 07:39
NIC,Nicolet Bankshares Inc.,portfolio,Financial Services,7,1,6,10,BULLISH,Tendencia Alcista HH/HL,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
INGA.AS,ING GROEP N.V.,portfolio,Financial Services,6,2,4,9,BULLISH,Precio sobre MA50,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
AROW,Arrow Financial Corporation,portfolio,Financial Services,7,2,5,9,BULLISH,Precio sobre MA50,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
MTD,"Mettler-Toledo International, I",value_us,Healthcare,7,2,5,9,BULLISH,Bullish Engulfing,Evening Star,Precio sobre MA50,2026-04-16 07:39
FULT,Fulton Financial Corporation,portfolio,Financial Services,7,1,6,9,BULLISH,Tendencia Alcista HH/HL,Extendido sobre MA200,Precio sobre MA50,2026-04-16 07:39
