ticker,signal,call_pct,total_premium_usd,total_call_premium,total_put_premium,net_premium,call_volume,put_volume,avg_iv,unusual_score,has_large_premium,max_single_premium,detected_at
SPY,BULLISH,84.6,1432420189.0,1211249927.0,221170262.0,990079665.0,5032958,4924289,0.491,100,True,143807552.0,2026-04-14T20:31:48.709627+00:00
QQQ,BULLISH,92.7,1041107877.0,965234852.0,75873025.0,889361827.0,2551502,2647003,0.631,100,True,110041780.0,2026-04-14T20:31:45.024638+00:00
MSFT,MIXED,40.5,253212629.0,102657228.0,150555401.0,-47898173.0,346512,164001,0.708,100,True,19879500.0,2026-04-14T20:31:41.105079+00:00
GLD,BEARISH,21.1,167403881.0,35282821.0,132121060.0,-96838239.0,79891,60897,0.528,100,True,30390400.0,2026-04-14T20:31:34.373370+00:00
IWM,BULLISH,82.9,81157805.0,67262993.0,13894812.0,53368181.0,514070,480238,0.385,100,True,5129034.0,2026-04-14T20:31:37.765955+00:00
AXP,BULLISH,97.0,58081902.0,56341400.0,1740502.0,54600898.0,8245,5943,0.808,100,True,52633600.0,2026-04-14T20:31:26.848701+00:00
RACE,BEARISH,0.7,25902992.0,169451.0,25733541.0,-25564090.0,307,3387,0.738,100,True,11873400.0,2026-04-14T20:31:45.055977+00:00
NOW,BEARISH,27.2,24735982.0,6735124.0,18000858.0,-11265734.0,35458,18052,1.132,100,True,2618000.0,2026-04-14T20:31:42.863389+00:00
INTU,BEARISH,7.9,19646425.0,1556836.0,18089589.0,-16532753.0,3567,3604,1.144,100,True,2727200.0,2026-04-14T20:31:35.838106+00:00
TLT,BEARISH,32.9,16939288.0,5566035.0,11373253.0,-5807218.0,111002,40555,0.365,100,True,2693100.0,2026-04-14T20:31:49.201904+00:00
XLE,MIXED,56.3,15858018.0,8927914.0,6930104.0,1997810.0,52210,116976,0.597,100,True,6000000.0,2026-04-14T20:31:54.151890+00:00
FICO,BEARISH,17.4,14907421.0,2588983.0,12318438.0,-9729455.0,2086,1544,1.166,76,True,417670.0,2026-04-14T20:31:33.353515+00:00
COST,MIXED,47.8,13964948.0,6675676.0,7289272.0,-613596.0,8999,26046,0.458,75,True,400200.0,2026-04-14T20:31:30.574464+00:00
PEP,BULLISH,95.3,13761549.0,13119830.0,641719.0,12478111.0,9581,5315,0.61,100,True,10356300.0,2026-04-14T20:31:44.200402+00:00
WMT,BULLISH,88.7,9899473.0,8782429.0,1117044.0,7665385.0,39379,20156,0.55,99,True,966420.0,2026-04-14T20:31:53.429659+00:00
V,BULLISH,76.4,8167759.0,6239326.0,1928433.0,4310893.0,7741,4718,0.646,80,True,485100.0,2026-04-14T20:31:51.677488+00:00
VRSN,BULLISH,98.8,6242271.0,6164902.0,77369.0,6087533.0,7105,158,0.637,100,True,2941960.0,2026-04-14T20:31:51.450385+00:00
BRK-B,MIXED,54.1,5845666.0,3160603.0,2685063.0,475540.0,8862,6690,0.425,85,True,580500.0,2026-04-14T20:31:26.790414+00:00
JNJ,BULLISH,89.5,5745773.0,5145336.0,600437.0,4544899.0,12193,8921,0.806,85,True,580836.0,2026-04-14T20:31:38.192768+00:00
GWW,BULLISH,95.6,5733924.0,5481368.0,252556.0,5228812.0,828,269,0.554,100,True,1612130.0,2026-04-14T20:31:33.911221+00:00
MCD,BULLISH,77.0,5264388.0,4052799.0,1211589.0,2841210.0,4042,3505,0.634,100,True,1488656.0,2026-04-14T20:31:39.627121+00:00
ISRG,BEARISH,33.5,5203382.0,1742131.0,3461251.0,-1719120.0,2857,1433,0.963,91,True,728074.0,2026-04-14T20:31:36.263342+00:00
DHR,BEARISH,7.0,5017963.0,351068.0,4666895.0,-4315827.0,811,1946,0.636,100,True,3445640.0,2026-04-14T20:31:31.402357+00:00
ETN,MIXED,61.6,4304390.0,2650841.0,1653549.0,997292.0,1507,1300,0.696,92,True,748650.0,2026-04-14T20:31:33.159713+00:00
MA,MIXED,64.3,4056782.0,2606880.0,1449902.0,1156978.0,2663,1746,0.59,82,True,522928.0,2026-04-14T20:31:38.714433+00:00
XLF,BULLISH,84.5,4046439.0,3421231.0,625208.0,2796023.0,38306,20500,0.485,100,True,1998997.0,2026-04-14T20:31:54.112437+00:00
AZO,BULLISH,71.3,3318351.0,2365041.0,953310.0,1411731.0,1238,253,0.513,78,True,451984.0,2026-04-14T20:31:26.040341+00:00
PG,BEARISH,15.1,3283327.0,494636.0,2788691.0,-2294055.0,2961,2611,0.496,100,True,2061760.0,2026-04-14T20:31:44.763448+00:00
XLK,BULLISH,94.0,2891812.0,2717624.0,174188.0,2543436.0,4925,2956,0.492,69,True,320200.0,2026-04-14T20:31:54.316367+00:00
EQIX,BULLISH,90.0,2561396.0,2305627.0,255769.0,2049858.0,527,1054,0.588,83,True,542750.0,2026-04-14T20:31:31.708272+00:00
MCO,MIXED,61.4,2367580.0,1454530.0,913050.0,541480.0,385,229,0.591,100,True,1209590.0,2026-04-14T20:31:39.289957+00:00
TMO,BULLISH,94.7,2026493.0,1918317.0,108176.0,1810141.0,854,304,0.624,69,True,327040.0,2026-04-14T20:31:49.566240+00:00
CDNS,BULLISH,76.7,1203163.0,922691.0,280472.0,642219.0,1723,2054,0.622,64,True,266660.0,2026-04-14T20:31:28.530505+00:00
SAP,BEARISH,34.4,1186718.0,408630.0,778088.0,-369458.0,898,1195,0.724,64,True,271320.0,2026-04-14T20:31:47.304375+00:00
LIN,BULLISH,83.8,1046429.0,876931.0,169498.0,707433.0,746,630,0.654,19,False,50880.0,2026-04-14T20:31:38.005722+00:00
MTD,BEARISH,29.9,1027960.0,307088.0,720872.0,-413784.0,174,69,0.762,0,False,0.0,2026-04-14T20:31:40.833994+00:00
CME,BULLISH,87.3,961143.0,839258.0,121885.0,717373.0,518,452,0.532,92,True,748500.0,2026-04-14T20:31:29.072698+00:00
CBOE,BULLISH,92.6,850907.0,787612.0,63295.0,724317.0,579,583,0.523,69,True,321000.0,2026-04-14T20:31:28.479902+00:00
ECL,BEARISH,10.8,791664.0,85570.0,706094.0,-620524.0,180,230,0.768,85,True,584146.0,2026-04-14T20:31:31.640090+00:00
TJX,BULLISH,93.7,759281.0,711108.0,48173.0,662935.0,4643,1360,0.648,73,True,378240.0,2026-04-14T20:31:49.068267+00:00
SPGI,MIXED,45.5,741359.0,337469.0,403890.0,-66421.0,426,311,0.613,25,False,63240.0,2026-04-14T20:31:47.686238+00:00
KO,BULLISH,69.0,697697.0,481162.0,216535.0,264627.0,7464,3874,0.516,30,False,76500.0,2026-04-14T20:31:39.083645+00:00
TT,BULLISH,93.5,692511.0,647774.0,44737.0,603037.0,133,148,0.665,0,False,0.0,2026-04-14T20:31:49.483410+00:00
VRSK,BEARISH,4.8,670691.0,32050.0,638641.0,-606591.0,551,889,0.702,66,True,286880.0,2026-04-14T20:31:50.995177+00:00
VEEV,MIXED,43.9,626154.0,274939.0,351215.0,-76276.0,492,409,0.824,44,True,129195.0,2026-04-14T20:31:50.756720+00:00
AJG,BEARISH,9.5,587691.0,56016.0,531675.0,-475659.0,236,371,0.842,0,False,0.0,2026-04-14T20:31:24.305881+00:00
IDXX,MIXED,50.6,557417.0,281908.0,275509.0,6399.0,136,210,0.968,12,False,39600.0,2026-04-14T20:31:34.944807+00:00
BRO,BULLISH,97.2,550563.0,535006.0,15557.0,519449.0,539,38,0.813,82,True,528192.0,2026-04-14T20:31:26.491681+00:00
PGR,MIXED,35.6,528421.0,187962.0,340459.0,-152497.0,1250,2016,0.552,33,False,85527.0,2026-04-14T20:31:44.745356+00:00
