ticker,vcp_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,ml_score,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,cerebro_signal,cerebro_score_adj,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,ai_verdict,ai_confidence,ai_reasoning,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,conviction_score,conviction_grade,conviction_reasons,conviction_positives,conviction_red_flags
G24.DE,0.0,Scout24 SE                    N,54.0,Communication Services,Internet Content & Information,60.0,50.0,30.0,70.0,70.0,69.95,5051472384.0,,,,,,,0.0,,,0.0,,,False,122.8,-43.0,1.0,False,"{'roe_pct': 16.5, 'debt_to_equity': 0.13, 'current_ratio': 0.38, 'operating_margin_pct': 31.7}",{'profit_margin_pct': 35.9},105.38,134.0,80.0,16.0,buy,50.6,175.94,151.5,99.9,42.8,5.81,4.15,2.15,39.6,1.54,,,19.7,31.6,12.0,2026-04-29,False,True,6.0,NEUTRAL,5.56,635.9,0.48,,,,,,50.0,0.0,0.0,15.0,16.2,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.9x ratio, 44% up volume)",HIGH_FLOAT,69.5,35.0,31.2,,,,,0.0,,0.0,,0.0,0.0,7.0,22.0,72.7,Medio,30.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,56.2,0.0,6.0,3.0,0.0,5.0,6.32,3.0,2.0,6.0,0,,WATCH,-3.0,0.0,🔵 DECENT,🟡 Good,,,,,,,,BUY,80,"Strong fundamentals with high ROE and margin, low debt, and analyst validation with a realistic upside potential",68.4,62.93,107.08,8.0,56.54,BUY NOW - At target entry price,81.2,A,ROE 16% (bueno) | Deuda minima (0.13) | FCF Yield 5.8% (bueno) | DCF dice +152% infravalorada,9,0
BR,58.51904761904762,"Broadridge Financial Solutions,",56.0,Technology,Information Technology Services,90.0,40.0,15.0,60.0,70.0,162.42,18962325504.0,15.0,4.1,False,down,17.1,True,1.0,-5.4,True,1.0,4.0,2.3,False,271.91,-40.3,0.0,False,"{'roe_pct': 41.8, 'debt_to_equity': 1.17, 'current_ratio': 0.97, 'operating_margin_pct': 12.0}","{'eps_growth_yoy': np.float64(17.1), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 14.9}",245.88,290.0,213.0,8.0,buy,51.4,434.61,167.6,271.5,67.2,6.31,10.25,2.4,41.0,1.6,True,-1.5,12.5,71.2,13.0,2026-04-30,False,True,8.0,STRONG,5.44,344.9,0.15,,,,,,50.0,12.200000000000005,23.4,15.0,16.8,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 41% up volume)",HIGH_FLOAT,116.2,35.0,55.2,15.0,False,down,4.1,0.0,True,1.0,True,1.0,5.0,21.0,22.0,9.1,Bottom 25%,2.9,-3.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,66.2,0.0,6.0,3.0,3.0,5.0,6.42,3.0,10.0,9.0,0,,BEST,8.0,12.359523809523807,⭐ GOOD,🟢 Excellent,,,,,,,,BUY,80,"Strong fundamentals with high ROE and margin, upside potential of 51.4% supported by 8 analysts, despite negative growth",159.17,147.1,241.46,7.59,51.7,BUY ON PULLBACK - Wait for 2-5% dip,76.8,A,ROE 42% (excelente) | FCF Yield 6.3% (bueno) | DCF dice +168% infravalorada | Buy (8 analistas) || RED FLAGS: Revenue cayendo (-5%),8,1
AUTO.L,0.0,AUTOTRADER GROUP PLC ORD 1P,57.5,Communication Services,Internet Content & Information,60.0,50.0,30.0,100.0,60.0,508.68,4181462272.0,,,,,,,0.0,,,0.0,,,False,920.0,-44.7,1.0,False,"{'roe_pct': 51.6, 'debt_to_equity': 0.1, 'current_ratio': 1.77, 'operating_margin_pct': 62.3}",{'profit_margin_pct': 47.7},672.94,890.0,470.0,16.0,hold,32.3,6.32,-98.8,3.71,-99.3,6.06,0.31,2.15,31.9,0.99,,,,4.4,34.0,2026-05-21,False,False,8.0,STRONG,8.49,668.8,1.2,,,,,,50.0,0.0,0.0,15.0,17.2,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 47% up volume)",MEGA_FLOAT,859.8,28.0,32.2,,,,,0.0,,0.0,,0.0,0.0,7.0,22.0,72.7,Medio,30.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,60.6,0.0,6.0,3.0,0.0,1.0,4.04,3.0,10.0,1.0,0,,WATCH,3.0,0.0,⭐ GOOD,🟡 Good,,,,,,,,BUY,90,"Strong fundamentals with high ROE and margin, low debt, and analyst validation with a realistic upside",495.68,456.03,789.15,8.0,59.2,BUY ON PULLBACK - Wait for 2-5% dip,73.2,B,ROE 52% (excelente) | Deuda minima (0.10) | FCF Yield 6.1% (bueno) | R:R 4.0:1 (excelente),7,0
CLPBY,0.0,Coloplast AS,68.5,Healthcare,Medical Instruments & Supplies,100.0,70.0,15.0,80.0,60.0,6.76,15428396032.0,15.0,0.0,False,down,33.8,True,2.0,0.2,True,2.0,,,False,11.44,-40.9,0.0,False,"{'roe_pct': 27.3, 'debt_to_equity': 1.82, 'current_ratio': 1.3, 'operating_margin_pct': 26.3}","{'eps_growth_yoy': np.float64(33.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 14.3}",10.16,12.2,8.45,4.0,none,50.4,70.96,949.7,8.4,24.3,22.49,1.67,5.29,129.2,2.58,False,,6.4,17.0,,,False,False,7.0,NEUTRAL,28.2,105.6,0.46,,,,,,50.0,8.600000000000001,0.0,15.0,20.6,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",HIGH_FLOAT,143.4,25.0,35.6,15.0,False,down,0.0,0.0,True,2.0,True,2.0,8.0,10.0,22.0,59.1,Medio,25.1,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,59.400000000000006,0.0,8.0,-2.0,0.0,5.0,6.3,3.0,5.0,8.0,0,,BEST,8.0,0.0,🔵 DECENT,🟡 Good,,,,,,,,BUY,80,"Strong fundamentals with high ROE and margin, upside potential of 50.4% supported by 4 analysts",6.64,6.38,10.13,3.92,52.58,BUY NOW - At target entry price,72.3,B,ROE 27% (excelente) | FCF Yield 22.5% (excelente) | DCF dice +950% infravalorada | R:R 6.3:1 (excelente),7,0
JKHY,0.0,"Jack Henry & Associates, Inc.",64.2,Technology,Information Technology Services,85.0,50.0,27.0,95.0,65.0,154.15,11156934656.0,15.0,2.8,False,down,12.2,False,0.0,5.9,False,0.0,7.0,4.8,False,193.39,-20.3,1.0,False,"{'roe_pct': 24.3, 'debt_to_equity': 0.03, 'current_ratio': 1.6, 'operating_margin_pct': 25.7}","{'eps_growth_yoy': np.float64(12.2), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.6}",200.07,216.0,180.0,15.0,buy,29.8,185.96,20.6,197.95,28.4,3.0,4.65,1.52,33.3,1.21,True,-1.28,96.7,28.4,18.0,2026-05-05,False,True,9.0,STRONG,5.34,162.7,0.78,,,,,,50.0,0.0,0.0,15.0,19.3,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 43% up volume)",HIGH_FLOAT,71.7,35.0,34.3,15.0,False,down,2.8,0.0,False,0.0,False,0.0,0.0,21.0,22.0,9.1,Bottom 25%,2.9,-3.0,1.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,65.18,0.0,3.0,3.0,3.0,5.0,3.72,3.0,10.0,15.0,0,,WATCH,3.0,0.0,⭐ GOOD,🟢 Excellent,,,,,,,,BUY,85,"Strong fundamentals with high ROE and margin, low debt, and positive growth, combined with analyst validation and realistic upside potential.",151.07,143.98,201.94,4.69,33.67,BUY ON PULLBACK - Wait for 2-5% dip,71.4,B,ROE 24% (bueno) | Deuda minima (0.03) | DCF: +21% margen | Buy (15 analistas),9,0
EXPN.L,0.0,EXPERIAN PLC ORD USD0.10,51.8,Industrials,Consulting Services,55.0,50.0,30.0,65.0,70.0,2810.0,25222410240.0,,,,,,,0.0,,,0.0,,,False,4101.0,-31.5,1.0,False,"{'roe_pct': 26.8, 'debt_to_equity': 1.05, 'current_ratio': 0.68, 'operating_margin_pct': 24.9}",{'profit_margin_pct': 17.1},4071.98,4655.27,2847.88,18.0,strong_buy,44.9,62.22,-97.8,32.7,-98.8,5.22,1.47,1.69,42.5,1.36,,,,36.0,33.0,2026-05-20,False,False,5.0,NEUTRAL,5.54,493.1,0.52,,,,,,50.0,0.0,0.0,15.0,15.5,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 56% up volume)",MEGA_FLOAT,912.0,23.0,30.5,,,,,0.0,,0.0,,0.0,0.0,12.0,22.0,50.0,Medio,17.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,62.22,0.0,6.0,3.0,0.0,5.0,5.61,3.0,0.0,7.0,0,,,0.0,0.0,⭐ GOOD,🟡 Good,,,,,,,,BUY,80,"Strong fundamentals with high ROE and margin, moderate debt, and significant upside potential validated by multiple analysts",2763.11,2542.06,3947.18,8.0,42.85,BUY NOW - At target entry price,67.0,B,ROE 27% (excelente) | FCF Yield 5.2% (bueno) | Strong Buy (18 analistas) | R:R 5.6:1 (excelente),6,0
FDS,0.0,FactSet Research Systems Inc.,49.8,Financial Services,Financial Data & Stock Exchanges,55.0,50.0,15.0,85.0,50.0,231.85,8601463808.0,15.0,9.9,False,flat,-10.4,False,0.0,4.4,False,0.0,11.2,3.6,True,474.79,-51.2,1.0,False,"{'roe_pct': 28.1, 'debt_to_equity': 0.73, 'current_ratio': 1.43, 'operating_margin_pct': 29.8}","{'eps_growth_yoy': np.float64(-10.4), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 24.5}",252.44,380.0,200.0,16.0,hold,8.9,238.4,2.8,155.3,-33.0,6.86,16.2,1.9,28.3,0.96,True,-5.7,14.2,-1.8,69.0,2026-06-25,False,False,6.0,NEUTRAL,8.0,187.1,,,,,,,50.0,5.899999999999999,0.0,15.0,14.9,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 56% up volume)",MEDIUM_FLOAT,36.3,20.0,29.9,15.0,False,flat,9.9,0.0,False,0.0,False,0.0,0.0,4.0,22.0,86.4,Top 25%,34.3,3.0,3.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,42.52,0.0,6.0,3.0,3.0,0.0,1.11,0.0,2.0,4.0,0,,WATCH,6.0,0.0,⚪ WEAK,🔴 Weak,,,,,,,,BUY,80,"Strong fundamentals with high ROE and margin, moderate debt, and positive growth, combined with analyst validation and realistic upside potential",227.21,209.04,382.12,8.0,68.18,BUY NOW - At target entry price,65.2,B,ROE 28% (excelente) | FCF Yield 6.9% (bueno) | Buyback activo | Dividendo 1.9% (payout 28%),6,0
V,0.0,Visa Inc.,71.5,Financial Services,Credit Services,100.0,60.0,36.0,85.0,65.0,315.1,607525273600.0,15.0,0.6,False,down,27.9,True,1.0,13.6,False,0.0,1.4,3.2,False,375.51,-16.1,2.0,False,"{'roe_pct': 54.0, 'debt_to_equity': 0.55, 'current_ratio': 1.11, 'operating_margin_pct': 68.3}","{'eps_growth_yoy': np.float64(27.9), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 50.2}",393.43,450.0,323.0,35.0,strong_buy,24.9,347.05,10.1,184.79,-41.4,3.63,13.11,0.85,22.9,0.69,True,-2.97,42.1,17.4,11.0,2026-04-28,False,True,6.0,NEUTRAL,4.09,356.4,1.25,BULLISH,0.23,40.0,1.0,1.0,50.0,15.4,0.0,15.0,21.4,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 54% up volume)",MEGA_FLOAT,1739.8,23.0,36.4,15.0,False,down,0.6,0.0,True,1.0,False,0.0,2.0,17.0,22.0,27.3,Bajo 50%,7.3,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,63.6,0.0,3.0,0.0,3.0,5.0,3.11,3.0,2.0,26.0,1,Berkshire Hathaway (Buffett),,0.0,0.0,⭐ GOOD,🟡 Good,,,,,,,,BUY,90,"Strong fundamentals with high ROE and margin, reasonable debt, and significant upside potential validated by multiple analysts",308.8,288.01,403.75,6.73,30.75,BUY NOW - At target entry price,63.4,B,ROE 54% (excelente) | Strong Buy (35 analistas) | R:R 3.1:1 (bueno) | Buyback activo,5,0
SYK,0.0,Stryker Corporation,75.7,Healthcare,Medical Devices,100.0,80.0,36.0,80.0,65.0,338.38,129594212352.0,15.0,0.0,False,down,29.8,True,1.0,22.2,True,1.0,1.2,1.9,False,404.87,-16.4,1.0,False,"{'roe_pct': 15.1, 'debt_to_equity': 0.73, 'current_ratio': 1.89, 'operating_margin_pct': 27.2}","{'eps_growth_yoy': np.float64(29.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 12.9}",419.11,469.0,316.0,27.0,buy,23.9,461.76,36.5,251.7,-25.6,3.22,10.89,1.04,40.5,0.99,False,,6.3,55.9,13.0,2026-04-30,False,True,5.0,NEUTRAL,3.61,47.3,0.36,,,,,,50.0,0.0,0.0,15.0,22.7,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 42% up volume)",MEGA_FLOAT,346.6,38.0,37.7,15.0,False,down,0.0,0.0,True,1.0,True,1.0,5.0,22.0,22.0,4.5,Bottom 25%,0.0,-3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,41.28,0.0,3.0,0.0,0.0,5.0,2.99,1.0,0.0,72.0,0,,,0.0,0.0700000000000002,⚪ WEAK,🔴 Weak,,,,,,,,BUY,85,"Strong fundamentals with ROE > 10%, margin > 10%, and debt below 2x, combined with analyst validation and realistic upside potential.",331.61,312.93,433.99,5.63,30.87,BUY ON PULLBACK - Wait for 2-5% dip,61.6,B,ROE 15% (bueno) | DCF: +36% margen | Buy (27 analistas) | Revenue +22%,6,0
MA,0.0,Mastercard Incorporated,66.5,Financial Services,Credit Services,85.0,70.0,36.0,65.0,65.0,518.54,462764638208.0,15.0,4.8,False,down,23.8,False,0.0,21.5,False,0.0,0.7,1.8,False,601.77,-13.8,2.0,False,"{'roe_pct': 209.9, 'debt_to_equity': 2.56, 'current_ratio': 1.03, 'operating_margin_pct': 57.7}","{'eps_growth_yoy': np.float64(23.8), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 45.6}",654.66,735.0,550.0,35.0,strong_buy,26.3,630.49,21.6,400.27,-22.8,3.52,18.38,0.67,18.4,0.53,True,-2.53,26.7,24.2,13.0,2026-04-30,False,True,9.0,STRONG,4.09,622.8,0.95,,,,,,50.0,10.0,0.0,15.0,20.0,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,884.0,23.0,35.0,15.0,False,down,4.8,0.0,False,0.0,False,0.0,0.0,17.0,22.0,27.3,Bajo 50%,7.3,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,62.6,0.0,3.0,0.0,3.0,5.0,3.29,3.0,10.0,24.0,1,Berkshire Hathaway (Buffett),WATCH,3.0,8.15,⭐ GOOD,🟡 Good,,,,,,,,BUY,85,"Strong fundamentals with high ROE and margin, upside potential of 26.3% supported by 35 analysts, and no major red flags",508.17,470.08,657.67,7.49,29.42,BUY NOW - At target entry price,60.7,B,ROE 210% (excelente) | DCF: +22% margen | Strong Buy (35 analistas) | Revenue +22% || RED FLAGS: Deuda alta (2.6),7,1
