ticker,vcp_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,ml_score,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,cerebro_signal,cerebro_score_adj,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage
WTKWY,0.0,Wolters Kluwer N.V.,48.0,Industrials,Specialty Business Services,60.0,50.0,15.0,50.0,70.0,82.36,18483918848.0,15.0,5.9,False,flat,,,0.0,,,0.0,,,False,185.47,-55.6,1.0,False,"{'roe_pct': 111.7, 'debt_to_equity': 6.23, 'current_ratio': 0.65, 'operating_margin_pct': 24.2}",{'profit_margin_pct': 21.4},116.9,116.9,116.9,1.0,strong_buy,41.9,186.22,126.1,199.5,142.2,5.33,4.39,3.42,43.5,1.69,,,,18.4,,,False,False,7.0,NEUTRAL,7.79,668.9,0.31,,,,,,50.0,0.0,0.0,15.0,14.4,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 47% up volume)",MEGA_FLOAT,225.6,28.0,29.4,15.0,False,flat,5.9,0.0,,0.0,,0.0,0.0,13.0,22.0,45.5,Bajo 50%,16.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,66.45,0.0,6.0,5.0,0.0,5.0,5.24,3.0,5.0,2.0,0,,WATCH,3.0,0.0,⭐ GOOD,🟢 Excellent,,,,,,,,False,1,0.901,False,-55.23,17.57,-41.77,sideways,stage4
BR,58.51904761904762,"Broadridge Financial Solutions,",56.0,Technology,Information Technology Services,90.0,40.0,15.0,60.0,70.0,162.42,18962325504.0,15.0,4.1,False,down,17.1,True,1.0,-5.4,True,1.0,4.0,2.3,False,271.91,-40.3,0.0,False,"{'roe_pct': 41.8, 'debt_to_equity': 1.17, 'current_ratio': 0.97, 'operating_margin_pct': 12.0}","{'eps_growth_yoy': np.float64(17.1), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 14.9}",245.88,290.0,213.0,8.0,buy,51.4,434.61,167.6,271.5,67.2,6.31,10.25,2.4,41.0,1.6,True,-1.5,12.5,71.2,13.0,2026-04-30,False,True,8.0,STRONG,5.44,344.9,0.15,,,,,,50.0,12.200000000000005,23.4,15.0,16.8,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 41% up volume)",HIGH_FLOAT,116.2,35.0,55.2,15.0,False,down,4.1,0.0,True,1.0,True,1.0,5.0,21.0,22.0,9.1,Bottom 25%,2.9,-3.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,66.2,0.0,6.0,3.0,3.0,5.0,6.42,3.0,10.0,9.0,0,,BEST,8.0,12.359523809523807,⭐ GOOD,🟢 Excellent,,,,,,,,False,0,0.815,False,-39.45,8.21,-35.24,downtrend,stage1
JKHY,0.0,"Jack Henry & Associates, Inc.",64.2,Technology,Information Technology Services,85.0,50.0,27.0,95.0,65.0,154.15,11156934656.0,15.0,2.8,False,down,12.2,False,0.0,5.9,False,0.0,7.0,4.8,False,193.39,-20.3,1.0,False,"{'roe_pct': 24.3, 'debt_to_equity': 0.03, 'current_ratio': 1.6, 'operating_margin_pct': 25.7}","{'eps_growth_yoy': np.float64(12.2), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.6}",200.07,216.0,180.0,15.0,buy,29.8,185.96,20.6,197.95,28.4,3.0,4.65,1.52,33.3,1.21,True,-1.28,96.7,28.4,18.0,2026-05-05,False,True,9.0,STRONG,5.34,162.7,0.78,,,,,,50.0,0.0,0.0,15.0,19.3,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 43% up volume)",HIGH_FLOAT,71.7,35.0,34.3,15.0,False,down,2.8,0.0,False,0.0,False,0.0,0.0,21.0,22.0,9.1,Bottom 25%,2.9,-3.0,1.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,65.18,0.0,3.0,3.0,3.0,5.0,3.72,3.0,10.0,15.0,0,,WATCH,3.0,0.0,⭐ GOOD,🟢 Excellent,,,,,,,,False,0,0.801,False,-20.0,7.71,-5.59,downtrend,stage1
V,0.0,Visa Inc.,71.5,Financial Services,Credit Services,100.0,60.0,36.0,85.0,65.0,315.1,607525273600.0,15.0,0.6,False,down,27.9,True,1.0,13.6,False,0.0,1.4,3.2,False,375.51,-16.1,2.0,False,"{'roe_pct': 54.0, 'debt_to_equity': 0.55, 'current_ratio': 1.11, 'operating_margin_pct': 68.3}","{'eps_growth_yoy': np.float64(27.9), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 50.2}",393.43,450.0,323.0,35.0,strong_buy,24.9,347.05,10.1,184.79,-41.4,3.63,13.11,0.85,22.9,0.69,True,-2.97,42.1,17.4,11.0,2026-04-28,False,True,6.0,NEUTRAL,4.09,356.4,1.25,BULLISH,0.23,40.0,1.0,1.0,50.0,15.4,0.0,15.0,21.4,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 54% up volume)",MEGA_FLOAT,1739.8,23.0,36.4,15.0,False,down,0.6,0.0,True,1.0,False,0.0,2.0,17.0,22.0,27.3,Bajo 50%,7.3,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,63.6,0.0,3.0,0.0,3.0,5.0,3.11,3.0,2.0,26.0,1,Berkshire Hathaway (Buffett),,0.0,0.0,⭐ GOOD,🟡 Good,,,,,,,,False,1,0.83,False,-15.6,7.22,-14.57,sideways,stage1
MA,0.0,Mastercard Incorporated,66.5,Financial Services,Credit Services,85.0,70.0,36.0,65.0,65.0,518.54,462764638208.0,15.0,4.8,False,down,23.8,False,0.0,21.5,False,0.0,0.7,1.8,False,601.77,-13.8,2.0,False,"{'roe_pct': 209.9, 'debt_to_equity': 2.56, 'current_ratio': 1.03, 'operating_margin_pct': 57.7}","{'eps_growth_yoy': np.float64(23.8), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 45.6}",654.66,735.0,550.0,35.0,strong_buy,26.3,630.49,21.6,400.27,-22.8,3.52,18.38,0.67,18.4,0.53,True,-2.53,26.7,24.2,13.0,2026-04-30,False,True,9.0,STRONG,4.09,622.8,0.95,,,,,,50.0,10.0,0.0,15.0,20.0,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,884.0,23.0,35.0,15.0,False,down,4.8,0.0,False,0.0,False,0.0,0.0,17.0,22.0,27.3,Bajo 50%,7.3,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,62.6,0.0,3.0,0.0,3.0,5.0,3.29,3.0,10.0,24.0,1,Berkshire Hathaway (Buffett),WATCH,3.0,8.15,⭐ GOOD,🟡 Good,,,,,,,,False,1,0.806,False,-13.44,8.1,-13.66,sideways,stage1
EXPN.L,0.0,EXPERIAN PLC ORD USD0.10,51.8,Industrials,Consulting Services,55.0,50.0,30.0,65.0,70.0,2810.0,25222410240.0,,,,,,,0.0,,,0.0,,,False,4101.0,-31.5,1.0,False,"{'roe_pct': 26.8, 'debt_to_equity': 1.05, 'current_ratio': 0.68, 'operating_margin_pct': 24.9}",{'profit_margin_pct': 17.1},4071.98,4655.27,2847.88,18.0,strong_buy,44.9,62.22,-97.8,32.7,-98.8,5.22,1.47,1.69,42.5,1.36,,,,36.0,33.0,2026-05-20,False,False,5.0,NEUTRAL,5.54,493.1,0.52,,,,,,50.0,0.0,0.0,15.0,15.5,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 56% up volume)",MEGA_FLOAT,912.0,23.0,30.5,,,,,0.0,,0.0,,0.0,0.0,12.0,22.0,50.0,Medio,17.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,62.22,0.0,6.0,3.0,0.0,5.0,5.61,3.0,0.0,7.0,0,,,0.0,0.0,⭐ GOOD,🟡 Good,,,,,,,,False,1,0.892,False,-31.07,20.13,-24.79,sideways,stage4
AUTO.L,0.0,AUTOTRADER GROUP PLC ORD 1P,57.5,Communication Services,Internet Content & Information,60.0,50.0,30.0,100.0,60.0,508.68,4181462272.0,,,,,,,0.0,,,0.0,,,False,920.0,-44.7,1.0,False,"{'roe_pct': 51.6, 'debt_to_equity': 0.1, 'current_ratio': 1.77, 'operating_margin_pct': 62.3}",{'profit_margin_pct': 47.7},672.94,890.0,470.0,16.0,hold,32.3,6.32,-98.8,3.71,-99.3,6.06,0.31,2.15,31.9,0.99,,,,4.4,34.0,2026-05-21,False,False,8.0,STRONG,8.49,668.8,1.2,,,,,,50.0,0.0,0.0,15.0,17.2,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 47% up volume)",MEGA_FLOAT,859.8,28.0,32.2,,,,,0.0,,0.0,,0.0,0.0,7.0,22.0,72.7,Medio,30.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,60.6,0.0,6.0,3.0,0.0,1.0,4.04,3.0,10.0,1.0,0,,WATCH,3.0,0.0,⭐ GOOD,🟡 Good,,,,,,,,False,1,0.833,False,-44.93,13.64,-40.63,sideways,stage1
RELX,0.0,RELX PLC PLC,49.8,Industrials,Specialty Business Services,60.0,50.0,24.0,50.0,70.0,36.21,64562245632.0,15.0,18.8,False,up,,,0.0,,,0.0,0.2,0.9,False,56.33,-35.7,2.0,False,"{'roe_pct': 70.5, 'debt_to_equity': 3.04, 'current_ratio': 0.49, 'operating_margin_pct': 31.4}",{'profit_margin_pct': 21.5},52.1,57.0,47.2,2.0,strong_buy,43.9,31.55,-12.9,25.84,-28.6,3.34,1.21,2.54,57.4,1.99,,,,8.5,97.0,2026-07-23,False,False,7.0,NEUTRAL,4.14,1901.3,0.99,,,,,,50.0,0.0,0.0,15.0,14.9,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,75,"Strong institutional buying (1.5x ratio, 57% up volume)",MEGA_FLOAT,1804.6,23.0,29.9,15.0,False,up,18.8,2.0,,0.0,,0.0,0.0,13.0,22.0,45.5,Bajo 50%,16.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,60.42,0.0,3.0,3.0,0.0,3.0,5.49,3.0,5.0,18.0,0,,WATCH,3.0,0.0,⭐ GOOD,🟡 Good,,,,,,,,False,1,0.84,False,-35.37,31.34,-25.66,sideways,stage4
CLPBY,0.0,Coloplast AS,68.5,Healthcare,Medical Instruments & Supplies,100.0,70.0,15.0,80.0,60.0,6.76,15428396032.0,15.0,0.0,False,down,33.8,True,2.0,0.2,True,2.0,,,False,11.44,-40.9,0.0,False,"{'roe_pct': 27.3, 'debt_to_equity': 1.82, 'current_ratio': 1.3, 'operating_margin_pct': 26.3}","{'eps_growth_yoy': np.float64(33.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 14.3}",10.16,12.2,8.45,4.0,none,50.4,70.96,949.7,8.4,24.3,22.49,1.67,5.29,129.2,2.58,False,,6.4,17.0,,,False,False,7.0,NEUTRAL,28.2,105.6,0.46,,,,,,50.0,8.600000000000001,0.0,15.0,20.6,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",HIGH_FLOAT,143.4,25.0,35.6,15.0,False,down,0.0,0.0,True,2.0,True,2.0,8.0,10.0,22.0,59.1,Medio,25.1,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,59.400000000000006,0.0,8.0,-2.0,0.0,5.0,6.3,3.0,5.0,8.0,0,,BEST,8.0,0.0,🔵 DECENT,🟡 Good,,,,,,,,False,0,1.005,False,-40.44,3.84,-29.96,downtrend,stage1
AON,65.41666666666667,Aon plc,68.2,Financial Services,Insurance Brokers,100.0,50.0,36.0,80.0,65.0,335.34,72076394496.0,15.0,11.5,False,down,75.4,True,2.0,-9.1,True,2.0,1.2,1.8,False,381.0,-12.0,2.0,False,"{'roe_pct': 46.9, 'debt_to_equity': 1.68, 'current_ratio': 1.11, 'operating_margin_pct': 31.3}","{'eps_growth_yoy': np.float64(75.4), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 21.5}",389.95,436.0,310.0,19.0,buy,16.3,605.65,80.6,511.2,52.4,4.25,14.28,0.98,17.1,0.75,True,-1.39,6.8,96.8,14.0,2026-05-01,False,True,8.0,STRONG,6.52,141.9,0.11,,,,,,50.0,41.6,26.2,15.0,20.5,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 54% up volume)",MEGA_FLOAT,208.0,23.0,61.6,15.0,False,down,11.5,0.0,True,2.0,True,2.0,8.0,20.0,22.0,13.6,Bottom 25%,5.0,-3.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,59.18,0.0,3.0,0.0,3.0,5.0,2.04,1.0,10.0,11.0,0,,WATCH,3.0,41.028333333333336,🔵 DECENT,🟡 Good,HOLD,65.0,Close to ATH (-12.0% from high) - wait for pullback | Strong upside (+16.3%) - analyst support,-12.0,NEUTRAL,BUY,False,False,1,1.01,False,-11.8,10.1,-11.84,sideways,stage1
