ticker,vcp_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,ml_score,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,cerebro_signal,cerebro_score_adj,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,ai_verdict,ai_confidence,ai_reasoning,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage
V,0.0,Visa Inc.,71.5,Financial Services,Credit Services,100.0,60.0,36.0,85.0,65.0,315.1,607525273600.0,15.0,0.6,False,down,27.9,True,1.0,13.6,False,0.0,1.4,3.2,False,375.51,-16.1,2.0,False,"{'roe_pct': 54.0, 'debt_to_equity': 0.55, 'current_ratio': 1.11, 'operating_margin_pct': 68.3}","{'eps_growth_yoy': np.float64(27.9), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 50.2}",393.43,450.0,323.0,35.0,strong_buy,24.9,347.05,10.1,184.79,-41.4,3.63,13.11,0.85,22.9,0.69,True,-2.97,42.1,17.4,11.0,2026-04-28,False,True,6.0,NEUTRAL,4.09,356.4,1.25,BULLISH,0.23,40.0,1.0,1.0,50.0,15.4,0.0,15.0,21.4,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 54% up volume)",MEGA_FLOAT,1739.8,23.0,36.4,15.0,False,down,0.6,0.0,True,1.0,False,0.0,2.0,17.0,22.0,27.3,Bajo 50%,7.3,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,63.6,0.0,3.0,0.0,3.0,5.0,3.11,3.0,2.0,26.0,1,Berkshire Hathaway (Buffett),,0.0,0.0,⭐ GOOD,🟡 Good,,,,,,,,BUY,90,"Strong fundamentals with high ROE and margin, reasonable debt, and significant upside potential validated by multiple analysts",308.8,288.01,403.75,6.73,30.75,BUY NOW - At target entry price,False,1,0.83,False,-15.6,7.22,-14.57,sideways,stage1
AUTO.L,0.0,AUTOTRADER GROUP PLC ORD 1P,57.5,Communication Services,Internet Content & Information,60.0,50.0,30.0,100.0,60.0,508.68,4181462272.0,,,,,,,0.0,,,0.0,,,False,920.0,-44.7,1.0,False,"{'roe_pct': 51.6, 'debt_to_equity': 0.1, 'current_ratio': 1.77, 'operating_margin_pct': 62.3}",{'profit_margin_pct': 47.7},672.94,890.0,470.0,16.0,hold,32.3,6.32,-98.8,3.71,-99.3,6.06,0.31,2.15,31.9,0.99,,,,4.4,34.0,2026-05-21,False,False,8.0,STRONG,8.49,668.8,1.2,,,,,,50.0,0.0,0.0,15.0,17.2,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 47% up volume)",MEGA_FLOAT,859.8,28.0,32.2,,,,,0.0,,0.0,,0.0,0.0,7.0,22.0,72.7,Medio,30.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,60.6,0.0,6.0,3.0,0.0,1.0,4.04,3.0,10.0,1.0,0,,WATCH,3.0,0.0,⭐ GOOD,🟡 Good,,,,,,,,BUY,90,"Strong fundamentals with high ROE and margin, low debt, and analyst validation with a realistic upside",495.68,456.03,789.15,8.0,59.2,BUY ON PULLBACK - Wait for 2-5% dip,False,1,0.833,False,-44.93,13.64,-40.63,sideways,stage1
ISRG,0.0,"Intuitive Surgical, Inc.",76.5,Healthcare,Medical Instruments & Supplies,100.0,80.0,36.0,85.0,65.0,458.08,162696134656.0,15.0,0.0,False,down,13.8,True,2.0,27.2,True,1.0,1.9,4.2,False,603.88,-24.1,2.0,False,"{'roe_pct': 16.7, 'debt_to_equity': 0.01, 'current_ratio': 4.88, 'operating_margin_pct': 30.2}","{'eps_growth_yoy': np.float64(13.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 28.4}",591.51,750.0,378.0,30.0,buy,29.1,164.39,-64.1,130.81,-71.4,1.4,6.4,,,,True,-1.3,344.7,16.6,4.0,2026-04-21,True,False,7.0,NEUTRAL,1.88,22.5,2.41,,,,,,50.0,18.0,0.0,15.0,23.0,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 52% up volume)",MEGA_FLOAT,352.9,23.0,38.0,15.0,False,down,0.0,0.0,True,2.0,True,1.0,8.0,10.0,22.0,59.1,Medio,25.1,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,34.6,0.0,0.0,0.0,3.0,5.0,3.64,3.0,5.0,96.0,0,,WATCH,0.0,0.1500000000000003,⚪ WEAK,🔴 Weak,,,,,,,,BUY,90,"Strong fundamentals with high ROE, margin, and growth, combined with analyst validation and no red flags",456.74,438.82,613.85,3.92,34.4,BUY NOW - At target entry price,False,1,0.909,False,-24.14,7.07,-0.93,downtrend,stage1
MA,0.0,Mastercard Incorporated,66.5,Financial Services,Credit Services,85.0,70.0,36.0,65.0,65.0,518.54,462764638208.0,15.0,4.8,False,down,23.8,False,0.0,21.5,False,0.0,0.7,1.8,False,601.77,-13.8,2.0,False,"{'roe_pct': 209.9, 'debt_to_equity': 2.56, 'current_ratio': 1.03, 'operating_margin_pct': 57.7}","{'eps_growth_yoy': np.float64(23.8), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 45.6}",654.66,735.0,550.0,35.0,strong_buy,26.3,630.49,21.6,400.27,-22.8,3.52,18.38,0.67,18.4,0.53,True,-2.53,26.7,24.2,13.0,2026-04-30,False,True,9.0,STRONG,4.09,622.8,0.95,,,,,,50.0,10.0,0.0,15.0,20.0,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,884.0,23.0,35.0,15.0,False,down,4.8,0.0,False,0.0,False,0.0,0.0,17.0,22.0,27.3,Bajo 50%,7.3,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,62.6,0.0,3.0,0.0,3.0,5.0,3.29,3.0,10.0,24.0,1,Berkshire Hathaway (Buffett),WATCH,3.0,8.15,⭐ GOOD,🟡 Good,,,,,,,,BUY,85,"Strong fundamentals with high ROE and margin, upside potential of 26.3% supported by 35 analysts, and no major red flags",508.17,470.08,657.67,7.49,29.42,BUY NOW - At target entry price,False,1,0.806,False,-13.44,8.1,-13.66,sideways,stage1
CDNS,67.0,"Cadence Design Systems, Inc.",75.7,Technology,Software - Application,95.0,80.0,36.0,90.0,65.0,306.96,84749213696.0,15.0,23.6,False,up,41.9,False,0.0,15.9,True,2.0,2.6,3.2,False,376.45,-18.5,2.0,False,"{'roe_pct': 21.9, 'debt_to_equity': 0.49, 'current_ratio': 2.86, 'operating_margin_pct': 32.8}","{'eps_growth_yoy': np.float64(41.9), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.9}",371.68,410.0,275.0,27.0,strong_buy,21.1,129.75,-57.7,59.13,-80.7,1.78,5.47,,,,True,-1.29,14.1,14.6,10.0,2026-04-27,False,True,7.0,NEUTRAL,1.97,44.0,2.23,,,,,,50.0,35.5,26.8,15.0,22.7,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",MEGA_FLOAT,271.3,28.0,64.5,15.0,False,up,23.6,2.0,False,0.0,True,2.0,2.0,15.0,22.0,36.4,Bajo 50%,11.1,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,44.28,0.0,0.0,0.0,3.0,3.0,2.64,1.0,5.0,90.0,0,,WATCH,0.0,33.57,⚪ WEAK,🔴 Weak,BUY,80.0,Good pullback (-18.5% from high) - valid VCP setup | High P/E (75.8) - valuation risk | Strong upside (+21.1%) - analyst support,-18.5,NEUTRAL,STRONG_BUY,True,BUY,85,"Strong fundamentals with high ROE and margin, moderate debt, and significant growth potential, backed by analyst consensus",300.82,276.76,398.93,8.0,32.61,BUY ON PULLBACK - Wait for 2-5% dip,False,1,1.015,False,-18.46,23.92,-11.37,sideways,stage4
CTAS,64.96875,Cintas Corporation,66.7,Industrials,Specialty Business Services,90.0,50.0,36.0,90.0,65.0,177.52,71023460352.0,15.0,0.6,False,down,12.1,True,1.0,6.5,False,0.0,3.3,3.8,False,229.24,-22.6,1.0,False,"{'roe_pct': 41.3, 'debt_to_equity': 0.61, 'current_ratio': 1.98, 'operating_margin_pct': 23.2}","{'eps_growth_yoy': np.float64(12.1), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 17.6}",212.41,255.0,160.0,17.0,buy,19.7,73.41,-58.6,47.4,-73.3,2.12,3.77,1.01,36.7,0.91,True,-1.68,24.3,6.8,90.0,2026-07-16,False,False,8.0,STRONG,3.21,64.5,3.37,,,,,,50.0,35.0,26.0,15.0,20.0,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",MEGA_FLOAT,342.1,23.0,61.0,15.0,False,down,0.6,0.0,True,1.0,False,0.0,2.0,13.0,22.0,45.5,Bajo 50%,16.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,45.38,0.0,0.0,0.0,3.0,3.0,2.46,1.0,10.0,74.0,0,,WATCH,0.0,31.654375,⚪ WEAK,🟡 Average,,,,,,,,BUY,85,"Strong fundamentals with high ROE and margin, reasonable debt, and analyst validation with a realistic upside",173.97,162.29,235.1,6.71,35.14,BUY NOW - At target entry price,False,0,0.718,False,-22.04,7.2,-10.94,downtrend,stage1
IDXX,0.0,"IDEXX Laboratories, Inc.",59.6,Healthcare,Diagnostics & Research,75.0,50.0,27.0,85.0,65.0,569.95,45381718016.0,15.0,6.6,False,down,2.3,False,0.0,9.2,False,0.0,2.7,3.9,False,769.98,-26.0,3.0,False,"{'roe_pct': 66.2, 'debt_to_equity': 0.61, 'current_ratio': 1.23, 'operating_margin_pct': 29.8}","{'eps_growth_yoy': np.float64(2.3), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 24.6}",733.43,823.0,470.0,14.0,buy,28.7,268.8,-52.8,233.59,-59.0,1.74,9.96,,,,True,-2.68,35.1,12.5,18.0,2026-05-05,False,True,8.0,STRONG,2.95,120.0,1.94,,,,,,50.0,12.9,0.0,15.0,17.9,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,50,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",HIGH_FLOAT,78.8,20.0,32.9,15.0,False,down,6.6,0.0,False,0.0,False,0.0,0.0,14.0,22.0,40.9,Bajo 50%,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,44.24,0.0,0.0,0.0,3.0,3.0,3.59,3.0,10.0,60.0,0,,WATCH,0.0,5.96,⚪ WEAK,🔴 Weak,,,,,,,,BUY,85,"Strong fundamentals with high ROE and margin, reasonable debt, and significant upside potential validated by multiple analysts",559.48,537.54,771.95,3.92,37.98,BUY NOW - At target entry price,False,1,0.972,False,-25.98,41.48,-16.91,downtrend,stage4
JKHY,0.0,"Jack Henry & Associates, Inc.",64.2,Technology,Information Technology Services,85.0,50.0,27.0,95.0,65.0,154.15,11156934656.0,15.0,2.8,False,down,12.2,False,0.0,5.9,False,0.0,7.0,4.8,False,193.39,-20.3,1.0,False,"{'roe_pct': 24.3, 'debt_to_equity': 0.03, 'current_ratio': 1.6, 'operating_margin_pct': 25.7}","{'eps_growth_yoy': np.float64(12.2), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.6}",200.07,216.0,180.0,15.0,buy,29.8,185.96,20.6,197.95,28.4,3.0,4.65,1.52,33.3,1.21,True,-1.28,96.7,28.4,18.0,2026-05-05,False,True,9.0,STRONG,5.34,162.7,0.78,,,,,,50.0,0.0,0.0,15.0,19.3,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 43% up volume)",HIGH_FLOAT,71.7,35.0,34.3,15.0,False,down,2.8,0.0,False,0.0,False,0.0,0.0,21.0,22.0,9.1,Bottom 25%,2.9,-3.0,1.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,65.18,0.0,3.0,3.0,3.0,5.0,3.72,3.0,10.0,15.0,0,,WATCH,3.0,0.0,⭐ GOOD,🟢 Excellent,,,,,,,,BUY,85,"Strong fundamentals with high ROE and margin, low debt, and positive growth, combined with analyst validation and realistic upside potential.",151.07,143.98,201.94,4.69,33.67,BUY ON PULLBACK - Wait for 2-5% dip,False,0,0.801,False,-20.0,7.71,-5.59,downtrend,stage1
DSGX,0.0,The Descartes Systems Group Inc,67.8,Technology,Software - Application,95.0,60.0,24.0,90.0,60.0,75.8,6520642048.0,15.0,14.5,False,up,25.8,False,0.0,14.2,False,0.0,,2.6,False,117.35,-35.4,1.0,False,"{'roe_pct': 10.9, 'debt_to_equity': 0.01, 'current_ratio': 2.16, 'operating_margin_pct': 31.2}","{'eps_growth_yoy': np.float64(25.8), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 22.5}",101.0,126.0,82.0,13.0,none,33.2,83.52,10.2,39.27,-48.2,3.62,2.75,,,,False,,225.5,10.5,47.0,2026-06-03,False,False,6.0,NEUTRAL,3.53,77.7,1.12,,,,,,50.0,7.299999999999997,0.0,15.0,20.3,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,75,"Strong institutional buying (1.5x ratio, 59% up volume)",HIGH_FLOAT,85.7,20.0,35.3,15.0,False,up,14.5,2.0,False,0.0,False,0.0,0.0,15.0,22.0,36.4,Bajo 50%,11.1,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,38.12,0.0,3.0,0.0,0.0,3.0,4.15,3.0,2.0,65.0,0,,,0.0,0.0,⚪ WEAK,🔴 Weak,,,,,,,,BUY,85,"Strong fundamentals with ROE > 10%, margin > 10%, and low debt, combined with analyst validation and realistic upside potential.",74.28,68.34,109.24,8.0,47.06,BUY ON PULLBACK - Wait for 2-5% dip,False,1,1.042,False,-35.41,21.16,-27.73,sideways,stage4
BRO,0.0,"Brown & Brown, Inc.",57.5,Financial Services,Insurance Brokers,70.0,60.0,24.0,75.0,55.0,68.82,23427706880.0,15.0,1.8,False,down,-20.2,True,2.0,14.1,False,0.0,7.2,5.4,False,119.06,-42.2,1.0,False,"{'roe_pct': 11.2, 'debt_to_equity': 0.63, 'current_ratio': 1.04, 'operating_margin_pct': 23.2}","{'eps_growth_yoy': np.float64(-20.2), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 18.3}",79.47,100.0,70.0,15.0,hold,15.5,60.7,-11.8,31.6,-54.1,5.98,4.13,0.92,19.5,0.63,True,-0.61,5.4,-6.5,10.0,2026-04-27,False,True,4.0,NEUTRAL,5.54,175.4,,,,,,,50.0,0.0,0.0,15.0,17.2,2026-04-17 07:16:05,2026-04-17,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",MEGA_FLOAT,293.4,28.0,32.2,15.0,False,down,1.8,0.0,True,2.0,False,0.0,5.0,20.0,22.0,13.6,Bottom 25%,5.0,-3.0,1.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,34.75,0.0,6.0,0.0,3.0,0.0,1.94,0.0,0.0,13.0,0,,,0.0,0.0,⚪ WEAK,🔴 Weak,,,,,,,,BUY,85,"Upside is realistic at 15.5%, fundamentals are strong with ROE at 11.2%, margin at 18.3%, and debt/equity at 0.63, and analyst validation is present with 15 analysts",67.44,62.05,104.31,8.0,54.66,BUY ON PULLBACK - Wait for 2-5% dip,False,1,0.853,False,-41.77,8.74,-32.53,sideways,stage1
